"","Team","Competition Level","Gender Division","City","State","Links","Rank","School","Power Rating","Competition Division","College Region","College Conference","Wins","Losses","Index","Rating"
"90","Chicago (Junk)","College","Men","Chicago","IL","/teams/events/Eventteam/?TeamId=7ss%2f3VpjcSNhJvrfJ8DzTVCsxl8%2bzi1oN0cCPNLBRwo%3d",67,"Chicago",1430,"Division I","Great Lakes","Illinois DI",16,14,91,1.03435549256392
"91","Virginia Commonwealth (Villains)","College","Men","Richmond","VA","/teams/events/Eventteam/?TeamId=YucFcxZeh0tCc9S8h3JiiWygq2%2f11xXnLwTtHczf6Pc%3d",60,"Virginia Commonwealth",1445,"Division I","Atlantic Coast","Virginia DI",15,9,472,0.98742913753656
"92","Dartmouth (Pain Train)","College","Men","Hanover","NH","/teams/events/Eventteam/?TeamId=0Pih%2fWDbaICjvJUFUidKTu1U0PWmvxvrMcsMjA0mIFY%3d",81,"Dartmouth",1367,"Division III","New England","North New England DIII",18,19,124,0.980806326268532
"93","Arizona State (Prime)","College","Men","Tempe","AZ","/teams/events/Eventteam/?TeamId=sWuOWiSgBQzQhhvR04iLpbctaOUr3I01A%2bSQV7YmFP8%3d",77,"Arizona State",1379,"Division I","Southwest","Desert DI",10,17,18,0.943905307756378
"94","Kennesaw State (Parliament)","College","Men","Kennesaw","GA","/teams/events/Eventteam/?TeamId=lM0x1cbvHb28vO4lOL6s33%2bqD1dE%2fyPRk3IuiJ5zRpo%3d",115,"Kennesaw State",1216,"Division I","Southeast","Southern Appalachian DI",23,19,215,0.926424462451451
"95","South Florida (Scallywags)","College","Men","Tampa","FL","/teams/events/Eventteam/?TeamId=RCYi30XxcyXHLKD2uuXwjEzJbJuPlvpSxh2VCUoaknw%3d",85,"South Florida",1333,"Division I","Southeast","Florida DI",11,17,385,0.915752814144698
"96","North Carolina-Charlotte (QCG)","College","Men","Charlotte","NC","/teams/events/Eventteam/?TeamId=keqeHbr%2bVNtcjbOZdlZgzC4VJuqVqblNkrKKvVyziAc%3d",73,"North Carolina-Charlotte",1413,"Division I","Atlantic Coast","Carolina DI",13,15,290,0.9089557148019
"97","San Diego State (Federalis)","College","Men","San Diego","CA","/teams/events/Eventteam/?TeamId=v27vxnLD06K9Zdl3dYivD9D1EqpkhmvgvA6iw9sreuQ%3d",124,"San Diego State",1174,"Division I","Southwest","SoCal DI",16,21,372,0.900099082274536
"98","Middlebury (Pranksters)","College","Men","Middlebury","VT","/teams/events/Eventteam/?TeamId=yz6e0bnGEiKsWKk8mx9utIqf0ouM2czoJXc7fs3gUbA%3d",56,"Middlebury",1465,"Division III","New England","North New England DIII",23,6,261,0.894763314579827
"99","Ohio (Ohio University)","College","Men","Athens","OH","/teams/events/Eventteam/?TeamId=yvALNJM8UDVgQgNrIKg0kyVhfNPXOa%2bQZ1FZnwAMt%2bw%3d",59,"Ohio",1450,"Division I","Ohio Valley","Ohio DI",20,10,315,0.891201361849813
