"","Team","Competition Level","Gender Division","City","State","Links","Rank","School","Power Rating","Competition Division","College Region","College Conference","Wins","Losses","Index","Rating"
"55","Duke (Swerve)","College","Women","Durham","NC","/teams/events/Eventteam/?TeamId=H0uZQmihXxCKUXgWlkzCXx5G%2fXPHpts6WN1HLnsXyek%3d",33,"Duke",1663,"Division I","Atlantic Coast","Carolina DI",18,6,83,0.86835356443439
"56","Central Florida (Central Florida)","College","Women","Orlando","FL","/teams/events/Eventteam/?TeamId=Fau2WHfLb7iXwh2CX%2fZRdzDu%2bK0SGFkO9nChSfiku38%3d",67,"Central Florida",1320,"Division I","Southeast","Florida DI",18,16,47,0.811229884110119
"57","Northwestern (GungHo)","College","Women","Evanston","IL","/teams/events/Eventteam/?TeamId=uFEJJHpXo%2bfg21QK51DzML51WaHXso20o%2bnS2oItlEI%3d",56,"Northwestern",1401,"Division I","Great Lakes","Illinois DI",18,13,186,0.786178009417873
"58","San Diego State (SDSU Gnomes)","College","Women","San Diego","CA","/teams/events/Eventteam/?TeamId=ZX33qMLWLJpIN8Fwl2GmKbFrK9uy%2bf48Lpc5GHGCZ9o%3d",90,"San Diego State",1125,"Division I","Southwest","SoCal DI",11,13,228,0.731554852670941
"59","Northeastern (Valkyries A)","College","Women","Boston","MA","/teams/events/Eventteam/?TeamId=ULMADbe8rb3kbp2F%2bq8VcYK7N3CyYNSTUrRhhBajqEI%3d",69,"Northeastern",1303,"Division I","New England","Metro Boston DI",12,19,182,0.726908945102544
"60","Connecticut (UConn Huskies)","College","Women","Storrs","CT","/teams/events/Eventteam/?TeamId=Bw4X5kH8%2blNFkm5DaoSpE5jxLAuEIme1R0yGOLdU40c%3d",44,"Connecticut",1557,"Division I","Metro East","Eastern Metro East DI",24,4,68,0.689506557791027
"61","Brigham Young (CHI)","College","Women","Orem","UT","/teams/events/Eventteam/?TeamId=GyIWE10yaReEHY1YEkoUTP7LiB%2bwS%2fGAo%2bK8ykiHGeE%3d",63,"Brigham Young",1341,"Division I","Northwest","Big Sky DI",11,9,26,0.641496609525884
"62","Columbia (PANDEMIC)","College","Women","New York City","NY","/teams/events/Eventteam/?TeamId=xtcmP99PffxjvtIyS%2bClt6%2fpSpsjbnF7TEqh3uZ9fhw%3d",37,"Columbia",1638,"Division I","Metro East","Eastern Metro East DI",18,5,66,0.60572441977329
"63","Harvard (Quasar)","College","Women","Cambridge","MA","/teams/events/Eventteam/?TeamId=hUSGGPgTIUluMR1pCr5MFkf08km7d8twZk9M7y%2fIkXc%3d",58,"Harvard",1381,"Division I","New England","Metro Boston DI",19,11,115,0.587565032193294
"64","John Brown (Savage Skies)","College","Women","Siloam Springs","AR","/teams/events/Eventteam/?TeamId=vCGDnpUUe%2b6vjco%2fixY%2bDyz8sLTg1l%2bvi44Dd52iJis%3d",112,"John Brown",958,"Division III","South Central","South Central DIII",16,5,128,0.584257838762259
"65","Truman State (TSUnami Women's Ultimate)","College","Women","Kirksville","MO","/teams/events/Eventteam/?TeamId=4dGkX7XixfnEBcwY0prdutLhYCSbw4%2bsWkRMSjvap%2fQ%3d",92,"Truman State",1108,"Division III","South Central","South Central DIII",16,6,269,0.557499203293805
"66","Utah (Spiral Jetty Ultimate)","College","Women","Salt Lake City","UT","/teams/events/Eventteam/?TeamId=m73fSOCvwN44i%2bdz5xhcrmYANr7M%2b367mEqrQV480Jw%3d",133,"Utah",830,"Division I","Northwest","Big Sky DI",18,12,276,0.530901995335041
"67","Illinois (Illinois)","College","Women","Champaign-Urbana","IL","/teams/events/Eventteam/?TeamId=JSxn5P2QdOHgK8bbGkZKmRGsGfa9vnfIpy%2bL7zmaV3Q%3d",50,"Illinois",1458,"Division I","Great Lakes","Illinois DI",14,12,121,0.527964138599773
"68","South Carolina (SCORCH)","College","Women","Columbia","SC","/teams/events/Eventteam/?TeamId=Ec801WfT2iJGXPljM5d9a1n%2fDibbrJRchytByoIGi%2b4%3d",53,"South Carolina",1413,"Division I","Atlantic Coast","Carolina DI",15,14,235,0.5214570789903
"69","Texas-San Antonio (Legion)","College","Women","San Antonio","TX","/teams/events/Eventteam/?TeamId=zYw%2fFLnyV9wJriIun5XPxYGP6XOAOE1BWkFLKsjHjtg%3d",172,"Texas-San Antonio",556,"Division I","South Central","Texas DI",14,13,259,0.519383172596679
"70","Cincinnati (Snapbacks)","College","Women","Cincinnati","OH","/teams/events/Eventteam/?TeamId=EKcCmU1buLMPwucVJ41IhnLUPJjh4t0WpX7p780w67s%3d",52,"Cincinnati",1425,"Division I","Ohio Valley","Ohio DI",13,5,53,0.517994847969477
"71","Texas Christian (Wrath)","College","Women","Fort Worth","TX","/teams/events/Eventteam/?TeamId=BRqsin2RkfHTSmhvvtT%2bNmcIObj4FwArhRoj4Tk7Z%2bk%3d",116,"Texas Christian",935,"Division I","South Central","Texas DI",17,12,262,0.497581785195813
"72","Washington University (Iron Horse)","College","Women","St. Louis","MO","/teams/events/Eventteam/?TeamId=AUu2RJq%2fMZhVFRQ%2bgXi45cGambK9DC4ICUIW5EXpf9E%3d",77,"Washington University",1255,"Division I","South Central","Ozarks DI",14,19,291,0.488416908318498
"73","Massachusetts (Lady Zoo)","College","Women","Amherst","MA","/teams/events/Eventteam/?TeamId=%2fNwIx0WpSu9ZujXwVbVps7GeOjB1Rn8z9DGw6%2bQDga8%3d",109,"Massachusetts",989,"Division I","New England","Greater New England DI",14,16,151,0.479389643862247
"74","Idaho (Idaho Gems)","College","Women","Moscow","ID","/teams/events/Eventteam/?TeamId=heaBQJF9A6cDlIfU2KSi7kzDoIOFWI7yo8fN1tmS6Q4%3d",119,"Idaho",919,"Division I","Northwest","Big Sky DI",12,12,120,0.46118151069651
"75","Montana (MT PillowFight)","College","Women","Missoula","MT","/teams/events/Eventteam/?TeamId=%2bquXdUAgZAajPeHi%2bR0xZ8cjX%2fbKKXJCONCoXZbka4I%3d",159,"Montana",651,"Division I","Northwest","Big Sky DI",7,8,167,0.458410097414691
"76","St Olaf (Vortex)","College","Women","Northfield","MN","/teams/events/Eventteam/?TeamId=L%2bnaiOICsvpoS48z0cK2A4y5EqRNtneUxyv3GkY%2fTAo%3d",74,"St Olaf",1264,"Division III","North Central","North Central DIII",13,8,241,0.457422249134899
"77","Denver (Hype )","College","Women","Denver","CO","/teams/events/Eventteam/?TeamId=iqD37pXMEw%2bbep2hg73k0Dmy4f%2fW8iB2A1kScChAPks%3d",84,"Denver",1216,"Division I","South Central","Rocky Mountain DI",18,11,78,0.447044033195481
"78","Arizona State (Caliente)","College","Women","Tempe","AZ","/teams/events/Eventteam/?TeamId=9QmSNfSq%2fuqxIIn55N8CGSqeSki6bWQ3qBrHOaLjnYk%3d",138,"Arizona State",799,"Division I","Southwest","Desert DI",11,15,12,0.439079527199607
"79","Victoria (UVixens)","College","Women","Victoria","BC","/teams/events/Eventteam/?TeamId=UFP4dGqMw9CL%2fXnILhJSGCjhepT4PajAMtAv0G%2bHVcg%3d",66,"Victoria",1321,"Division I","Northwest","Cascadia DI",8,16,282,0.431032081231087
"80","Valparaiso (Chicks Hucking Discs)","College","Women","Valparaiso","IN","/teams/events/Eventteam/?TeamId=gvN1mHREvSjJRrohwFOoXwvSgaqraYU7eAfSOE64BMg%3d",81,"Valparaiso",1225,"Division III","Great Lakes","Great Lakes DIII",16,3,277,0.418196370659964
"81","Case Western Reserve (Fighting Gobies)","College","Women","Cleveland","OH","/teams/events/Eventteam/?TeamId=kNe%2fJLR%2bW0SBoryXfzjmdrmGKfe16ctQxrfLF5S6TKE%3d",41,"Case Western Reserve",1583,"Division I","Ohio Valley","Ohio DI",16,9,45,0.406067825300565
"82","Middlebury (Middlebury Lady Pranksters)","College","Women","Middlebury","VT","/teams/events/Eventteam/?TeamId=ismDmdHInaC%2bEln9S7%2f35aQnU2KtA4BK%2b0pFjpVhnQw%3d",NA,NA,NA,NA,NA,NA,11,13,158,0.4043217739729
"83","SUNY-Geneseo  (Escargot 2017)","College","Women","Geneseo","NY","/teams/events/Eventteam/?TeamId=nMoLJNgmDySZwtuEupQyAhZKjZJqEHGPq0b8awgOZXM%3d",NA,NA,NA,NA,NA,NA,18,2,248,0.396762902849425
"84","Bowdoin (Chaos Theory)","College","Women","Brunswick","ME","/teams/events/Eventteam/?TeamId=8wF5GL2mV8K8mXy8Et985w2ZPG%2fg6XXKx7l0kuoRxgo%3d",43,"Bowdoin",1577,"Division III","New England","North New England DIII",14,3,24,0.394595593503898
"85","Oregon State  (Dinos)","College","Women","Corvallis","OR","/teams/events/Eventteam/?TeamId=ceWhAnmm9hJmU5H3pBVY9tSZB3SU0vYtVD263mLD3yo%3d",118,"Oregon State",925,"Division I","Northwest","Cascadia DI",14,10,201,0.391190965967745
"86","Puget Sound (Clearcut)","College","Women","Tacoma","WA","/teams/events/Eventteam/?TeamId=wp3pykW%2f%2bMusNgMn%2fqmhWXbVCwKKbLZPsolU3A2HUY0%3d",108,"Puget Sound",997,"Division III","Northwest","Northwest DIII",10,10,214,0.387221825417701
"87","Missouri State (Bearly Legal)","College","Women","Springfield","MO","/teams/events/Eventteam/?TeamId=lQi4946YJw5WX0JUGsWbg7u6O1AGwvMzgWpfvN6XWtM%3d",71,"Missouri State",1281,"Division I","South Central","Ozarks DI",15,8,165,0.370635298020345
"88","Maryland (Helpful Corn)","College","Women","College Park","MD","/teams/events/Eventteam/?TeamId=W1rKBAklwdksFfw8T6J9s4%2bxJKknScR1Ch%2fjCxUT3lk%3d",86,"Maryland",1198,"Division I","Atlantic Coast","Colonial DI",23,17,150,0.366350753944082
"89","Indiana (Calamity Jane)","College","Women","Bloomington","IN","/teams/events/Eventteam/?TeamId=aAUiRYJmi6fw7gapfnv1FuUHeQxTcbKFVsaQVRX9poU%3d",64,"Indiana",1334,"Division I","Great Lakes","Eastern Great Lakes DI",22,12,123,0.357370074947184
"90","Wesleyan (Vicious Circles)","College","Women","Middletown","CT","/teams/events/Eventteam/?TeamId=8yQXQsqwd3U5tPLJtibXU4alXcwGzjS6ZK7mnwzv4h8%3d",NA,NA,NA,NA,NA,NA,12,0,295,0.353223771629781
"91","Boise State (Buffalo Gals)","College","Women","Boise","ID","/teams/events/Eventteam/?TeamId=%2fmrjSLct5hWpusPeWOwZTJiyMEPJsnI52zcXdqr5WnE%3d",137,"Boise State",804,"Division I","Northwest","Big Sky DI",10,14,20,0.342892278113655
"92","Iowa (Saucy Nancy)","College","Women","Iowa City","IA","/teams/events/Eventteam/?TeamId=RzDNayJWB2ePNdEnK1FH06lYuuLybCNh%2fKB2mk0OzQo%3d",85,"Iowa",1207,"Division I","North Central","Western North Central DI",18,16,124,0.327058124923112
"93","Santa Clara (Santa Clara RAGE A)","College","Women","Santa Clara","CA","/teams/events/Eventteam/?TeamId=fXsHBrvEI2JiOxJlZpAPzgDzHgT%2fRn8ozlHpu1Swu1Y%3d",97,"Santa Clara",1076,"Division I","Southwest","NorCal DI",8,14,230,0.322584691752344
"94","Texas-B (Mayhem)","College","Women","Austin","TX","/teams/events/Eventteam/?TeamId=bl89oVoIVl8Bfw7AUnUmWEHjAXwGkZHM2Czcko%2fbAX8%3d",186,"Texas B",416,"Developmental","South Central","Texas DI",14,13,257,0.321114407488733
"95","Princeton (Clockwork Orange)","College","Women","Princeton","NJ","/teams/events/Eventteam/?TeamId=M4c6NyH72wgD7XUnMNbMsdoZ6EgQKLymSYLik7QJxSE%3d",65,"Princeton",1322,"Division I","Metro East","Eastern Metro East DI",21,11,213,0.315947590153264
"96","California-Santa Cruz (Sol)","College","Women","Santa Cruz","CA","/teams/events/Eventteam/?TeamId=jaq4l3e%2bBkW1BWT%2bIp8Kiv8AHuy%2bKXIEH2llLgEF5Ys%3d",150,"California-Santa Cruz",718,"Division I","Southwest","NorCal DI",8,18,40,0.31370356469291
"97","Humboldt State (Hags)","College","Women","Arcata","CA","/teams/events/Eventteam/?TeamId=fimUsGqNxS9OVlqfE1JIrq20ZyOplYViF9wpHtTbdhQ%3d",NA,NA,NA,NA,NA,NA,3,13,119,0.301927045810704
"98","Texas State (Trainwreck)","College","Women","San Marcos","TX","/teams/events/Eventteam/?TeamId=8hF8JcZo%2fNSinJjoa93cz6q5CXHLrbjO476VNl9NbME%3d",139,"Texas State",797,"Division I","South Central","Texas DI",7,10,263,0.274636457577659
"99","West Virginia (Mountain Mamas )","College","Women","Morgantown","WV","/teams/events/Eventteam/?TeamId=UcqpwvFK6qHgsIMb1%2bQ0RQQ4t3UI0sGqH9pI2SuYtZg%3d",73,"West Virginia",1276,"Division I","Ohio Valley","Pennsylvania DI",15,9,297,0.27322322867814
