"","Team","Competition Level","Gender Division","City","State","Links","Rank","School","Power Rating","Competition Division","College Region","College Conference","Wins","Losses","Index","Rating"
"30","Purdue (Undue Ultimate)","College","Men","West Lafayette","IN","/teams/events/Eventteam/?TeamId=8XhkSNmN63ufgVWOWT6OLqvw9O3kfk5v59B4fOD%2fJ4o%3d",20,"Purdue",1762,"Division I","Great Lakes","East Plains DI",22,4,346,3.60751955648655
"31","Case Western Reserve (Fighting Gobies[A])","College","Men","Cleveland","OH","/teams/events/Eventteam/?TeamId=rM4XY89tFm7AEQ3s7Cm87hmWl3Oe2j2OTZ3I49m3rMc%3d",27,"Case Western Reserve",1678,"Division I","Ohio Valley","Ohio DI",22,13,81,3.54859709867681
"32","Virginia (Night Train)","College","Men","Charlottesville","VA","/teams/events/Eventteam/?TeamId=DJE01suwRGBprWcMy3TCAdenbIvzWGYPXgPwAqYowhM%3d",23,"Virginia",1735,"Division I","Atlantic Coast","Virginia DI",22,7,471,3.49737270428686
"33","Texas A&M (Dozen)","College","Men","COLLEGE STATION","TX","/teams/events/Eventteam/?TeamId=ccEBsqjDHLttzd5CiUTrJB68eTa8BXzfbxueOSSJUko%3d",17,"Texas A&M",1850,"Division I","South Central","South Texas DI",16,8,439,3.35967479076591
"34","Western Washington (Dirt)","College","Men","Bellingham","WA","/teams/events/Eventteam/?TeamId=r99p1qS7iNIEJUMtdY0NgnagZ4FMrsONyU0TMH%2bKRa0%3d",36,"Western Washington",1624,"Division I","Northwest","Cascadia DI",16,15,491,3.30627703103476
"35","Brown (Brownian Motion)","College","Men","Providence","RI","/teams/events/Eventteam/?TeamId=OUvScYkbw0BFIf8OR05004gIdCq5%2bEKKkgCM0P3ASIw%3d",33,"Brown",1641,"Division I","New England","South New England DI",10,15,50,3.0839715342524
"36","Notre Dame (Papal Rage)","College","Men","Notre Dame","IN","/teams/events/Eventteam/?TeamId=WgRfir8LU7DOF%2bdWNsPthKYWwj4uiLzr6G4izUkmxVM%3d",41,"Notre Dame",1597,"Division I","Great Lakes","East Plains DI",19,14,310,2.82220863224181
"37","Northwestern (NUT)","College","Men","Evanston","IL","/teams/events/Eventteam/?TeamId=I7w9UnRYFw%2bulHgTHFCq4Wyc0AIJlBkWnpb9xdW%2biMU%3d",37,"Northwestern",1622,"Division I","Great Lakes","Illinois DI",25,10,308,2.81597662426174
"38","Virginia Tech (Burn)","College","Men","Blacksburg","VA","/teams/events/Eventteam/?TeamId=cka3O9x4lcgypSMx8dYlv3ZdTWfKMlJDK6rm9lGMSQE%3d",30,"Virginia Tech",1652,"Division I","Atlantic Coast","Virginia DI",13,15,474,2.78682327977643
"39","Iowa State (ISUC)","College","Men","Ames","IA","/teams/events/Eventteam/?TeamId=sZVKoPDQhqIVwv2VnZyEGynxRoEmPoPxx1SgajX1j2I%3d",51,"Iowa State",1501,"Division I","North Central","West Plains DI",25,10,202,2.6435558716898
"40","Texas (TUFF)","College","Men","Austin","TX","/teams/events/Eventteam/?TeamId=IpqF2j5DGGSa4G05i%2fN9juaihnT8eQxDdoJmCkCdgfg%3d",47,"Texas",1544,"Division I","South Central","South Texas DI",12,14,436,2.50847995492644
