"","Team","Competition Level","Gender Division","City","State","Links","Rank","School","Power Rating","Competition Division","College Region","College Conference","Wins","Losses","Index","Rating"
"11","Cal Poly-SLO (SLOCORE)","College","Men","San Luis Obispo","CA","/teams/events/Eventteam/?TeamId=upONuvObIX0TM7S2QuPFQ6%2bzUsEb4Mq3%2fxwncss5NEo%3d",21,"Cal Poly-SLO",1765,"Division I","Southwest","SoCal DI",28,14,55,10.1125944035222
"12","Washington (Sundodgers)","College","Men","Seattle","WA","/teams/events/Eventteam/?TeamId=7fAZ7vZGbu4H9hgu4YNumWccDVsrtfw5hVFh9O6rA%2bI%3d",8,"Washington",1890,"Division I","Northwest","Cascadia DI",26,10,477,10.0154100384541
"13","Brigham Young (CHI)","College","Men","Provo","UT","/teams/events/Eventteam/?TeamId=kB9yug7FXzHWqdcGUE7djiAcTF7pFOBRrxC1ZYbxWs8%3d",10,"Brigham Young",1882,"Division I","Northwest","Big Sky DI",22,6,46,9.33501469082587
"14","Stanford (Stanford Bloodthirsty)","College","Men","Stanford","CA","/teams/events/Eventteam/?TeamId=GF3P5U1mOM9XI4LJr%2bd0K9pTOWqGL2sh5hg2ANzKsJQ%3d",14,"Stanford",1813,"Division I","Southwest","NorCal DI",25,9,400,8.23487282118703
"15","Colorado State (Hibida)","College","Men","Fort Collins","CO","/teams/events/Eventteam/?TeamId=p0aJHW8jJAKNh4%2fbu2WxWU8fx8OcpcUaF5174PtoigM%3d",16,"Colorado State",1813,"Division I","South Central","Rocky Mountain DI",25,10,112,8.18615033970041
"16","Bryant (Bryant Craze)","College","Men","Smithfield","RI","/teams/events/Eventteam/?TeamId=cPPnVCIhsr4ournMe583ba2QGcQCOiNc%2b2%2bHaqWv2ts%3d",13,"Bryant",1816,"Division III","New England","South New England DIII",18,1,51,8.17135254635545
"17","Auburn (Aetos)","College","Men","Auburn","AL","/teams/events/Eventteam/?TeamId=t9l5eJtNdev%2bjDQ9ssYoEi9Otfbn4IeepbeItME4Lrs%3d",17,"Auburn",1811,"Division I","Southeast","Gulf Coast DI",27,13,24,8.06289512160179
"18","Georgia (Jojah)","College","Men","Athens","GA","/teams/events/Eventteam/?TeamId=Z8icJNv%2btXdqQAD9V0ujRC5vt%2bRltwBAQaoTdO98Nl4%3d",19,"Georgia",1803,"Division I","Southeast","Southern Appalachian DI",25,8,165,7.88903046710349
"19","North Carolina State (NCSU Wolfpack)","College","Men","Raleigh","NC","/teams/events/Eventteam/?TeamId=p1F2WSKSvCBiLVuHNC74p5lbXlbe6nY%2fXKbZZ3fH2Ls%3d",20,"North Carolina State",1775,"Division I","Atlantic Coast","Carolina DI",30,12,293,7.7912296847261
"20","British Columbia (Thunderbirds)","College","Men","Vancouver","BC","/teams/events/Eventteam/?TeamId=O8qD5sxMQuQNaVYulq3Jq0R6fv6H4DE1bfgN1KUj4kM%3d",18,"British Columbia",1810,"Division I","Northwest","Cascadia DI",21,12,47,7.69919526721916
"21","Central Florida (Dogs of War)","College","Men","Orlando","FL","/teams/events/Eventteam/?TeamId=bRUy5IJ2D7vkDhVw1uWDjAYV%2foM1Oed%2bDTLmfKTSlxg%3d",22,"Central Florida",1711,"Division I","Southeast","Florida DI",27,15,87,7.02761122139462
"22","Florida (Florida)","College","Men","Gainesville","FL","/teams/events/Eventteam/?TeamId=p6Oa%2fO5c4opxvVr%2bnt556ig40ZsdI4NLAfq5Oc1NiUc%3d",39,"Florida",1589,"Division I","Southeast","Florida DI",29,12,147,5.7923680256949
"23","Texas A&M (Dozen)","College","Men","COLLEGE STATION","TX","/teams/events/Eventteam/?TeamId=ccEBsqjDHLttzd5CiUTrJB68eTa8BXzfbxueOSSJUko%3d",15,"Texas A&M",1813,"Division I","South Central","South Texas DI",23,9,438,5.64082544951383
"24","Franciscan (Fatal)","College","Men","Steubenville","OH","/teams/events/Eventteam/?TeamId=2CG0W5AyqCIKg59Z88pq7v0HTQTk1%2bI%2fOgRAenSAIaM%3d",46,"Franciscan",1548,"Division III","Ohio Valley","Ohio DIII",33,0,155,5.4401082269593
"25","Florida State (DUF)","College","Men","TALLAHASSEE","FL","/teams/events/Eventteam/?TeamId=Jjdh%2fXtnfhVHWcjlZqdfm3BtjB50AjaNgx%2frE6YoiSE%3d",32,"Florida State",1603,"Division I","Southeast","Florida DI",19,17,151,4.46164270834088
"26","Oregon State (Beavers)","College","Men","Corvallis","OR","/teams/events/Eventteam/?TeamId=KK9IlE32pAzCH4xAy%2bN2lJKVus6hjjCV%2bu8zX4bboVs%3d",33,"Oregon State",1599,"Division I","Northwest","Cascadia DI",27,17,327,4.43382053367444
"27","Virginia (Night Train)","College","Men","Charlottesville","VA","/teams/events/Eventteam/?TeamId=DJE01suwRGBprWcMy3TCAdenbIvzWGYPXgPwAqYowhM%3d",26,"Virginia",1632,"Division I","Atlantic Coast","Virginia DI",26,9,470,4.11652268532115
"28","Connecticut (UConn Grind)","College","Men","Storrs","CT","/teams/events/Eventteam/?TeamId=YYnZYOyp3grP1GuSgf90imP3KKBYrG6C3NUoIhxf65k%3d",24,"Connecticut",1662,"Division I","Metro East","Hudson Valley DI",23,16,116,4.03120348740873
"29","California-Santa Barbara (Black Tide)","College","Men","Goleta","CA","/teams/events/Eventteam/?TeamId=nelFhkhjgGclVCvGljw%2fHnNM7puXeb56ng695eGpy6E%3d",42,"California-Santa Barbara",1566,"Division I","Southwest","SoCal DI",21,17,67,3.84967195408723
"30","Purdue (Undue Ultimate)","College","Men","West Lafayette","IN","/teams/events/Eventteam/?TeamId=8XhkSNmN63ufgVWOWT6OLqvw9O3kfk5v59B4fOD%2fJ4o%3d",31,"Purdue",1608,"Division I","Great Lakes","East Plains DI",27,7,345,3.70586180714598
"31","Southern California (USC Lockdown)","College","Men","Los Angeles","CA","/teams/events/Eventteam/?TeamId=CxR4R4GqVpPdk%2b%2bJ9Fd8LgQMMKPk5yIgX6QA4gjkaFc%3d",23,"Southern California",1673,"Division I","Southwest","SoCal DI",25,10,386,3.65475125014573
"32","Case Western Reserve (Fighting Gobies[A])","College","Men","Cleveland","OH","/teams/events/Eventteam/?TeamId=rM4XY89tFm7AEQ3s7Cm87hmWl3Oe2j2OTZ3I49m3rMc%3d",34,"Case Western Reserve",1597,"Division I","Ohio Valley","Ohio DI",22,13,81,3.61763582854406
"33","Northwestern (NUT)","College","Men","Evanston","IL","/teams/events/Eventteam/?TeamId=I7w9UnRYFw%2bulHgTHFCq4Wyc0AIJlBkWnpb9xdW%2biMU%3d",29,"Northwestern",1615,"Division I","Great Lakes","Illinois DI",31,12,307,3.58458152830853
"34","Cincinnati (Cincinnati)","College","Men","Cincinnati","OH","/teams/events/Eventteam/?TeamId=DGe1rZIRMlgiShbKCDcbv5dp6NL7vaFtP6tDaHA%2b6eg%3d",44,"Cincinnati",1564,"Division I","Ohio Valley","Ohio DI",23,12,95,3.56349222229492
"35","Brown (Brownian Motion)","College","Men","Providence","RI","/teams/events/Eventteam/?TeamId=OUvScYkbw0BFIf8OR05004gIdCq5%2bEKKkgCM0P3ASIw%3d",30,"Brown",1611,"Division I","New England","South New England DI",14,17,50,3.53602109772339
"36","Texas (TUFF)","College","Men","Austin","TX","/teams/events/Eventteam/?TeamId=IpqF2j5DGGSa4G05i%2fN9juaihnT8eQxDdoJmCkCdgfg%3d",36,"Texas",1593,"Division I","South Central","South Texas DI",18,16,435,3.39482605771253
"37","James Madison (Hellfish)","College","Men","Harrisonburg","VA","/teams/events/Eventteam/?TeamId=DdcUab8gUmqIIJaDfsz5MBnRuk23KhzHkFPRQ%2f7lWYs%3d",40,"James Madison",1581,"Division I","Atlantic Coast","Virginia DI",26,11,206,3.30888803016879
"38","William & Mary (Darkhorse)","College","Men","Williamsburg","VA","/teams/events/Eventteam/?TeamId=BT6dvz9i297AHGqETMr9lgFLtyCBruZKHSjJd%2bktZkk%3d",47,"William & Mary",1544,"Division I","Atlantic Coast","Virginia DI",25,16,497,3.1793230448579
"39","Notre Dame (Papal Rage)","College","Men","Notre Dame","IN","/teams/events/Eventteam/?TeamId=WgRfir8LU7DOF%2bdWNsPthKYWwj4uiLzr6G4izUkmxVM%3d",41,"Notre Dame",1569,"Division I","Great Lakes","East Plains DI",24,17,309,3.15711445943065
"40","Western Washington (Dirt)","College","Men","Bellingham","WA","/teams/events/Eventteam/?TeamId=r99p1qS7iNIEJUMtdY0NgnagZ4FMrsONyU0TMH%2bKRa0%3d",37,"Western Washington",1592,"Division I","Northwest","Cascadia DI",16,15,490,3.14742983103996
"41","Virginia Tech (Burn)","College","Men","Blacksburg","VA","/teams/events/Eventteam/?TeamId=cka3O9x4lcgypSMx8dYlv3ZdTWfKMlJDK6rm9lGMSQE%3d",38,"Virginia Tech",1592,"Division I","Atlantic Coast","Virginia DI",16,18,473,3.02042869001646
"42","Iowa State (ISUC)","College","Men","Ames","IA","/teams/events/Eventteam/?TeamId=sZVKoPDQhqIVwv2VnZyEGynxRoEmPoPxx1SgajX1j2I%3d",48,"Iowa State",1541,"Division I","North Central","West Plains DI",25,10,202,2.7525013168614
"43","LSU (LSU Ultimate)","College","Men","Baton Rouge","LA","/teams/events/Eventteam/?TeamId=zpSOdcDSsYKTG2%2fMo2U%2bP5D9eTwxhNYAMM6XVAZhCLc%3d",50,"LSU",1505,"Division I","Southeast","Gulf Coast DI",31,15,232,2.46694248008243
"44","Northeastern (Huskies)","College","Men","Boston","MA","/teams/events/Eventteam/?TeamId=MhzZVzBDtrZbw%2fP8ZZEAL3yUx%2fdFP8JewePv6OHdHRY%3d",25,"Northeastern",1654,"Division I","New England","Metro Boston DI",23,12,301,2.39887451648664
"45","Ohio State (Leadbelly)","College","Men","Columbus","OH","/teams/events/Eventteam/?TeamId=YQyMLUencDbRAvnLTZ8eUVDvddbcRu1Rpp%2fvsi6%2b%2fes%3d",59,"Ohio State",1450,"Division I","Ohio Valley","Ohio DI",26,17,317,2.39842063804918
"46","Harvard (Red Line)","College","Men","Cambridge","MA","/teams/events/Eventteam/?TeamId=GR%2f7FpUMAHYiCNUZ6dwVZjArqD2Qxokk36oXiSKGk9Y%3d",28,"Harvard",1618,"Division I","New England","Metro Boston DI",16,17,182,2.37846347774849
"47","Texas Tech (Tumbleweed)","College","Men","Lubbock","TX","/teams/events/Eventteam/?TeamId=h4NQwK%2fuKG%2f3LccB%2fBTTnMENJYYD7mDdwMHpcL53CLA%3d",55,"Texas Tech",1468,"Division I","South Central","North Texas DI",29,7,442,2.37404395913138
"48","Penn State (Spank)","College","Men","State College","PA","/teams/events/Eventteam/?TeamId=UtA3lYk3CKAms8pBRbK2pGtrYVaf4I482HqHjsUbAEI%3d",27,"Penn State",1626,"Division I","Ohio Valley","West Penn DI",20,7,331,2.37184195217273
"49","Emory (Emory Juice)","College","Men","Atlanta","GA","/teams/events/Eventteam/?TeamId=eWCzyIv%2bSrZj08gDeJjqfsjGStcMk10ToMQ9iLcKGRA%3d",68,"Emory",1410,"Division I","Southeast","Southern Appalachian DI",23,13,144,2.30570859234686
"50","Air Force (Afterburn)","College","Men","USAF Academy","CO","/teams/events/Eventteam/?TeamId=fpIytPB8Dx8D%2bL%2fkzLPPlRYLVEip8jnSUOtmSvMfe9g%3d",56,"Air Force",1457,"Division III","South Central","Northern South Central DIII",30,4,1,2.28908108736792
"51","Clemson (Joint Chiefs of Waft)","College","Men","Clemson","SC","/teams/events/Eventteam/?TeamId=tc9UyJTaX5LKMgJ535CxjSMVhuhozup31vjSyx3q4d4%3d",69,"Clemson",1409,"Division I","Atlantic Coast","Carolina DI",18,21,100,2.27508429423064
"52","Tufts (Elephant Men)","College","Men","Medford","MA","/teams/events/Eventteam/?TeamId=J4AliUeh5ZlPjYBlgF%2bpjmbHcK4HYGn5gkhf5yGrBBI%3d",35,"Tufts",1593,"Division I","New England","Metro Boston DI",10,15,452,2.13810343795203
"53","Illinois (Illinois Ultimate)","College","Men","Champaign","IL","/teams/events/Eventteam/?TeamId=Dt%2fGNzRwOX8%2bfQu6yc0cHFo89pJVTkxCCrMJRbpVnpY%3d",43,"Illinois",1565,"Division I","Great Lakes","Illinois DI",16,17,193,2.02077313193937
"54","Villanova (Main Line Ultimate)","College","Men","Villanova","PA","/teams/events/Eventteam/?TeamId=9lBthNu%2fVQzijesSj9EhIFh6Neq8MCxBUn%2fhVEEcj3M%3d",53,"Villanova",1485,"Division I","Ohio Valley","East Penn DI",23,12,468,2.00438334814162
"55","California-San Diego (Air Squids)","College","Men","San Diego","CA","/teams/events/Eventteam/?TeamId=g%2b5fP8ugcD%2bL221WEoSTUmqynJ0Y9IB8S%2fEbDOoChRI%3d",52,"California-San Diego",1489,"Division I","Southwest","SoCal DI",13,15,65,1.94721830549529
"56","Vermont (Chill)","College","Men","Burlington","VT","/teams/events/Eventteam/?TeamId=ZZIVWFW12JtpVc8PsvdoPFShuAuZjdeDSvUYAeLmLa4%3d",51,"Vermont",1499,"Division I","New England","North New England DI",14,6,466,1.91874231655728
"57","Montana State  (Rum Runners)","College","Men","Bozeman","MT","/teams/events/Eventteam/?TeamId=K4NGflpVOgSAJTJEbD5qCe5sxkF9ZsO5QqXmH6jVpac%3d",78,"Montana State",1393,"Division I","Northwest","Big Sky DI",21,6,277,1.82730476601146
"58","Baylor (Stonewall A)","College","Men","Waco","TX","/teams/events/Eventteam/?TeamId=fURgImJfk1urNKcgGQwLFay%2fbjVnQxze36jAcdXNW2E%3d",99,"Baylor",1285,"Division I","South Central","North Texas DI",20,15,29,1.73995509594248
"59","Richmond (Spidermonkeys)","College","Men","Richmond","VA","/teams/events/Eventteam/?TeamId=BOu52yIpK8UabwRgnYVxum02k8MsmgUjS3WHjqARGCg%3d",45,"Richmond",1550,"Division III","Atlantic Coast","Northern Atlantic Coast DIII",18,11,355,1.71361190021371
"60","Washington University (Contra)","College","Men","St. Louis","MO","/teams/events/Eventteam/?TeamId=5oOYlrU3ho%2fA15VgLDs%2fuzBSMRXoVPqPqlCjYEbwRI4%3d",79,"Washington University",1393,"Division I","South Central","Ozarks DI",21,15,480,1.71161157291359
"61","Tennessee (Agent Orange)","College","Men","Knoxville","TN","/teams/events/Eventteam/?TeamId=KSrojy1smBAQRLAkb%2bco%2b7qDvP4gDX4Plbm19SHH9qY%3d",66,"Tennessee",1420,"Division I","Southeast","Southern Appalachian DI",21,17,427,1.67679071041886
"62","Maryland (Maryland Ultimate)","College","Men","College Park","MD","/teams/events/Eventteam/?TeamId=vpO8IDzh0CE7pgnQnnC%2fSHS8GzgkuiKxuhA%2bX81C1EE%3d",63,"Maryland",1429,"Division I","Atlantic Coast","Colonial DI",26,13,244,1.65816312862994
"63","Colorado College (Wasabi)","College","Men","Colorado Springs","CO","/teams/events/Eventteam/?TeamId=3x6AvfTJCnboUJDh5njMg7rapfixLdypMISpRG3T2Ds%3d",64,"Colorado College",1425,"Division III","South Central","Northern South Central DIII",25,5,109,1.65092083325959
"64","George Washington (G-Dub Hippos)","College","Men","Washington","DC","/teams/events/Eventteam/?TeamId=bYgFb61CtHM6%2bRdfAs3JRH6dvZQX7Qnfnsn1nqK8Yv0%3d",49,"George Washington",1505,"Division I","Atlantic Coast","Colonial DI",24,9,161,1.64578143446613
"65","Illinois State (Gnomes)","College","Men","Normal","IL","/teams/events/Eventteam/?TeamId=N7IzGHFsL0tclOOglbhp%2b1FQ7J5FqbBoTXZGBvg7MJY%3d",70,"Illinois State",1402,"Division I","Great Lakes","Illinois DI",24,17,195,1.56580665777178
"66","Iowa (IHUC)","College","Men","Iowa City","IA","/teams/events/Eventteam/?TeamId=HWJ8nhw8QNNAbnOJB%2fSgNhcyE9R22HzK70wiIvrc98U%3d",88,"Iowa",1345,"Division I","North Central","West Plains DI",24,20,200,1.54173797250841
"67","Carleton College-GoP (Gods of Plastic)","College","Men","Northfield","MN","/teams/events/Eventteam/?TeamId=SFOuSxNgXNRdrhe50SdBj4XRfw62Yz1tuY9INL3X20Y%3d",94,"Carleton College-GoP",1302,"Division III","North Central","Northwoods DIII",20,6,76,1.53194410560736
"68","Oklahoma (Apes of Wrath)","College","Men","Norman","OK","/teams/events/Eventteam/?TeamId=Uft%2bKolMOgu3pp17PPdaR89mpwV2zsAVal9pXM7ByMc%3d",77,"Oklahoma",1394,"Division I","South Central","Ozarks DI",20,12,321,1.4972558973428
"69","Arizona (Sunburn)","College","Men","Tucson","AZ","/teams/events/Eventteam/?TeamId=H93i66n4VjFjKgUI87xcd%2fQQ7QUTJx2CqHB9JmcMcec%3d",60,"Arizona",1450,"Division I","Southwest","Desert DI",12,8,15,1.49010217222325
"70","Arkansas (Ludicrous Speed )","College","Men","Fayetteville","AR","/teams/events/Eventteam/?TeamId=1E%2bmReGQ87HZpY3bfSryJwrMu5%2fwJB7g1XHH0e8AxCM%3d",72,"Arkansas",1398,"Division I","South Central","Ozarks DI",14,13,20,1.48529049356131
"71","Utah (Zion Curtain)","College","Men","Salt Lake City","UT","/teams/events/Eventteam/?TeamId=ACht8mbdzA85YKm7LLn3aa1IQFIEzIagbVS%2f5%2flwfgo%3d",58,"Utah",1451,"Division I","Northwest","Big Sky DI",14,12,459,1.46971146771804
"72","Georgia Tech (Tribe)","College","Men","Atlanta","GA","/teams/events/Eventteam/?TeamId=MT%2fVWJEI5XhmTVdRDaQhMbrckbFJu%2fObwFy0ytoRsMw%3d",74,"Georgia Tech",1397,"Division I","Southeast","Southern Appalachian DI",16,23,171,1.46341818536054
"73","California-Davis (Davis Dogs)","College","Men","Davis","CA","/teams/events/Eventteam/?TeamId=3G7ypWKmtCe2LN%2fpG9J0z8%2fFPmuJUgjt0yeB0HVwu4s%3d",81,"California-Davis",1373,"Division I","Southwest","NorCal DI",17,15,61,1.44876103220813
"74","Tennessee-Chattanooga (Swamp Donkeys)","College","Men","Chattanooga","TN","/teams/events/Eventteam/?TeamId=5CKBYVtGQ5El2abmE5WU4OKeX4C6plgAaZU1pVPQDRc%3d",76,"Tennessee-Chattanooga",1394,"Division I","Southeast","Southern Appalachian DI",24,17,426,1.4256834261692
"75","South Carolina (Warbird)","College","Men","Columbia","SC","/teams/events/Eventteam/?TeamId=iLgJ2xyi8%2bHysjtDX61BpuAvs8Tckx56K2dlAvniBqA%3d",97,"South Carolina",1294,"Division I","Atlantic Coast","Carolina DI",15,19,382,1.42234908190291
"76","Georgia Southern (Eagles)","College","Men","Statesboro, GA","GA","/teams/events/Eventteam/?TeamId=oDJlTMVtKHZS%2blHUtJbh5Q2469DPsGadXgJ1wf0CtZM%3d",87,"Georgia Southern",1349,"Division I","Southeast","Southern Appalachian DI",21,15,168,1.39044921598187
"77","John Brown (Ironfist)","College","Men","Siloam Springs","AR","/teams/events/Eventteam/?TeamId=CTVb1gnmHNTikOYyZqvozB83tJJUwUzfRvkyYdpSbQk%3d",80,"John Brown",1383,"Division III","South Central","Northern South Central DIII",25,8,207,1.3753898746122
"78","Dartmouth (Pain Train)","College","Men","Hanover","NH","/teams/events/Eventteam/?TeamId=0Pih%2fWDbaICjvJUFUidKTu1U0PWmvxvrMcsMjA0mIFY%3d",67,"Dartmouth",1419,"Division III","New England","North New England DIII",20,17,124,1.3314535960463
"79","Alabama-Huntsville (Nightmares)","College","Men","Huntsville","AL","/teams/events/Eventteam/?TeamId=8tkzhyeR1zDtQLVxmZD1nGpqv8jCkD9YWlj67pNFy6U%3d",83,"Alabama-Huntsville",1367,"Division III","Southeast","Western Southeast DIII",28,6,6,1.33042183160938
"80","Chicago (Junk)","College","Men","Chicago","IL","/teams/events/Eventteam/?TeamId=7ss%2f3VpjcSNhJvrfJ8DzTVCsxl8%2bzi1oN0cCPNLBRwo%3d",57,"Chicago",1453,"Division I","Great Lakes","Illinois DI",18,15,91,1.25685300985047
"81","Nevada-Reno (Elevation Ultimate)","College","Men","Reno","NV","/teams/events/Eventteam/?TeamId=LGmXODDnfZGIuZFbx05UItT9fnR8ilhrfbp7faftM%2bo%3d",114,"Nevada-Reno",1229,"Division I","Southwest","NorCal DI",22,16,283,1.23038391598854
"82","Amherst (Army of Darkness)","College","Men","Amherst","MA","/teams/events/Eventteam/?TeamId=5XztlUO8fKUtXXqkLhCuAMq24DTRwURDdSrB7GI6h5k%3d",54,"Amherst",1475,"Division III","New England","South New England DIII",22,7,12,1.22460903320128
"83","Davidson (DUFF)","College","Men","Davidson","NC","/teams/events/Eventteam/?TeamId=596u1JJRHGayzIV4dSXuuuigVXxCxPB8lI3uDE59wzI%3d",65,"Davidson",1422,"Division III","Atlantic Coast","Carolina DIII",22,14,125,1.19263338573575
"84","Williams (WUFO)","College","Men","Williamstown","MA","/teams/events/Eventteam/?TeamId=at%2fJNh1%2b5ZP1FKnbhyWHCiD5CiCP92k995NZ8ff6Xp8%3d",118,"Williams",1219,"Division III","New England","South New England DIII",25,20,499,1.19054929808642
"85","Utah State (USULT)","College","Men","Logan","UT","/teams/events/Eventteam/?TeamId=Nx5eI1C0406esrkKxq%2bst9V%2brnPyrb5qnlv9OV3LnL4%3d",84,"Utah State",1357,"Division I","Northwest","Big Sky DI",16,15,460,1.17412199965764
"86","Boston College (Eagles)","College","Men","Chestnut Hill","MA","/teams/events/Eventteam/?TeamId=T4Sv9bJTXNc3iLXE2kz5dTdsJ3k21rrfugxLEhdjUyo%3d",62,"Boston College",1433,"Division I","New England","Metro Boston DI",15,7,37,1.17334680894305
"87","Lehigh (Lehigh )","College","Men","Bethlehem","PA","/teams/events/Eventteam/?TeamId=vwbw5taKByIY3%2f4lmzXMxdQz6U%2foLsx5i3mN64D2pFQ%3d",61,"Lehigh",1434,"Division I","Ohio Valley","East Penn DIII",23,13,225,1.16447523152599
"88","Chico State (Chico State Wildcats)","College","Men","Chico","CA","/teams/events/Eventteam/?TeamId=CaCjKSXvAkJeonRDyI1WzpVx11VStzvHcwml0n2Z8vY%3d",125,"Chico State",1201,"Division I","Southwest","NorCal DI",29,11,92,1.15760886984441
"89","Victoria (Vikes)","College","Men","Victoria","BC","/teams/events/Eventteam/?TeamId=Xxig%2fjkYP08V8xz6AmJEQ%2b6%2bU5akV0AGAlg%2bZFdkFY0%3d",73,"Victoria",1398,"Division I","Northwest","Cascadia DI",7,15,467,1.15629547433018
"90","California (California-Berkeley)","College","Men","Berkeley","CA","/teams/events/Eventteam/?TeamId=Y45K6K3o4Iy93%2fE8fcfkFDEQngSTMt2Cj%2ft%2fJew62bc%3d",90,"California",1338,"Division I","Southwest","NorCal DI",12,18,71,1.14070585635067
"91","Virginia Commonwealth (Villains)","College","Men","Richmond","VA","/teams/events/Eventteam/?TeamId=YucFcxZeh0tCc9S8h3JiiWygq2%2f11xXnLwTtHczf6Pc%3d",89,"Virginia Commonwealth",1341,"Division I","Atlantic Coast","Virginia DI",16,9,471,1.13777993036487
"92","North Carolina-Asheville (UNC Asheville Bulldogs)","College","Men","Asheville","NC","/teams/events/Eventteam/?TeamId=MdmZR6qvKSZNQi354yRApg4qQUaYNFI4%2bEr3%2f5NNjHE%3d",112,"North Carolina-Asheville",1238,"Division III","Atlantic Coast","Carolina DIII",17,8,287,1.05168900661863
"93","Kennesaw State (Parliament)","College","Men","Kennesaw","GA","/teams/events/Eventteam/?TeamId=lM0x1cbvHb28vO4lOL6s33%2bqD1dE%2fyPRk3IuiJ5zRpo%3d",110,"Kennesaw State",1244,"Division I","Southeast","Southern Appalachian DI",23,19,214,1.02718556013434
"94","North Carolina-Charlotte (QCG)","College","Men","Charlotte","NC","/teams/events/Eventteam/?TeamId=keqeHbr%2bVNtcjbOZdlZgzC4VJuqVqblNkrKKvVyziAc%3d",85,"North Carolina-Charlotte",1357,"Division I","Atlantic Coast","Carolina DI",14,15,289,0.997374452645899
"95","Arizona State (Prime)","College","Men","Tempe","AZ","/teams/events/Eventteam/?TeamId=sWuOWiSgBQzQhhvR04iLpbctaOUr3I01A%2bSQV7YmFP8%3d",117,"Arizona State",1224,"Division I","Southwest","Desert DI",10,17,18,0.978868283591853
"96","South Florida (Scallywags)","College","Men","Tampa","FL","/teams/events/Eventteam/?TeamId=RCYi30XxcyXHLKD2uuXwjEzJbJuPlvpSxh2VCUoaknw%3d",95,"South Florida",1302,"Division I","Southeast","Florida DI",11,17,384,0.96713942585921
"97","Kansas (Horrorzontals)","College","Men","Lawrence","KS","/teams/events/Eventteam/?TeamId=mG6r0IFBBINa1CWp6WYLqabhTfLymvFKW38SQ70yvbo%3d",124,"Kansas",1203,"Division I","South Central","Ozarks DI",19,23,211,0.950347599342318
"98","Ohio (Ohio University)","College","Men","Athens","OH","/teams/events/Eventteam/?TeamId=yvALNJM8UDVgQgNrIKg0kyVhfNPXOa%2bQZ1FZnwAMt%2bw%3d",102,"Ohio",1270,"Division I","Ohio Valley","Ohio DI",20,10,314,0.939567803105119
