"","Team","Competition Level","Gender Division","City","State","Links","Rank","School","Power Rating","Competition Division","College Region","College Conference","Wins","Losses","Index","Rating"
"163","Wisconsin-Milwaukee (BlackCat )","College","Women","Milwaukee","WI","/teams/events/Eventteam/?TeamId=5grHBEk6Xyzb7UV%2faUbhO6I%2bHjdc%2fhvZ0NOkDZ88Ueo%3d",167,"Wisconsin-Milwaukee",615,"Division I","North Central","Lake Superior DI",8,11,310,0.0700732004112238
"164","Rhode Island (Disky Business)","College","Women","Kingston","RI","/teams/events/Eventteam/?TeamId=bFpC2vQlfFEFRlcii1HQcWHGELKr%2f5W30P1GWLoR%2bik%3d",NA,NA,NA,NA,NA,NA,7,5,219,0.0691930764035227
"165","DePaul (Laser Chains)","College","Women","Chicago","IL","/teams/events/Eventteam/?TeamId=V0eo6r%2b3r14Qh9s9D%2fPvlY%2ft75afsqbWo1epA7Eaf6w%3d",143,"DePaul",786,"Division I","Great Lakes","Illinois DI",8,11,79,0.0684848809430942
"166","Rochester (EZ Women)","College","Women","Rochester","NY","/teams/events/Eventteam/?TeamId=D%2bwhutq9Ty0zZXGinjjOv95wohSCiQ8f4Cw%2fmlGfFaw%3d",105,"Rochester",1027,"Division I","Metro East","Western NY DI",13,6,222,0.0674299571629786
"167","Rensselaer Polytech (Strut)","College","Women","Troy","NY","/teams/events/Eventteam/?TeamId=3EB7xsuF0QUP8aUFIPZoXDzrbzMdg%2bNXHaKyGf5GAhY%3d",141,"Rensselaer Polytech",788,"Division III","Metro East","Eastern Metro East DIII",16,11,217,0.0613546457027869
"168","Georgia Southern (Southern Sirens)","College","Women","Statesboro","GA","/teams/events/Eventteam/?TeamId=gYz89kpazF4fNzjx5GpMlSlt48pyYoZOW8PbHXCxIAs%3d",208,"Georgia Southern",162,"Division I","Southeast","Southern Appalachian DI",4,13,103,0.0608467669849694
"169","Santa Clara-B (Santa Clara RAGE B)","College","Women","Santa Clara","CA","/teams/events/Eventteam/?TeamId=3nA4Qx1h1a3jNKv3CQWDvj%2f1CmBKH6UjvqMzcchDdjo%3d",NA,NA,NA,NA,NA,NA,7,11,229,0.0603164469728431
"170","Ottawa (GeeGees)","College","Women","Ottawa","Ontario","/teams/events/Eventteam/?TeamId=cG0d7l2gcIWZ%2bEQNGW9Z5EAJ0QGPL%2b5j%2bMwvALy8Cxg%3d",NA,NA,NA,NA,NA,NA,9,7,202,0.059593259288373
"171","South Florida (Scallywenches)","College","Women","Tampa","FL","/teams/events/Eventteam/?TeamId=daMfgoV%2fFC3QiRkjRz6JGj0Qdsiq3tRL6OJPXiuJnPA%3d",96,"South Florida",1081,"Division I","Southeast","Florida DI",9,13,236,0.0595098280439159
"172","California-Irvine (Grass Ninjas)","College","Women","Irvine","CA","/teams/events/Eventteam/?TeamId=4Ey%2ffFygOoPQ3FtKJZIPsdfCt7MMmr3iYhbioKRcvNg%3d",184,"California-Irvine",430,"Division I","Southwest","SoCal DI",2,14,36,0.05434684050807
"173","California-Davis-B (UC Davis -B)","College","Women","Davis","CA","/teams/events/Eventteam/?TeamId=dFKQ8fUVBDsUVFgnD%2bdIMbrfgJMPMeTznAkMdfjm25I%3d",NA,NA,NA,NA,NA,NA,8,5,34,0.0527482320826328
"174","Delaware-B (Sideshow)","College","Women","Newark","DE","/teams/events/Eventteam/?TeamId=y9IFgkb6NzHEmGspnlR0TfD2Cbro0CSMaRFIgAlDQhc%3d",122,"Delaware B",900,"Developmental","Atlantic Coast","Atlantic Coast Dev",14,5,76,0.0512992465492309
"175","Oberlin  (Preying Manti A)","College","Women","Oberlin","OH","/teams/events/Eventteam/?TeamId=DLHU3Jn2ogr30qcwEHhNI27kWRV8e9ROK0n%2fEYBXTik%3d",115,"Oberlin",941,"Division III","Ohio Valley","Ohio DIII",19,8,191,0.0510751240835339
"176","Illinois State (Lady Gnomes)","College","Women","Normal","IL","/teams/events/Eventteam/?TeamId=7vHMnFyXR9aFaU6wkh9we7TDuNtxyCk8Qva8ksAMQng%3d",169,"Illinois State",596,"Division I","Great Lakes","Illinois DI",6,14,122,0.0496793284812118
"177","Swarthmore (Warmothers)","College","Women","Swarthmore","PA","/teams/events/Eventteam/?TeamId=TL8nNMzOhB%2fV6tENL0mEwHerci5XDIBJ4lk%2fFFi5E2U%3d",162,"Swarthmore",635,"Division III","Ohio Valley","Pennsylvania DIII",10,18,252,0.0481471949854784
"178","Temple (T.U.F Broads)","College","Women","Philadelphia","PA","/teams/events/Eventteam/?TeamId=I%2bkexAPcQK%2b%2b3gBCnnWehnCQ33mVsqzgW4bhymZXq6c%3d",146,"Temple",763,"Division I","Ohio Valley","Pennsylvania DI",10,15,254,0.0467311123002679
"179","Charleston (Charleston Hobos)","College","Women","Charleston","SC","/teams/events/Eventteam/?TeamId=fMnZOgwFf6z1oLD6f6Gqn8WGcQyw74fJow%2bQbXxQxW4%3d",NA,NA,NA,NA,NA,NA,3,9,49,0.0463713717408377
"180","Messiah (Falcons)","College","Women","Mechanicsburg","PA","/teams/events/Eventteam/?TeamId=DovRfRZgvlH9STkPSvlp%2bow5fFxaFESZejVKiTsWqLY%3d",176,"Messiah",520,"Division III","Ohio Valley","Pennsylvania DIII",11,15,152,0.0461340733340285
"181","Drake (iBex)","College","Women","Des Moines","IA","/teams/events/Eventteam/?TeamId=l3Ej51Gd44ULS68gh0ppTYYYDQYw3yUq00oCKrf9Dlo%3d",NA,NA,NA,NA,NA,NA,9,9,81,0.0437813672849905
"182","Hofstra  (M45)","College","Women","Hempstead","NY","/teams/events/Eventteam/?TeamId=JQPN0gnnw%2fphEiw%2bRusFcakbB9T9wnpolzB9MZgp0%2bY%3d",NA,NA,NA,NA,NA,NA,10,17,118,0.0428993330523491
"183","North Georgia (Aurea Ultimate)","College","Women","Dahlonega","GA","/teams/events/Eventteam/?TeamId=7hBkPBwqvhUSBdzBIW7kTLeEBo8ygWFpX3vSf5VuuQ0%3d",164,"North Georgia",629,"Division III","Southeast","Southern Appalachian DI",8,17,179,0.0425074976154257
"184","NYU (Violet Femmes)","College","Women","New York","NY","/teams/events/Eventteam/?TeamId=G0XzI8MIhfmYY910WaUIg2Qlo5s7veWeiWEhVV19vyc%3d",128,"NYU",863,"Division I","Metro East","Eastern Metro East DI",15,18,189,0.0402890011266245
"185","SUNY-Buffalo (The Lorax)","College","Women","Buffalo","NY","/teams/events/Eventteam/?TeamId=1tENDiwB18qc5Gmhqc8k8P%2fs%2b1m2EhvyCDc%2fMb2nygU%3d",177,"SUNY-Buffalo",519,"Division I","Metro East","Western NY DI",11,11,246,0.0395600910433881
"186","Elon (Wild Rumpus)","College","Women","Elon","NC","/teams/events/Eventteam/?TeamId=68E3gOoti4eHgaIAOl152CFbxpwWhhX1q385%2buNZ7dY%3d",131,"Elon",846,"Division III","Atlantic Coast","Atlantic Coast DIII",10,11,87,0.0393207175568287
"187","East Carolina (Black Pearl)","College","Women","Greenville","NC","/teams/events/Eventteam/?TeamId=5h%2fS2zdI70ujb8OZmVgLyTuAKUOwdGxFEjyA%2fYeTfFI%3d",NA,NA,NA,NA,NA,NA,1,4,84,0.0374113588324958
"188","Alabama-Birmingham (Ember)","College","Women","Birmingham","AL","/teams/events/Eventteam/?TeamId=lNM2yT%2bAZhtfCf8sNm5JV1gWawLbzGeogz3koHhR2J8%3d",175,"Alabama-Birmingham",521,"Division I","Southeast","Gulf Coast DI",6,21,2,0.0372742219197328
"189","California-B (Tarts)","College","Women","Berkeley","CA","/teams/events/Eventteam/?TeamId=NEwthAaD3dYXJxgqH0lqfFq7EeNtkX%2f4hgNrOdR8A9Y%3d",212,"California B",116,"Developmental","Southwest","Southwest Dev",4,15,33,0.0371420224989456
"190","North Carolina-B (Electra)","College","Women","Chapel Hill","NC","/teams/events/Eventteam/?TeamId=TSdxuQjaTTT%2bbn29YnFwv%2blQPrmXNKxPNS3LXSDtxEA%3d",132,"North Carolina B",835,"Developmental","Atlantic Coast","Atlantic Coast Dev",13,12,175,0.0366093645031869
"191","Dallas (Vitality)","College","Women","Irving","TX","/teams/events/Eventteam/?TeamId=106e1KhnxtHprxqO1nFEewGIxFbppLIQr%2f5o4gHSJ14%3d",NA,NA,NA,NA,NA,NA,2,3,72,0.0361963002762113
"192","Kansas State (Cheshire)","College","Women","Manhattan","KS","/teams/events/Eventteam/?TeamId=z%2fW6ortmjYV7nzsER%2fq9jP1IUlUS6aREeAwaF1Lcaho%3d",166,"Kansas State",616,"Division I","South Central","Ozarks DI",8,11,133,0.0343298565209383
"193","Dayton (Kraken)","College","Women","Dayton","OH","/teams/events/Eventteam/?TeamId=Fkd7MpNM6CgjWG7SuZlVFHrMU4ZFSd74Uwg%2bVc3IIHo%3d",NA,NA,NA,NA,NA,NA,6,6,75,0.0336351083469414
"194","Ohio (Stacked)","College","Women","Athens","OH","/teams/events/Eventteam/?TeamId=YSA%2bf%2fsYz3rBDTORSuEf6fflmT0ssUZgPZ1ySB8mRO8%3d",144,"Ohio",785,"Division I","Ohio Valley","Ohio DI",11,9,193,0.0331449860879714
"195","Dickinson (Jive Turkeys)","College","Women","Carlisle","PA","/teams/events/Eventteam/?TeamId=lDBoZiO1XJXUYBjub%2bpEO2Yy9s5zkxVZJnhC0ntGE58%3d",161,"Dickinson",635,"Division III","Ohio Valley","Pennsylvania DIII",5,11,80,0.0326152291255594
"196","Missouri (TerrorMizzou)","College","Women","Columbia","MO","/teams/events/Eventteam/?TeamId=uZ5D3q53CJVk3Tfr2zFniXhMPwH8rM%2b70eglmcwzJCI%3d",215,"Missouri",74,"Division I","South Central","Ozarks DI",7,18,163,0.0303323051180972
"197","Hamilton (Hot Saucers)","College","Women","Clinton","NY","/teams/events/Eventteam/?TeamId=P%2fLiohaIKHSb70E2d4zdHR7FQQplIq4gfGhTz31gIg4%3d",NA,NA,NA,NA,NA,NA,9,8,111,0.0293791289270408
"198","Drexel (Spitfire)","College","Women","Philadelphia","PA","/teams/events/Eventteam/?TeamId=FpEZjrEKa3XUqrhNpNgpsERhAiUcTQ43ogBysspzAQc%3d",210,"Drexel",145,"Division I","Ohio Valley","Pennsylvania DI",4,14,82,0.0289754081108462
"199","Wooster (Betty Gone Wild)","College","Women","Wooster","OH","/teams/events/Eventteam/?TeamId=oJc5aIAyNkb3FqIWQjXcqzoiDsUt%2frp7pzylVPu0xqk%3d",106,"Wooster",1010,"Division III","Ohio Valley","Ohio DIII",17,8,314,0.0274379672718041
"200","Montana State (Booty Chest)","College","Women","Bozeman","MT","/teams/events/Eventteam/?TeamId=%2fTg%2fBSNuV9jPCA3X0pxdCYb93M4AVRZXlG2S%2bi6Ir0A%3d",NA,NA,NA,NA,NA,NA,2,9,168,0.0270338501591688
"201","Miami (Southern Tropical Depressions)","College","Women","Coral Gables","FL","/teams/events/Eventteam/?TeamId=xO1HeITWsIAu6DFE3Y1NrpGr8uBtF%2fr72P33xhQ6Ey0%3d",195,"Miami",323,"Division I","Southeast","Florida DI",7,13,154,0.025973277118691
"202","Wisconsin-Eau Claire (SOL)","College","Women","Eau Claire","WI","/teams/events/Eventteam/?TeamId=GpiWyqEz5Jh7bge1s44n4KUagw%2bvGSMvilf1qZurhL8%3d",171,"Wisconsin-Eau Claire",570,"Division I","North Central","Lake Superior DI",9,10,307,0.0254195250216968
"203","Georgia Tech-B (Georgia Tech)","College","Women","Atlanta","GA","/teams/events/Eventteam/?TeamId=39Z4xjXUIBNk%2fpvSq413RPW17wqxSob7%2bFyhudf32TM%3d",NA,NA,NA,NA,NA,NA,4,2,105,0.0253066254222428
"204","Gonzaga (ZULU)","College","Women","Spokane","WA","/teams/events/Eventteam/?TeamId=tLQ2RW6p0DMY5Sog640TbA%2beArulR%2bSFhA0c%2feyK8Jw%3d",NA,NA,NA,NA,NA,NA,1,4,107,0.0241072696417559
"205","UCLA-B (UCLA Midas)","College","Women","Los Angeles","CA","/teams/events/Eventteam/?TeamId=bAt6dpEiGYZh2J5LnUy5%2bS7tCrsKQryHmZjZevX1L58%3d",NA,NA,NA,NA,NA,NA,6,6,273,0.0220411578863855
"206","Wake Forest  (Ruckus)","College","Women","Winston-Salem","NC","/teams/events/Eventteam/?TeamId=qXG6f%2bi7evYJOABVbb97pusmAQCuNW4V80iETttBRzk%3d",174,"Wake Forest",538,"Division I","Atlantic Coast","Carolina DI",5,17,287,0.022040176701782
"207","North Carolina-Asheville (Hellbenders)","College","Women","Asheville","NC","/teams/events/Eventteam/?TeamId=rdx9q6ZUKtHQENjJm%2bTSJljNMcJVVStg1MFtxBNRcqw%3d",163,"North Carolina-Asheville",633,"Division III","Atlantic Coast","Atlantic Coast DIII",9,12,174,0.0211032253432074
"208","Richmond (Richmond Redhots)","College","Women","Richmond","VA","/teams/events/Eventteam/?TeamId=h%2fLHIvvLejD4pEjT0ZrcG80ujYRT5pJGbcvfu13N7%2fo%3d",127,"Richmond",864,"Division III","Atlantic Coast","Atlantic Coast DIII",13,6,221,0.0210902342682369
