"","Team","Competition Level","Gender Division","City","State","Links","Rank","School","Power Rating","Competition Division","College Region","College Conference","Wins","Losses","Index","Rating"
"38","Virginia Tech (Burn)","College","Men","Blacksburg","VA","/teams/events/Eventteam/?TeamId=cka3O9x4lcgypSMx8dYlv3ZdTWfKMlJDK6rm9lGMSQE%3d",38,"Virginia Tech",1592,"Division I","Atlantic Coast","Virginia DI",16,24,473,2.99863003455622
"39","Notre Dame (Papal Rage)","College","Men","Notre Dame","IN","/teams/events/Eventteam/?TeamId=WgRfir8LU7DOF%2bdWNsPthKYWwj4uiLzr6G4izUkmxVM%3d",41,"Notre Dame",1569,"Division I","Great Lakes","East Plains DI",24,17,309,2.88576007548216
"40","William & Mary (Darkhorse)","College","Men","Williamsburg","VA","/teams/events/Eventteam/?TeamId=BT6dvz9i297AHGqETMr9lgFLtyCBruZKHSjJd%2bktZkk%3d",47,"William & Mary",1544,"Division I","Atlantic Coast","Virginia DI",25,16,497,2.85479970995271
"41","Iowa State (ISUC)","College","Men","Ames","IA","/teams/events/Eventteam/?TeamId=sZVKoPDQhqIVwv2VnZyEGynxRoEmPoPxx1SgajX1j2I%3d",48,"Iowa State",1541,"Division I","North Central","West Plains DI",25,10,202,2.63987078627584
"42","Bryant (Bryant Craze)","College","Men","Smithfield","RI","/teams/events/Eventteam/?TeamId=cPPnVCIhsr4ournMe583ba2QGcQCOiNc%2b2%2bHaqWv2ts%3d",13,"Bryant",1816,"Division III","New England","South New England DIII",21,2,51,2.41015751738614
"43","Emory (Emory Juice)","College","Men","Atlanta","GA","/teams/events/Eventteam/?TeamId=eWCzyIv%2bSrZj08gDeJjqfsjGStcMk10ToMQ9iLcKGRA%3d",68,"Emory",1410,"Division I","Southeast","Southern Appalachian DI",23,13,144,2.29126542962945
"44","LSU (LSU Ultimate)","College","Men","Baton Rouge","LA","/teams/events/Eventteam/?TeamId=zpSOdcDSsYKTG2%2fMo2U%2bP5D9eTwxhNYAMM6XVAZhCLc%3d",50,"LSU",1505,"Division I","Southeast","Gulf Coast DI",31,15,232,2.28948472946508
"45","Northeastern (Huskies)","College","Men","Boston","MA","/teams/events/Eventteam/?TeamId=MhzZVzBDtrZbw%2fP8ZZEAL3yUx%2fdFP8JewePv6OHdHRY%3d",25,"Northeastern",1654,"Division I","New England","Metro Boston DI",23,12,301,2.26055386687533
"46","Clemson (Joint Chiefs of Waft)","College","Men","Clemson","SC","/teams/events/Eventteam/?TeamId=tc9UyJTaX5LKMgJ535CxjSMVhuhozup31vjSyx3q4d4%3d",69,"Clemson",1409,"Division I","Atlantic Coast","Carolina DI",18,21,100,2.24837348422072
"47","Texas Tech (Tumbleweed)","College","Men","Lubbock","TX","/teams/events/Eventteam/?TeamId=h4NQwK%2fuKG%2f3LccB%2fBTTnMENJYYD7mDdwMHpcL53CLA%3d",55,"Texas Tech",1468,"Division I","South Central","North Texas DI",29,7,442,2.21748534034703
"48","Ohio State (Leadbelly)","College","Men","Columbus","OH","/teams/events/Eventteam/?TeamId=YQyMLUencDbRAvnLTZ8eUVDvddbcRu1Rpp%2fvsi6%2b%2fes%3d",59,"Ohio State",1450,"Division I","Ohio Valley","Ohio DI",26,17,317,2.20787371844446
"49","Air Force (Afterburn)","College","Men","USAF Academy","CO","/teams/events/Eventteam/?TeamId=fpIytPB8Dx8D%2bL%2fkzLPPlRYLVEip8jnSUOtmSvMfe9g%3d",56,"Air Force",1457,"Division III","South Central","Northern South Central DIII",33,6,1,2.15536028125893
"50","Harvard (Red Line)","College","Men","Cambridge","MA","/teams/events/Eventteam/?TeamId=GR%2f7FpUMAHYiCNUZ6dwVZjArqD2Qxokk36oXiSKGk9Y%3d",28,"Harvard",1618,"Division I","New England","Metro Boston DI",16,17,182,2.12256203872312
"51","Penn State (Spank)","College","Men","State College","PA","/teams/events/Eventteam/?TeamId=UtA3lYk3CKAms8pBRbK2pGtrYVaf4I482HqHjsUbAEI%3d",27,"Penn State",1626,"Division I","Ohio Valley","West Penn DI",20,7,331,2.11393515673288
"52","Tufts (Elephant Men)","College","Men","Medford","MA","/teams/events/Eventteam/?TeamId=J4AliUeh5ZlPjYBlgF%2bpjmbHcK4HYGn5gkhf5yGrBBI%3d",35,"Tufts",1593,"Division I","New England","Metro Boston DI",10,15,452,2.10249497991465
"53","Colorado College (Wasabi)","College","Men","Colorado Springs","CO","/teams/events/Eventteam/?TeamId=3x6AvfTJCnboUJDh5njMg7rapfixLdypMISpRG3T2Ds%3d",64,"Colorado College",1425,"Division III","South Central","Northern South Central DIII",28,8,109,1.98764672082072
"54","Villanova (Main Line Ultimate)","College","Men","Villanova","PA","/teams/events/Eventteam/?TeamId=9lBthNu%2fVQzijesSj9EhIFh6Neq8MCxBUn%2fhVEEcj3M%3d",53,"Villanova",1485,"Division I","Ohio Valley","East Penn DI",23,12,468,1.80194855407588
"55","Illinois (Illinois Ultimate)","College","Men","Champaign","IL","/teams/events/Eventteam/?TeamId=Dt%2fGNzRwOX8%2bfQu6yc0cHFo89pJVTkxCCrMJRbpVnpY%3d",43,"Illinois",1565,"Division I","Great Lakes","Illinois DI",16,17,193,1.78252447515944
"56","California-San Diego (Air Squids)","College","Men","San Diego","CA","/teams/events/Eventteam/?TeamId=g%2b5fP8ugcD%2bL221WEoSTUmqynJ0Y9IB8S%2fEbDOoChRI%3d",52,"California-San Diego",1489,"Division I","Southwest","SoCal DI",13,15,65,1.74354769960639
"57","Vermont (Chill)","College","Men","Burlington","VT","/teams/events/Eventteam/?TeamId=ZZIVWFW12JtpVc8PsvdoPFShuAuZjdeDSvUYAeLmLa4%3d",51,"Vermont",1499,"Division I","New England","North New England DI",14,6,466,1.73613377830781
"58","Montana State  (Rum Runners)","College","Men","Bozeman","MT","/teams/events/Eventteam/?TeamId=K4NGflpVOgSAJTJEbD5qCe5sxkF9ZsO5QqXmH6jVpac%3d",78,"Montana State",1393,"Division I","Northwest","Big Sky DI",21,6,277,1.71721595174783
"59","John Brown (Ironfist)","College","Men","Siloam Springs","AR","/teams/events/Eventteam/?TeamId=CTVb1gnmHNTikOYyZqvozB83tJJUwUzfRvkyYdpSbQk%3d",80,"John Brown",1383,"Division III","South Central","Northern South Central DIII",30,9,207,1.63628874261313
"60","Carleton College-GoP (Gods of Plastic)","College","Men","Northfield","MN","/teams/events/Eventteam/?TeamId=SFOuSxNgXNRdrhe50SdBj4XRfw62Yz1tuY9INL3X20Y%3d",94,"Carleton College-GoP",1302,"Division III","North Central","Northwoods DIII",20,6,76,1.58764968735414
"61","Tennessee (Agent Orange)","College","Men","Knoxville","TN","/teams/events/Eventteam/?TeamId=KSrojy1smBAQRLAkb%2bco%2b7qDvP4gDX4Plbm19SHH9qY%3d",66,"Tennessee",1420,"Division I","Southeast","Southern Appalachian DI",21,17,427,1.57282207736754
"62","Washington University (Contra)","College","Men","St. Louis","MO","/teams/events/Eventteam/?TeamId=5oOYlrU3ho%2fA15VgLDs%2fuzBSMRXoVPqPqlCjYEbwRI4%3d",79,"Washington University",1393,"Division I","South Central","Ozarks DI",21,15,480,1.53045461628244
"63","Maryland (Maryland Ultimate)","College","Men","College Park","MD","/teams/events/Eventteam/?TeamId=vpO8IDzh0CE7pgnQnnC%2fSHS8GzgkuiKxuhA%2bX81C1EE%3d",63,"Maryland",1429,"Division I","Atlantic Coast","Colonial DI",26,13,244,1.50649497344021
"64","George Washington (G-Dub Hippos)","College","Men","Washington","DC","/teams/events/Eventteam/?TeamId=bYgFb61CtHM6%2bRdfAs3JRH6dvZQX7Qnfnsn1nqK8Yv0%3d",49,"George Washington",1505,"Division I","Atlantic Coast","Colonial DI",24,9,161,1.50641447779012
"65","Davidson (DUFF)","College","Men","Davidson","NC","/teams/events/Eventteam/?TeamId=596u1JJRHGayzIV4dSXuuuigVXxCxPB8lI3uDE59wzI%3d",65,"Davidson",1422,"Division III","Atlantic Coast","Carolina DIII",26,15,125,1.46447422243924
"66","Richmond (Spidermonkeys)","College","Men","Richmond","VA","/teams/events/Eventteam/?TeamId=BOu52yIpK8UabwRgnYVxum02k8MsmgUjS3WHjqARGCg%3d",45,"Richmond",1550,"Division III","Atlantic Coast","Northern Atlantic Coast DIII",19,14,355,1.45888257606172
"67","South Carolina (Warbird)","College","Men","Columbia","SC","/teams/events/Eventteam/?TeamId=iLgJ2xyi8%2bHysjtDX61BpuAvs8Tckx56K2dlAvniBqA%3d",97,"South Carolina",1294,"Division I","Atlantic Coast","Carolina DI",15,19,382,1.45786644481709
"68","Alabama-Huntsville (Nightmares)","College","Men","Huntsville","AL","/teams/events/Eventteam/?TeamId=8tkzhyeR1zDtQLVxmZD1nGpqv8jCkD9YWlj67pNFy6U%3d",83,"Alabama-Huntsville",1367,"Division III","Southeast","Western Southeast DIII",31,8,6,1.4417133235947
"69","Baylor (Stonewall A)","College","Men","Waco","TX","/teams/events/Eventteam/?TeamId=fURgImJfk1urNKcgGQwLFay%2fbjVnQxze36jAcdXNW2E%3d",99,"Baylor",1285,"Division I","South Central","North Texas DI",20,15,29,1.43950979422482
"70","Arizona (Sunburn)","College","Men","Tucson","AZ","/teams/events/Eventteam/?TeamId=H93i66n4VjFjKgUI87xcd%2fQQ7QUTJx2CqHB9JmcMcec%3d",60,"Arizona",1450,"Division I","Southwest","Desert DI",12,8,15,1.42582282309883
"71","Utah (Zion Curtain)","College","Men","Salt Lake City","UT","/teams/events/Eventteam/?TeamId=ACht8mbdzA85YKm7LLn3aa1IQFIEzIagbVS%2f5%2flwfgo%3d",58,"Utah",1451,"Division I","Northwest","Big Sky DI",14,12,459,1.42381853347317
"72","Iowa (IHUC)","College","Men","Iowa City","IA","/teams/events/Eventteam/?TeamId=HWJ8nhw8QNNAbnOJB%2fSgNhcyE9R22HzK70wiIvrc98U%3d",88,"Iowa",1345,"Division I","North Central","West Plains DI",24,20,200,1.40593632902875
"73","Illinois State (Gnomes)","College","Men","Normal","IL","/teams/events/Eventteam/?TeamId=N7IzGHFsL0tclOOglbhp%2b1FQ7J5FqbBoTXZGBvg7MJY%3d",70,"Illinois State",1402,"Division I","Great Lakes","Illinois DI",24,17,195,1.3699277341443
"74","Georgia Tech (Tribe)","College","Men","Atlanta","GA","/teams/events/Eventteam/?TeamId=MT%2fVWJEI5XhmTVdRDaQhMbrckbFJu%2fObwFy0ytoRsMw%3d",74,"Georgia Tech",1397,"Division I","Southeast","Southern Appalachian DI",16,23,171,1.36987668604335
"75","Oklahoma (Apes of Wrath)","College","Men","Norman","OK","/teams/events/Eventteam/?TeamId=Uft%2bKolMOgu3pp17PPdaR89mpwV2zsAVal9pXM7ByMc%3d",77,"Oklahoma",1394,"Division I","South Central","Ozarks DI",20,12,321,1.35719908048436
"76","California-Davis (Davis Dogs)","College","Men","Davis","CA","/teams/events/Eventteam/?TeamId=3G7ypWKmtCe2LN%2fpG9J0z8%2fFPmuJUgjt0yeB0HVwu4s%3d",81,"California-Davis",1373,"Division I","Southwest","NorCal DI",17,15,61,1.34379209615067
"77","Tennessee-Chattanooga (Swamp Donkeys)","College","Men","Chattanooga","TN","/teams/events/Eventteam/?TeamId=5CKBYVtGQ5El2abmE5WU4OKeX4C6plgAaZU1pVPQDRc%3d",76,"Tennessee-Chattanooga",1394,"Division I","Southeast","Southern Appalachian DI",24,17,426,1.33648152364013
"78","Arkansas (Ludicrous Speed )","College","Men","Fayetteville","AR","/teams/events/Eventteam/?TeamId=1E%2bmReGQ87HZpY3bfSryJwrMu5%2fwJB7g1XHH0e8AxCM%3d",72,"Arkansas",1398,"Division I","South Central","Ozarks DI",14,13,20,1.33376971249376
"79","Georgia Southern (Eagles)","College","Men","Statesboro, GA","GA","/teams/events/Eventteam/?TeamId=oDJlTMVtKHZS%2blHUtJbh5Q2469DPsGadXgJ1wf0CtZM%3d",87,"Georgia Southern",1349,"Division I","Southeast","Southern Appalachian DI",21,15,168,1.31205193790694
"80","Nevada-Reno (Elevation Ultimate)","College","Men","Reno","NV","/teams/events/Eventteam/?TeamId=LGmXODDnfZGIuZFbx05UItT9fnR8ilhrfbp7faftM%2bo%3d",114,"Nevada-Reno",1229,"Division I","Southwest","NorCal DI",22,16,283,1.17571989756967
"81","Utah State (USULT)","College","Men","Logan","UT","/teams/events/Eventteam/?TeamId=Nx5eI1C0406esrkKxq%2bst9V%2brnPyrb5qnlv9OV3LnL4%3d",84,"Utah State",1357,"Division I","Northwest","Big Sky DI",16,15,460,1.17001184201545
"82","Dartmouth (Pain Train)","College","Men","Hanover","NH","/teams/events/Eventteam/?TeamId=0Pih%2fWDbaICjvJUFUidKTu1U0PWmvxvrMcsMjA0mIFY%3d",67,"Dartmouth",1419,"Division III","New England","North New England DIII",21,20,124,1.15943913943753
"83","Chicago (Junk)","College","Men","Chicago","IL","/teams/events/Eventteam/?TeamId=7ss%2f3VpjcSNhJvrfJ8DzTVCsxl8%2bzi1oN0cCPNLBRwo%3d",57,"Chicago",1453,"Division I","Great Lakes","Illinois DI",18,15,91,1.14501421330217
"84","Victoria (Vikes)","College","Men","Victoria","BC","/teams/events/Eventteam/?TeamId=Xxig%2fjkYP08V8xz6AmJEQ%2b6%2bU5akV0AGAlg%2bZFdkFY0%3d",73,"Victoria",1398,"Division I","Northwest","Cascadia DI",7,15,467,1.13238319323484
"85","Chico State (Chico State Wildcats)","College","Men","Chico","CA","/teams/events/Eventteam/?TeamId=CaCjKSXvAkJeonRDyI1WzpVx11VStzvHcwml0n2Z8vY%3d",125,"Chico State",1201,"Division I","Southwest","NorCal DI",29,11,92,1.1241620331377
"86","Boston College (Eagles)","College","Men","Chestnut Hill","MA","/teams/events/Eventteam/?TeamId=T4Sv9bJTXNc3iLXE2kz5dTdsJ3k21rrfugxLEhdjUyo%3d",62,"Boston College",1433,"Division I","New England","Metro Boston DI",15,7,37,1.09733772968479
"87","California (California-Berkeley)","College","Men","Berkeley","CA","/teams/events/Eventteam/?TeamId=Y45K6K3o4Iy93%2fE8fcfkFDEQngSTMt2Cj%2ft%2fJew62bc%3d",90,"California",1338,"Division I","Southwest","NorCal DI",12,18,71,1.07565018452934
"88","Virginia Commonwealth (Villains)","College","Men","Richmond","VA","/teams/events/Eventteam/?TeamId=YucFcxZeh0tCc9S8h3JiiWygq2%2f11xXnLwTtHczf6Pc%3d",89,"Virginia Commonwealth",1341,"Division I","Atlantic Coast","Virginia DI",16,9,471,1.0698880633909
"89","Lehigh (Lehigh )","College","Men","Bethlehem","PA","/teams/events/Eventteam/?TeamId=vwbw5taKByIY3%2f4lmzXMxdQz6U%2foLsx5i3mN64D2pFQ%3d",61,"Lehigh",1434,"Division I","Ohio Valley","East Penn DIII",23,13,225,1.04721604508881
"90","North Carolina-Asheville (UNC Asheville Bulldogs)","College","Men","Asheville","NC","/teams/events/Eventteam/?TeamId=MdmZR6qvKSZNQi354yRApg4qQUaYNFI4%2bEr3%2f5NNjHE%3d",112,"North Carolina-Asheville",1238,"Division III","Atlantic Coast","Carolina DIII",18,11,287,1.0327040725551
"91","Williams (WUFO)","College","Men","Williamstown","MA","/teams/events/Eventteam/?TeamId=at%2fJNh1%2b5ZP1FKnbhyWHCiD5CiCP92k995NZ8ff6Xp8%3d",118,"Williams",1219,"Division III","New England","South New England DIII",25,20,499,1.00673577838351
"92","Kennesaw State (Parliament)","College","Men","Kennesaw","GA","/teams/events/Eventteam/?TeamId=lM0x1cbvHb28vO4lOL6s33%2bqD1dE%2fyPRk3IuiJ5zRpo%3d",110,"Kennesaw State",1244,"Division I","Southeast","Southern Appalachian DI",23,19,214,0.996794780313176
"93","North Carolina-Charlotte (QCG)","College","Men","Charlotte","NC","/teams/events/Eventteam/?TeamId=keqeHbr%2bVNtcjbOZdlZgzC4VJuqVqblNkrKKvVyziAc%3d",85,"North Carolina-Charlotte",1357,"Division I","Atlantic Coast","Carolina DI",14,15,289,0.946899750809247
"94","South Florida (Scallywags)","College","Men","Tampa","FL","/teams/events/Eventteam/?TeamId=RCYi30XxcyXHLKD2uuXwjEzJbJuPlvpSxh2VCUoaknw%3d",95,"South Florida",1302,"Division I","Southeast","Florida DI",11,17,384,0.923688618189051
"95","St John's (Saint John's Ultimate)","College","Men","Collegeville","MN","/teams/events/Eventteam/?TeamId=d%2bhiWC16Ole23Yn9DIM9LqcsyicgDbjTpKMlWLSKTUk%3d",96,"St John's",1301,"Division III","North Central","Northwoods DIII",21,8,392,0.914394909107453
"96","Arizona State (Prime)","College","Men","Tempe","AZ","/teams/events/Eventteam/?TeamId=sWuOWiSgBQzQhhvR04iLpbctaOUr3I01A%2bSQV7YmFP8%3d",117,"Arizona State",1224,"Division I","Southwest","Desert DI",10,17,18,0.902947581520362
"97","San Diego State (Federalis)","College","Men","San Diego","CA","/teams/events/Eventteam/?TeamId=v27vxnLD06K9Zdl3dYivD9D1EqpkhmvgvA6iw9sreuQ%3d",126,"San Diego State",1200,"Division I","Southwest","SoCal DI",16,21,371,0.89367763712967
"98","Amherst (Army of Darkness)","College","Men","Amherst","MA","/teams/events/Eventteam/?TeamId=5XztlUO8fKUtXXqkLhCuAMq24DTRwURDdSrB7GI6h5k%3d",54,"Amherst",1475,"Division III","New England","South New England DIII",23,11,12,0.88326219137306
