"","Team","Wins","Losses","Competition Level","Gender Division","City","State","Links","Index","Rating"
"89","Chicago (Junk)",28,22,"College","Men","Chicago","IL","/teams/events/Eventteam/?TeamId=7ss%2f3VpjcSNhJvrfJ8DzTVCsxl8%2bzi1oN0cCPNLBRwo%3d",91,1.01930041357024
"90","Kennesaw State (Parliament)",44,32,"College","Men","Kennesaw","GA","/teams/events/Eventteam/?TeamId=lM0x1cbvHb28vO4lOL6s33%2bqD1dE%2fyPRk3IuiJ5zRpo%3d",215,1.00759249033605
"91","Virginia Commonwealth (Villains)",23,12,"College","Men","Richmond","VA","/teams/events/Eventteam/?TeamId=YucFcxZeh0tCc9S8h3JiiWygq2%2f11xXnLwTtHczf6Pc%3d",472,0.966393693261442
"92","Chico State (Chico State Wildcats)",52,18,"College","Men","Chico","CA","/teams/events/Eventteam/?TeamId=CaCjKSXvAkJeonRDyI1WzpVx11VStzvHcwml0n2Z8vY%3d",92,0.927031155669635
"93","Minnesota-Duluth (Northern Lights)",44,12,"College","Men","Duluth","MN","/teams/events/Eventteam/?TeamId=mknt3Jk4UeIV4nhJKavNAAufMXjSIy1PZgopkKNE0Gg%3d",266,0.923205410603491
"94","Boston College (Eagles)",22,12,"College","Men","Chestnut Hill","MA","/teams/events/Eventteam/?TeamId=T4Sv9bJTXNc3iLXE2kz5dTdsJ3k21rrfugxLEhdjUyo%3d",37,0.920418237124599
"95","Akron (Goon Squad)",30,18,"College","Men","Akron","OH","/teams/events/Eventteam/?TeamId=rFoAL46KGXy%2fSm83z1X8L0L2oytNISIYsU1DBrfmgZM%3d",3,0.892220810913302
"96","Carnegie Mellon (Mr. Yuk)",40,24,"College","Men","Pittsburgh","PA","/teams/events/Eventteam/?TeamId=w9j2GKeBI8jzBkwNxwATCevnsj4GfbBGz4p%2fFcczMVg%3d",78,0.883615649205446
"97","San Diego State (Federalis)",24,28,"College","Men","San Diego","CA","/teams/events/Eventteam/?TeamId=v27vxnLD06K9Zdl3dYivD9D1EqpkhmvgvA6iw9sreuQ%3d",372,0.882575712906963
"98","California-Santa Cruz (Slugs)",14,34,"College","Men","Santa Cruz","CA","/teams/events/Eventteam/?TeamId=cfoctX7h6HnBTcJTB33HRsDBjJtFuPEwZ1Lx5PVtt80%3d",69,0.873373033163026
"99","South Carolina (Warbird)",17,26,"College","Men","Columbia","SC","/teams/events/Eventteam/?TeamId=iLgJ2xyi8%2bHysjtDX61BpuAvs8Tckx56K2dlAvniBqA%3d",383,0.865844862045748
"100","North Carolina-Charlotte (QCG)",23,16,"College","Men","Charlotte","NC","/teams/events/Eventteam/?TeamId=keqeHbr%2bVNtcjbOZdlZgzC4VJuqVqblNkrKKvVyziAc%3d",290,0.862471768007843
"101","Arizona (Sunburn)",20,14,"College","Men","Tucson","AZ","/teams/events/Eventteam/?TeamId=H93i66n4VjFjKgUI87xcd%2fQQ7QUTJx2CqHB9JmcMcec%3d",15,0.857897645743332
"102","Texas State (Buckets)",26,16,"College","Men","San Marcos","TX","/teams/events/Eventteam/?TeamId=yPc3fDWldCajYIbrjA6NabVBVUtoHofP48FvbJFRb7M%3d",442,0.8398598484647
"103","Santa Clara (SCAB)",24,19,"College","Men","Santa Clara","CA","/teams/events/Eventteam/?TeamId=kuD8fwiwJWxO5%2fAWtxW6xhgvrxELWm3Kh0ZmLLF%2bMvM%3d",375,0.793846139616968
"104","Indiana (HoosierMama?s)",28,28,"College","Men","Bloomington","IN","/teams/events/Eventteam/?TeamId=8pyo43VxwbfKt01fdXFBacG7DUcKcVnUcTol6Hhx5iY%3d",197,0.79372310714353
"105","Middlebury (Pranksters)",40,10,"College","Men","Middlebury","VT","/teams/events/Eventteam/?TeamId=yz6e0bnGEiKsWKk8mx9utIqf0ouM2czoJXc7fs3gUbA%3d",261,0.777065970406291
"106","Shippensburg (Scapegoats)",36,25,"College","Men","Shippensburg","PA","/teams/events/Eventteam/?TeamId=nsIr61T92ky5DFTp0s6YgrgAaFFGQOj1eJVLdg2NL4U%3d",378,0.771478304049161
"107","Baylor (Stonewall A)",34,22,"College","Men","Waco","TX","/teams/events/Eventteam/?TeamId=fURgImJfk1urNKcgGQwLFay%2fbjVnQxze36jAcdXNW2E%3d",29,0.757741144389273
"108","Luther (Lufda)",42,26,"College","Men","Decorah","IA","/teams/events/Eventteam/?TeamId=wDxsfTXVmWs38BKCaBQHdzGUSPXK6FHlTVYPJIRuTrw%3d",235,0.754032738639711
"109","St John's (Saint John's Ultimate)",25,10,"College","Men","Collegeville","MN","/teams/events/Eventteam/?TeamId=d%2bhiWC16Ole23Yn9DIM9LqcsyicgDbjTpKMlWLSKTUk%3d",393,0.749148110634823
"110","West Virginia (WV Wild)",14,18,"College","Men","Morgantown","WV","/teams/events/Eventteam/?TeamId=MlPYa4%2f58saFXhfQfV64D5P3QY28zg%2bErQM0VK6hJcs%3d",487,0.73238180074144
