"","Team","Wins","Losses","Competition Level","Gender Division","City","State","Links","Index","Rating"
"77","Connecticut (UConn Huskies)",21,4,"College","Women","Storrs","CT","/teams/events/Eventteam/?TeamId=Bw4X5kH8%2blNFkm5DaoSpE5jxLAuEIme1R0yGOLdU40c%3d",68,0.538039644000001
"78","San Diego State (SDSU Gnomes)",10,12,"College","Women","San Diego","CA","/teams/events/Eventteam/?TeamId=ZX33qMLWLJpIN8Fwl2GmKbFrK9uy%2bf48Lpc5GHGCZ9o%3d",231,0.512132770206259
"79","Bowdoin (Chaos Theory)",13,2,"College","Women","Brunswick","ME","/teams/events/Eventteam/?TeamId=8wF5GL2mV8K8mXy8Et985w2ZPG%2fg6XXKx7l0kuoRxgo%3d",24,0.497004843266201
"80","Idaho (Idaho Gems)",12,12,"College","Women","Moscow","ID","/teams/events/Eventteam/?TeamId=heaBQJF9A6cDlIfU2KSi7kzDoIOFWI7yo8fN1tmS6Q4%3d",120,0.491343902072036
"81","Case Western Reserve (Fighting Gobies)",15,7,"College","Women","Cleveland","OH","/teams/events/Eventteam/?TeamId=kNe%2fJLR%2bW0SBoryXfzjmdrmGKfe16ctQxrfLF5S6TKE%3d",45,0.491129304634324
"82","Victoria (UVixens)",8,15,"College","Women","Victoria","BC","/teams/events/Eventteam/?TeamId=UFP4dGqMw9CL%2fXnILhJSGCjhepT4PajAMtAv0G%2bHVcg%3d",285,0.465668476089871
"83","Indiana (Calamity Jane)",21,7,"College","Women","Bloomington","IN","/teams/events/Eventteam/?TeamId=aAUiRYJmi6fw7gapfnv1FuUHeQxTcbKFVsaQVRX9poU%3d",123,0.463774227145771
"84","Harvard (Quasar)",15,8,"College","Women","Cambridge","MA","/teams/events/Eventteam/?TeamId=hUSGGPgTIUluMR1pCr5MFkf08km7d8twZk9M7y%2fIkXc%3d",115,0.439733294324107
"85","Washington University (Iron Horse)",11,15,"College","Women","St. Louis","MO","/teams/events/Eventteam/?TeamId=AUu2RJq%2fMZhVFRQ%2bgXi45cGambK9DC4ICUIW5EXpf9E%3d",294,0.395576034224262
"86","Iowa (Saucy Nancy)",16,16,"College","Women","Iowa City","IA","/teams/events/Eventteam/?TeamId=RzDNayJWB2ePNdEnK1FH06lYuuLybCNh%2fKB2mk0OzQo%3d",124,0.379910907211927
"87","Texas-B (Mayhem)",14,13,"College","Women","Austin","TX","/teams/events/Eventteam/?TeamId=bl89oVoIVl8Bfw7AUnUmWEHjAXwGkZHM2Czcko%2fbAX8%3d",260,0.378284906233139
"88","Maryland (Helpful Corn)",20,14,"College","Women","College Park","MD","/teams/events/Eventteam/?TeamId=W1rKBAklwdksFfw8T6J9s4%2bxJKknScR1Ch%2fjCxUT3lk%3d",153,0.367278168204872
"89","Puget Sound (Clearcut)",10,10,"College","Women","Tacoma","WA","/teams/events/Eventteam/?TeamId=wp3pykW%2f%2bMusNgMn%2fqmhWXbVCwKKbLZPsolU3A2HUY0%3d",217,0.366627383841895
