"","Team","Wins","Losses","Competition Level","Gender Division","City","State","Links","Index","Rating"
"92","Pine Baroness",10,11,"Club","Women","Princeton","NJ","/teams/events/Eventteam/?TeamId=df%2fUzn9Ox1mVAzqlUtMBS6lnYGG51J6h7qhscU3sFkc%3d",80,0.00615557019567065
"93","Maeve",5,9,"Club","Women","Dallas","TX","/teams/events/Eventteam/?TeamId=QMmtZMAy50xW9tp%2bx8G%2fAK%2bTnR%2bhggl0VZCkGEYDw%2bk%3d",64,0.0061139075324699
"94","Trainwreck",3,8,"Club","Women","Fort Collins","CO","/teams/events/Eventteam/?TeamId=SbBHJuY0kMe7Cs2XaO3eR4lZqj3dauhRdj6gpvNfI4c%3d",133,0.00604234038131679
"95","Indy Rogue",14,7,"Club","Women","Indianapolis","IN","/teams/events/Eventteam/?TeamId=gpXGlw72CdOvTKYYDnLdux3mnsKbPFiwZDOn4f1HVlE%3d",52,0.00545602448234984
"96","Phoenix Uprising",4,8,"Club","Women","Phoenix","AZ","/teams/events/Eventteam/?TeamId=d%2fNYGge1VRn7BRzMz41%2f9k%2bMe9beffcXzFwsgQ3nVy4%3d",79,0.00513964749655671
"97","Filthy Rich",1,5,"Beach","Women","Richmond","VA","/teams/events/Eventteam/?TeamId=xrbu4YX2NtDrnct1wefmZfVK4pDy795N6h56ARQeoe0%3d",29,0.00504482823623308
"98","Backhanded",5,14,"Club","Women","Baltimore/Washington","DC","/teams/events/Eventteam/?TeamId=%2bYOZUp8xVDMUmoCdr9YKBgdyZRQfHmfbqSC84cQj8Fo%3d",4,0.00452594691116888
"99","fiasco",12,7,"Club","Women","Miami","FL","/teams/events/Eventteam/?TeamId=sgrxVLZJVb%2bWbE1cdz7SRfh7HcyyGxsU8UjBViAIfWo%3d",27,0.00445079206800574
"100","Sureshot",15,8,"Club","Women","Cincinnati","OH","/teams/events/Eventteam/?TeamId=VwVBtGBHEFAwWhNV6LB42CjuS7X8P7JpZq74SKEbMzI%3d",122,0.00396331579756173
"101","First in Flight",4,3,"Beach","Women","Chapel Hill","NC","/teams/events/Eventteam/?TeamId=D9zB%2fNahrkNwR17IOq%2fWPPx0Tqnpn0oFl4yBlyTocJM%3d",30,0.00373263637039353
"102","Further",2,5,"Club","Women","Eugene","OR","/teams/events/Eventteam/?TeamId=w3RIcJOPWvICCBfUbHSc2HKmOR4G%2frOJWDU4CrhA8g0%3d",34,0.00341673827405645
"103","Vice",9,8,"Club","Women","Cambridge","MA","/teams/events/Eventteam/?TeamId=z1fh9JFXpgdZqZASNvgRJpebLOviWgvRZZRSTErcgzY%3d",139,0.00334780725666404
"104","Queen Cake",8,7,"Club","Women","New Orleans","LA","/teams/events/Eventteam/?TeamId=vkLgDyUtSUk3myyKFTQgh7XvAJR%2fu83bHQ0UeEx2Yng%3d",88,0.00250673861784185
"105","Suffrage",11,8,"Club","Women","Washington","DC","/teams/events/Eventteam/?TeamId=dBh3IBmtkuLdpfjhWCU5RIqCZzl6%2fP9yE%2bvBEG0ZJ5E%3d",120,0.00221151978777
"106","Helix",13,7,"Club","Women","Chicago","IL","/teams/events/Eventteam/?TeamId=9VGxJk8%2bnmx0wOjIHuVsSwUijslwtpTqOyCVJSpxfHQ%3d",41,0.00219503095429697
"107","Brooklyn Book Club",12,6,"Club","Women","Brooklyn","NY","/teams/events/Eventteam/?TeamId=YE5Tz5FtQRUlo%2fgj8W6VM0nL3BN0LzHRwjTjX4P8j0Q%3d",13,0.00181008421082373
"108","Inferno",4,10,"Club","Women","Houston","TX","/teams/events/Eventteam/?TeamId=OLPOl3LbzV%2fBMUbVHbbrL50WFHU6ktE4GdxunX4UcIQ%3d",53,0.00167433977270776
"109","Wendigo",0,7,"Club","Women","Vancouver","British Columbia","/teams/events/Eventteam/?TeamId=C9D0%2b34jDLCMMfeD0KdI2k0DuE2RFvanw9EHQT0btLA%3d",142,0.00161257754863009
"110","Restless",0,2,"Masters","Women","Florida","FL","/teams/events/Eventteam/?TeamId=fU1R9Xj7qz511yMnW5GNCJ5h8b4nYKcf4gZakVzgX%2f4%3d",89,0.0013798577281366
"111","Storm",3,4,"Club","Women","Montreal","Quebec","/teams/events/Eventteam/?TeamId=rmIWfj4xs8Vwfm1qWcxKxqOq4BlfiyC8H2XTUaOzOk4%3d",119,0.00130298190263114
"112","Venom",2,10,"Club","Women","Tucson","AZ","/teams/events/Eventteam/?TeamId=vtqLpyFoFJNIffnN7dXMR6E1hDDqQAC0u9MnB4Yb9yE%3d",136,0.00129608847034661
"113","Monsoon Ultimate",4,7,"Club","Women","Flagstaff","AZ","/teams/events/Eventteam/?TeamId=jiPAeK4LZy38T4BeeWvx0Xd7R4YiHVslPrdE50tcP5c%3d",67,0.0011867768214587
"114","Sea Sick",2,5,"Beach","Women","Long Beach Island","NJ","/teams/events/Eventteam/?TeamId=DZ4I5AbWl9HBoBBT5%2fAoMC4TxG%2bXoziA%2bvQNoeDCX0c%3d",104,0.00117391335105286
"115","Jinx",8,2,"Club","Women","Portland","ME","/teams/events/Eventteam/?TeamId=IY1H3huJinQQaZbs8w%2fuRTJcxv2ru4OXUni3hZv%2bG0M%3d",58,0.000988867992568031
"116","Sparks",7,8,"Club","Women","Cincinnati","OH","/teams/events/Eventteam/?TeamId=F3QbAiUxdbZA2c6YTqzJbWKIYZSzp0uYUzGYLBQkRfM%3d",116,0.000919815177815446
"117","Boomslang",7,8,"Club","Women","Albany","NY","/teams/events/Eventteam/?TeamId=qjrJZq2S0IC0W9k2e3FNak%2fJM07V2fBjApRPMil6fnY%3d",10,0.000861890643026899
"118","Encore",3,10,"Club","Women","Nashville","TN","/teams/events/Eventteam/?TeamId=18Jh9tAZaURNNMwDQAWcI2dFrz2GIOe3tM9MGuYGRi4%3d",24,0.000854278211254146
"119","Snap",6,6,"Club","Women","Minneapolis","MN","/teams/events/Eventteam/?TeamId=7ZXNxr9skM5tXi36j7kfE3rzS9zg8lVKQirstyyZ38I%3d",114,0.000708657314062749
"120","The Bends",2,5,"Beach","Women","New York","NY","/teams/events/Eventteam/?TeamId=tPksamYnRSBPozuLnMyCQDeUPsaCdoaTO51W5IKIJlM%3d",128,0.000609460140867682
"121","Broad City",9,11,"Club","Women","Philadelphia","PA","/teams/events/Eventteam/?TeamId=X%2fzqVlbLxHavrLMdhkw6chtFaG4NqVY%2bPlJWDx8QVVo%3d",12,0.000590168544833548
"122","Lockdown",3,13,"Club","Women","Madison","WI","/teams/events/Eventteam/?TeamId=mQVFGxGUO7TuN2dPM4Y15UTwSrHXxHahZ3vnHsOKiuw%3d",61,0.000445321916082591
"123","MystiKuE",5,8,"Club","Women","Milwaukee","WI","/teams/events/Eventteam/?TeamId=KEPBGiQM%2bftOqmeatK5XRiP%2bENMru76ybRTGgFt%2bOMY%3d",70,0.000388978374329647
"124","Independence",4,9,"Club","Women","Philadelphia","PA","/teams/events/Eventteam/?TeamId=FARXpRA%2bvItii8RDxePim7xMpUC6JtM%2bjmCBXxh49VQ%3d",51,0.00038825004322344
"125","Mystik",4,3,"Club","Women","Montréal","Québec","/teams/events/Eventteam/?TeamId=cn8z9AEliPr1XdkoPBvUGlBsEdxyKtwLqRNiGW8CbLY%3d",69,0.000271306428067535
"126","Salt City Spirit",5,8,"Club","Women","Syracuse","NY","/teams/events/Eventteam/?TeamId=MWRdtB85TgjW65YbCDUr%2bwjRbwGLaTTdGdwGnsSzEFs%3d",97,0.000246151785371822
