"","Team","Competition Level","Gender Division","City","State","Links","Rank","School","Power Rating","Competition Division","College Region","College Conference","Wins","Losses","Index","Rating"
"16","Colorado (Kali)","College","Women","Boulder","CO","/teams/events/Eventteam/?TeamId=gusM8XMge2EY2DPbF8NPCjtiszB7UuMTxRwXBD0dJVc%3d",12,"Colorado",1944,"Division I","South Central","Rocky Mountain DI",11,10,62,6.25529104771228
"17","Michigan (Flywheel)","College","Women","Ann Arbor","MI","/teams/events/Eventteam/?TeamId=VKxIKXEDdQLYPNLiXn0FibYcbr625nQBtm2CLlApId8%3d",14,"Michigan",1888,"Division I","Great Lakes","Eastern Great Lakes DI",13,11,156,5.52595065982402
"18","Florida (FUEL)","College","Women","Gainesville","FL","/teams/events/Eventteam/?TeamId=o2%2bgz5kZ4fEUJVq2NBLCaNWBn6DXEl6DRUkaIPd4bqA%3d",18,"Florida",1824,"Division I","Southeast","Florida DI",25,10,91,4.93760343810411
"19","Whitman (Whitman Sweets)","College","Women","Walla Walla","WA","/teams/events/Eventteam/?TeamId=1uJ5zDTH88%2fhgLMZuxhunRtHhOkN%2ftD5V4YVm3aQgqU%3d",19,"Whitman",1822,"Division I","Northwest","Big Sky DI",17,12,302,4.78920303621936
"20","North Carolina (Pleiades)","College","Women","Chapel Hill","NC","/teams/events/Eventteam/?TeamId=gUiWjT9ywZbw1fX%2fupfcfpLQtBXRn%2bkZHPLcLj%2f5g8w%3d",13,"North Carolina",1924,"Division I","Atlantic Coast","Carolina DI",16,7,177,4.73820585999728
"21","California-Davis (Rogue)","College","Women","Davis","CA","/teams/events/Eventteam/?TeamId=9oWJlSxruUXZ5mlv%2ffljz7%2bjIEXyOft3F3nd1xt8dRI%3d",36,"California-Davis",1644,"Division I","Southwest","NorCal DI",22,16,35,4.53994651309617
"22","Kansas (Betty Ultimate)","College","Women","Lawrence","KS","/teams/events/Eventteam/?TeamId=SJEwN6h039xYkq571Ag%2b6CaXtiMtHuwE2RNbj4dM8jY%3d",26,"Kansas",1736,"Division I","South Central","Ozarks DI",27,6,132,3.85073291844109
"23","Georgetown (Huckin' Foyas)","College","Women","Washington","DC","/teams/events/Eventteam/?TeamId=41GYrlDvmTeKymN9bt9oThwTqkV%2bzbvS%2fyhHFluWNlE%3d",20,"Georgetown",1819,"Division I","Atlantic Coast","Colonial DI",28,5,100,3.76155026560102
"24","Cal Poly-SLO (SLO Motion)","College","Women","San Luis Obispo","CA","/teams/events/Eventteam/?TeamId=zeFWx%2f3rImfgKOs0kwsvgR2NRLIxtgYapZk6iqVi8Wo%3d",70,"Cal Poly-SLO",1288,"Division I","Southwest","SoCal DI",20,11,31,3.671509780155
"25","Iowa State (Woman Scorned)","College","Women","Ames","IA","/teams/events/Eventteam/?TeamId=%2brbxZekO2c0nzlhiafO3HcIDdynbCestG6MixMijxUk%3d",22,"Iowa State",1784,"Division I","North Central","Western North Central DI",24,8,125,3.52939453795554
"26","Cornell (Wild Roses)","College","Women","Ithaca","NY","/teams/events/Eventteam/?TeamId=z3eFI7xFYmutBzFzercqYtBoddv8p8SD9xT%2fuSyenkE%3d",32,"Cornell",1707,"Division I","Metro East","Western NY DI",36,3,71,3.07134256580211
"27","North Carolina-Wilmington (Seaweed)","College","Women","Wilmington","NC","/teams/events/Eventteam/?TeamId=Svc7GD5ciYxSWUqtNiL4cLKPAHwbd2oHPX7pzv67rnI%3d",28,"North Carolina-Wilmington",1729,"Division I","Atlantic Coast","Carolina DI",19,10,176,2.85301742607388
"28","Colorado State (Hell's Belles)","College","Women","Fort Collins","CO","/teams/events/Eventteam/?TeamId=%2bXYlWj%2fs0LB%2f7GD0pgbUG7HQuDjd0CcmTehQxIz3HFs%3d",30,"Colorado State",1726,"Division I","South Central","Rocky Mountain DI",18,5,64,2.77593753409755
"29","Vermont  (Ruckus)","College","Women","Burlington","VT","/teams/events/Eventteam/?TeamId=tnSj9MDVfXpvFsGoAdunXjjhz4lGWDc0MjzUbRh3n5I%3d",21,"Vermont",1793,"Division I","New England","Greater New England DI",17,8,281,2.54848836237623
"30","Chico State  (Chico Chicas)","College","Women","Chico","CA","/teams/events/Eventteam/?TeamId=u62GZSQFWTchsABWE%2blS%2fvEhyhFdrsDImTA25vuNNSA%3d",95,"Chico State",1084,"Division I","Southwest","NorCal DI",21,10,51,2.50837619737458
"31","West Chester (West Chester)","College","Women","West Chester","PA","/teams/events/Eventteam/?TeamId=l956kZyz0JpZ5LX%2bn6e0RfghY9QIumLsK6X218BRmYM%3d",40,"West Chester",1587,"Division I","Ohio Valley","Pennsylvania DI",24,7,296,2.47893582068038
"32","California-Santa Barbara (Burning Skirts)","College","Women","Goleta","CA","/teams/events/Eventteam/?TeamId=DJU6wjdQQDTsL30jYJPTxbDqfQKHf0CfbILG%2f2T%2bR2w%3d",62,"California-Santa Barbara",1346,"Division I","Southwest","SoCal DI",18,16,39,2.45032770412095
"33","Liberty (Lady Flames)","College","Women","Lynchburg","VA","/teams/events/Eventteam/?TeamId=2KtfN4%2f1SybgbVEiL4BgCHwU%2fMt6UUhr2U99VtwS8gQ%3d",34,"Liberty",1659,"Division I","Atlantic Coast","Virginia DI",22,9,140,2.27933096449361
"34","Williams (La WUFA)","College","Women","Williamstown","MA","/teams/events/Eventteam/?TeamId=eFylP9zG4UAbOBCLlGiSOfrJQ8A1VY8UTp8Dk72Y2Ao%3d",29,"Williams",1727,"Division III","New England","South New England DIII",26,2,304,2.11191752034971
"35","Minnesota (Ninjas)","College","Women","Minneapolis","MN","/teams/events/Eventteam/?TeamId=8j5IDNJ2mmTGHEB4J6akgvGmZ8yE2cNy5JBF8u4xkFM%3d",23,"Minnesota",1753,"Division I","North Central","Western North Central DI",15,12,160,1.95688224648442
"36","Penn State  (Crisis)","College","Women","State College","PA","/teams/events/Eventteam/?TeamId=orJfAYX9d9xX5aNHwn6ARbtRoljCE%2byc1OR9fWc%2bH0c%3d",46,"Penn State",1533,"Division I","Ohio Valley","Pennsylvania DI",16,14,204,1.80578888745135
"37","Georgia Tech (Wreck)","College","Women","Atlanta","GA","/teams/events/Eventteam/?TeamId=DtIkXqr2fcyHHJBWO2ns59w6%2bSp8mxYkyTyUVOAlCu0%3d",51,"Georgia Tech",1427,"Division I","Southeast","Southern Appalachian DI",18,13,106,1.75806055797791
"38","Texas-Dallas (MonStars)","College","Women","Richardson","TX","/teams/events/Eventteam/?TeamId=HFS99A1%2b3o%2fQ2rfK%2fp92BW%2fp8%2b11rp8c%2bBeoBvArSGM%3d",178,"Texas-Dallas",517,"Division I","South Central","Texas DI",12,10,258,1.65297426390468
"39","Carleton College-Eclipse (Eclipse)","College","Women","Northfield","MN","/teams/events/Eventteam/?TeamId=m1DkV3n9%2fo6kLW3AWLG7dSvPceEGoEnC07SgyHdhOK0%3d",80,"Carleton College-Eclipse",1226,"Division III","North Central","North Central DIII",17,7,42,1.62566949454559
"40","Portland (UPRoar)","College","Women","Portland","OR","/teams/events/Eventteam/?TeamId=boldYMSHhHP%2fZnPS3hRcZoFizEykg5NrAUy8Le16Ij0%3d",78,"Portland",1233,"Division III","Northwest","Northwest DIII",20,4,210,1.47345617204735
"41","Sonoma State (D'Vine)","College","Women","Rohnert Park","CA","/teams/events/Eventteam/?TeamId=aPid5g7Rl4Q5qYAko8Yqlxuj4UzkDk60VNXenGREtRE%3d",152,"Sonoma State",706,"Division I","Southwest","NorCal DI",13,14,234,1.4237178219064
"42","Kennesaw State (Strix)","College","Women","Kennesaw","GA","/teams/events/Eventteam/?TeamId=SsDArHe7imZC0wDTMqr4zR7HCndeywtem5EJ8BadDeg%3d",24,"Kennesaw State",1747,"Division I","Southeast","Southern Appalachian DI",20,5,134,1.35240049037204
"43","Washington (Element)","College","Women","Seattle","WA","/teams/events/Eventteam/?TeamId=IdzlN7L1l6MEgyweYTbtLfoXm5eOhDnr%2fbrKUDrh8oU%3d",39,"Washington",1611,"Division I","Northwest","Cascadia DI",11,19,289,1.34847853719285
"44","Wisconsin (Bella Donna)","College","Women","Madison","WI","/teams/events/Eventteam/?TeamId=s7xC%2f2JqXAnPXLgnWZds6lD4Xh62tSZbI6PBAr2tEsk%3d",47,"Wisconsin",1531,"Division I","North Central","Lake Superior DI",16,16,312,1.34569448766692
"45","Western Washington (Chaos)","College","Women","Bellingham","WA","/teams/events/Eventteam/?TeamId=PUsywval7dv8Gpn8URBwtPJx0bimD74i1mIOA7RYAzU%3d",35,"Western Washington",1655,"Division I","Northwest","Cascadia DI",4,8,299,1.27528983334229
"46","Auburn (Ares)","College","Women","Auburn","AL","/teams/events/Eventteam/?TeamId=Itxp5yUgi7zE4VdHsGbImiqfb0PKZnjdDCsLW3cTj38%3d",48,"Auburn",1505,"Division I","Southeast","Gulf Coast DI",21,4,14,1.22927930923913
"47","North Carolina State (Jaga Monsta)","College","Women","Raleigh","NC","/teams/events/Eventteam/?TeamId=U3CpEGnLUG%2f8JDXI0pkPpdfrjLKb%2fyp2Ee0Nh1vDQSs%3d",38,"North Carolina State",1635,"Division I","Atlantic Coast","Carolina DI",15,7,178,1.22533969807465
"48","Chicago (Supersnatch)","College","Women","Chicago","IL","/teams/events/Eventteam/?TeamId=agCGUT6w3uLl52%2boCeMfULuFyIJNEZVN2aIIzIKG3Zg%3d",82,"Chicago",1225,"Division I","Great Lakes","Illinois DI",17,9,50,1.21338662226736
"49","Duke (Swerve)","College","Women","Durham","NC","/teams/events/Eventteam/?TeamId=H0uZQmihXxCKUXgWlkzCXx5G%2fXPHpts6WN1HLnsXyek%3d",33,"Duke",1663,"Division I","Atlantic Coast","Carolina DI",15,3,83,1.21322213491948
"50","Delaware (Sideshow Ultimate)","College","Women","Newark","DE","/teams/events/Eventteam/?TeamId=aLhdH%2bEG4J1Z74u6Uku9dzsribdKZiM1EWzcxU2rYYA%3d",25,"Delaware",1745,"Division I","Atlantic Coast","Colonial DI",13,6,77,1.19897688120531
"51","Colorado College (Lysistrata's Tools)","College","Women","Colorado Springs","CO","/teams/events/Eventteam/?TeamId=shxGM7ge4qsLfJqbKelBfpY9r18Q46xoRk%2fFK19%2bMTU%3d",42,"Colorado College",1580,"Division I","South Central","Rocky Mountain DI",7,14,63,1.17836581722263
"52","Georgia (Dawgma)","College","Women","Athens","GA","/teams/events/Eventteam/?TeamId=bv0piAGJ2T9Ulg9%2b2sCDhNKmdutHSSEi2i%2bOOiBQi%2bQ%3d",49,"Georgia",1481,"Division I","Southeast","Southern Appalachian DI",15,11,101,1.17832185347309
"53","Florida State (Seminole Ladies)","College","Women","Tallahassee","FL","/teams/events/Eventteam/?TeamId=jmdXQMKsoEqlx%2fndlWxqZBHFZdN2arSj%2f2sZBXI8DRw%3d",45,"Florida State",1539,"Division I","Southeast","Florida DI",20,14,93,1.03813070581951
"54","Clemson (Tigerlilies)","College","Women","Clemson","SC","/teams/events/Eventteam/?TeamId=A%2fGcWvr8lK3AqaY31RTjqGpSrTNEzkjXh8ouRi%2bSqEM%3d",55,"Clemson",1406,"Division I","Atlantic Coast","Carolina DI",11,11,56,1.03382730488047
"55","Northwestern (GungHo)","College","Women","Evanston","IL","/teams/events/Eventteam/?TeamId=uFEJJHpXo%2bfg21QK51DzML51WaHXso20o%2bnS2oItlEI%3d",56,"Northwestern",1401,"Division I","Great Lakes","Illinois DI",16,10,186,0.957175742934253
"56","Connecticut (UConn Huskies)","College","Women","Storrs","CT","/teams/events/Eventteam/?TeamId=Bw4X5kH8%2blNFkm5DaoSpE5jxLAuEIme1R0yGOLdU40c%3d",44,"Connecticut",1557,"Division I","Metro East","Eastern Metro East DI",24,4,68,0.886192821636147
"57","Central Florida (Central Florida)","College","Women","Orlando","FL","/teams/events/Eventteam/?TeamId=Fau2WHfLb7iXwh2CX%2fZRdzDu%2bK0SGFkO9nChSfiku38%3d",67,"Central Florida",1320,"Division I","Southeast","Florida DI",15,11,47,0.838795826622952
"58","Boston College (Boston College)","College","Women","Chestnut Hill","MA","/teams/events/Eventteam/?TeamId=0DKZAY%2fClTUlcMJNV3ErO3mO58jDb9XDosf9Qieitw0%3d",27,"Boston College",1734,"Division I","New England","Metro Boston DI",15,4,22,0.821060532118533
"59","San Diego State (SDSU Gnomes)","College","Women","San Diego","CA","/teams/events/Eventteam/?TeamId=ZX33qMLWLJpIN8Fwl2GmKbFrK9uy%2bf48Lpc5GHGCZ9o%3d",90,"San Diego State",1125,"Division I","Southwest","SoCal DI",11,13,228,0.785470291631313
"60","Columbia (PANDEMIC)","College","Women","New York City","NY","/teams/events/Eventteam/?TeamId=xtcmP99PffxjvtIyS%2bClt6%2fpSpsjbnF7TEqh3uZ9fhw%3d",37,"Columbia",1638,"Division I","Metro East","Eastern Metro East DI",18,5,66,0.768839403110422
"61","Northeastern (Valkyries A)","College","Women","Boston","MA","/teams/events/Eventteam/?TeamId=ULMADbe8rb3kbp2F%2bq8VcYK7N3CyYNSTUrRhhBajqEI%3d",69,"Northeastern",1303,"Division I","New England","Metro Boston DI",10,15,182,0.716116785517033
"62","Truman State (TSUnami Women's Ultimate)","College","Women","Kirksville","MO","/teams/events/Eventteam/?TeamId=4dGkX7XixfnEBcwY0prdutLhYCSbw4%2bsWkRMSjvap%2fQ%3d",92,"Truman State",1108,"Division III","South Central","South Central DIII",16,6,269,0.712439787382827
"63","Cincinnati (Snapbacks)","College","Women","Cincinnati","OH","/teams/events/Eventteam/?TeamId=EKcCmU1buLMPwucVJ41IhnLUPJjh4t0WpX7p780w67s%3d",52,"Cincinnati",1425,"Division I","Ohio Valley","Ohio DI",13,5,53,0.688285641854262
"64","Brigham Young (CHI)","College","Women","Orem","UT","/teams/events/Eventteam/?TeamId=GyIWE10yaReEHY1YEkoUTP7LiB%2bwS%2fGAo%2bK8ykiHGeE%3d",63,"Brigham Young",1341,"Division I","Northwest","Big Sky DI",11,9,26,0.679619807949218
"65","Denver (Hype )","College","Women","Denver","CO","/teams/events/Eventteam/?TeamId=iqD37pXMEw%2bbep2hg73k0Dmy4f%2fW8iB2A1kScChAPks%3d",84,"Denver",1216,"Division I","South Central","Rocky Mountain DI",16,8,78,0.678523235288028
"66","Illinois (Illinois)","College","Women","Champaign-Urbana","IL","/teams/events/Eventteam/?TeamId=JSxn5P2QdOHgK8bbGkZKmRGsGfa9vnfIpy%2bL7zmaV3Q%3d",50,"Illinois",1458,"Division I","Great Lakes","Illinois DI",11,9,121,0.659492121796345
"67","John Brown (Savage Skies)","College","Women","Siloam Springs","AR","/teams/events/Eventteam/?TeamId=vCGDnpUUe%2b6vjco%2fixY%2bDyz8sLTg1l%2bvi44Dd52iJis%3d",112,"John Brown",958,"Division III","South Central","South Central DIII",16,5,128,0.640052899174711
"68","South Carolina (SCORCH)","College","Women","Columbia","SC","/teams/events/Eventteam/?TeamId=Ec801WfT2iJGXPljM5d9a1n%2fDibbrJRchytByoIGi%2b4%3d",53,"South Carolina",1413,"Division I","Atlantic Coast","Carolina DI",15,9,235,0.617700675039804
"69","St Olaf (Vortex)","College","Women","Northfield","MN","/teams/events/Eventteam/?TeamId=L%2bnaiOICsvpoS48z0cK2A4y5EqRNtneUxyv3GkY%2fTAo%3d",74,"St Olaf",1264,"Division III","North Central","North Central DIII",13,8,241,0.612503190433165
"70","Missouri State (Bearly Legal)","College","Women","Springfield","MO","/teams/events/Eventteam/?TeamId=lQi4946YJw5WX0JUGsWbg7u6O1AGwvMzgWpfvN6XWtM%3d",71,"Missouri State",1281,"Division I","South Central","Ozarks DI",15,4,165,0.602731817002298
"71","Middlebury (Middlebury Lady Pranksters)","College","Women","Middlebury","VT","/teams/events/Eventteam/?TeamId=ismDmdHInaC%2bEln9S7%2f35aQnU2KtA4BK%2b0pFjpVhnQw%3d",NA,NA,NA,NA,NA,NA,10,8,158,0.595021871588509
"72","Valparaiso (Chicks Hucking Discs)","College","Women","Valparaiso","IN","/teams/events/Eventteam/?TeamId=gvN1mHREvSjJRrohwFOoXwvSgaqraYU7eAfSOE64BMg%3d",81,"Valparaiso",1225,"Division III","Great Lakes","Great Lakes DIII",16,3,277,0.594041956618714
"73","Utah (Spiral Jetty Ultimate)","College","Women","Salt Lake City","UT","/teams/events/Eventteam/?TeamId=m73fSOCvwN44i%2bdz5xhcrmYANr7M%2b367mEqrQV480Jw%3d",133,"Utah",830,"Division I","Northwest","Big Sky DI",18,12,276,0.563787381797555
"74","Texas-San Antonio (Legion)","College","Women","San Antonio","TX","/teams/events/Eventteam/?TeamId=zYw%2fFLnyV9wJriIun5XPxYGP6XOAOE1BWkFLKsjHjtg%3d",172,"Texas-San Antonio",556,"Division I","South Central","Texas DI",14,13,259,0.559563884959076
"75","Texas Christian (Wrath)","College","Women","Fort Worth","TX","/teams/events/Eventteam/?TeamId=BRqsin2RkfHTSmhvvtT%2bNmcIObj4FwArhRoj4Tk7Z%2bk%3d",116,"Texas Christian",935,"Division I","South Central","Texas DI",15,8,262,0.534040011883981
"76","Idaho (Idaho Gems)","College","Women","Moscow","ID","/teams/events/Eventteam/?TeamId=heaBQJF9A6cDlIfU2KSi7kzDoIOFWI7yo8fN1tmS6Q4%3d",119,"Idaho",919,"Division I","Northwest","Big Sky DI",12,12,120,0.489358989066577
"77","Montana (MT PillowFight)","College","Women","Missoula","MT","/teams/events/Eventteam/?TeamId=%2bquXdUAgZAajPeHi%2bR0xZ8cjX%2fbKKXJCONCoXZbka4I%3d",159,"Montana",651,"Division I","Northwest","Big Sky DI",7,8,167,0.485736762958157
"78","Bowdoin (Chaos Theory)","College","Women","Brunswick","ME","/teams/events/Eventteam/?TeamId=8wF5GL2mV8K8mXy8Et985w2ZPG%2fg6XXKx7l0kuoRxgo%3d",43,"Bowdoin",1577,"Division III","New England","North New England DIII",14,3,24,0.481694863841909
"79","SUNY-Geneseo  (Escargot 2017)","College","Women","Geneseo","NY","/teams/events/Eventteam/?TeamId=nMoLJNgmDySZwtuEupQyAhZKjZJqEHGPq0b8awgOZXM%3d",NA,NA,NA,NA,NA,NA,18,2,248,0.481109628284478
"80","Case Western Reserve (Fighting Gobies)","College","Women","Cleveland","OH","/teams/events/Eventteam/?TeamId=kNe%2fJLR%2bW0SBoryXfzjmdrmGKfe16ctQxrfLF5S6TKE%3d",41,"Case Western Reserve",1583,"Division I","Ohio Valley","Ohio DI",16,9,45,0.475608746799823
"81","Arizona State (Caliente)","College","Women","Tempe","AZ","/teams/events/Eventteam/?TeamId=9QmSNfSq%2fuqxIIn55N8CGSqeSki6bWQ3qBrHOaLjnYk%3d",138,"Arizona State",799,"Division I","Southwest","Desert DI",11,15,12,0.466675709478081
"82","Victoria (UVixens)","College","Women","Victoria","BC","/teams/events/Eventteam/?TeamId=UFP4dGqMw9CL%2fXnILhJSGCjhepT4PajAMtAv0G%2bHVcg%3d",66,"Victoria",1321,"Division I","Northwest","Cascadia DI",8,16,282,0.462432068241456
"83","Indiana (Calamity Jane)","College","Women","Bloomington","IN","/teams/events/Eventteam/?TeamId=aAUiRYJmi6fw7gapfnv1FuUHeQxTcbKFVsaQVRX9poU%3d",64,"Indiana",1334,"Division I","Great Lakes","Eastern Great Lakes DI",21,7,123,0.437392604069972
"84","Harvard (Quasar)","College","Women","Cambridge","MA","/teams/events/Eventteam/?TeamId=hUSGGPgTIUluMR1pCr5MFkf08km7d8twZk9M7y%2fIkXc%3d",58,"Harvard",1381,"Division I","New England","Metro Boston DI",15,8,115,0.427534477945724
"85","Wesleyan (Vicious Circles)","College","Women","Middletown","CT","/teams/events/Eventteam/?TeamId=8yQXQsqwd3U5tPLJtibXU4alXcwGzjS6ZK7mnwzv4h8%3d",NA,NA,NA,NA,NA,NA,12,0,295,0.427510068132965
"86","Oregon State  (Dinos)","College","Women","Corvallis","OR","/teams/events/Eventteam/?TeamId=ceWhAnmm9hJmU5H3pBVY9tSZB3SU0vYtVD263mLD3yo%3d",118,"Oregon State",925,"Division I","Northwest","Cascadia DI",14,10,201,0.417457021972445
"87","Puget Sound (Clearcut)","College","Women","Tacoma","WA","/teams/events/Eventteam/?TeamId=wp3pykW%2f%2bMusNgMn%2fqmhWXbVCwKKbLZPsolU3A2HUY0%3d",108,"Puget Sound",997,"Division III","Northwest","Northwest DIII",10,10,214,0.416576482819808
"88","Washington University (Iron Horse)","College","Women","St. Louis","MO","/teams/events/Eventteam/?TeamId=AUu2RJq%2fMZhVFRQ%2bgXi45cGambK9DC4ICUIW5EXpf9E%3d",77,"Washington University",1255,"Division I","South Central","Ozarks DI",11,15,291,0.39877152699649
"89","Iowa (Saucy Nancy)","College","Women","Iowa City","IA","/teams/events/Eventteam/?TeamId=RzDNayJWB2ePNdEnK1FH06lYuuLybCNh%2fKB2mk0OzQo%3d",85,"Iowa",1207,"Division I","North Central","Western North Central DI",18,16,124,0.391022106348381
"90","Princeton (Clockwork Orange)","College","Women","Princeton","NJ","/teams/events/Eventteam/?TeamId=M4c6NyH72wgD7XUnMNbMsdoZ6EgQKLymSYLik7QJxSE%3d",65,"Princeton",1322,"Division I","Metro East","Eastern Metro East DI",21,11,213,0.385243183161839
"91","Boise State (Buffalo Gals)","College","Women","Boise","ID","/teams/events/Eventteam/?TeamId=%2fmrjSLct5hWpusPeWOwZTJiyMEPJsnI52zcXdqr5WnE%3d",137,"Boise State",804,"Division I","Northwest","Big Sky DI",10,14,20,0.364512044459908
"92","Maryland (Helpful Corn)","College","Women","College Park","MD","/teams/events/Eventteam/?TeamId=W1rKBAklwdksFfw8T6J9s4%2bxJKknScR1Ch%2fjCxUT3lk%3d",86,"Maryland",1198,"Division I","Atlantic Coast","Colonial DI",20,14,150,0.354355461154152
"93","Texas-B (Mayhem)","College","Women","Austin","TX","/teams/events/Eventteam/?TeamId=bl89oVoIVl8Bfw7AUnUmWEHjAXwGkZHM2Czcko%2fbAX8%3d",186,"Texas B",416,"Developmental","South Central","Texas DI",14,13,257,0.352151035371274
"94","Santa Clara (Santa Clara RAGE A)","College","Women","Santa Clara","CA","/teams/events/Eventteam/?TeamId=fXsHBrvEI2JiOxJlZpAPzgDzHgT%2fRn8ozlHpu1Swu1Y%3d",97,"Santa Clara",1076,"Division I","Southwest","NorCal DI",8,14,230,0.344151543304869
"95","California-Santa Cruz (Sol)","College","Women","Santa Cruz","CA","/teams/events/Eventteam/?TeamId=jaq4l3e%2bBkW1BWT%2bIp8Kiv8AHuy%2bKXIEH2llLgEF5Ys%3d",150,"California-Santa Cruz",718,"Division I","Southwest","NorCal DI",8,18,40,0.332972405462832
"96","Texas State (Trainwreck)","College","Women","San Marcos","TX","/teams/events/Eventteam/?TeamId=8hF8JcZo%2fNSinJjoa93cz6q5CXHLrbjO476VNl9NbME%3d",139,"Texas State",797,"Division I","South Central","Texas DI",7,10,263,0.321018718650706
"97","Humboldt State (Hags)","College","Women","Arcata","CA","/teams/events/Eventteam/?TeamId=fimUsGqNxS9OVlqfE1JIrq20ZyOplYViF9wpHtTbdhQ%3d",NA,NA,NA,NA,NA,NA,3,13,119,0.320879093879278
"98","George Mason (Extinction)","College","Women","Fairfax","VA","/teams/events/Eventteam/?TeamId=yJdYfZOkNxNg9xjDxGi2v5CRYZImONJavWr5UBkehso%3d",68,"George Mason",1309,"Division I","Atlantic Coast","Virginia DI",19,8,96,0.316691451511544
"99","West Virginia (Mountain Mamas )","College","Women","Morgantown","WV","/teams/events/Eventteam/?TeamId=UcqpwvFK6qHgsIMb1%2bQ0RQQ4t3UI0sGqH9pI2SuYtZg%3d",73,"West Virginia",1276,"Division I","Ohio Valley","Pennsylvania DI",15,9,297,0.312970295356298
