"","Team","Competition Level","Gender Division","City","State","Links","Rank","School","Power Rating","Competition Division","College Region","College Conference","Wins","Losses","Index","Rating"
"30","Pennsylvania (Venus)","College","Women","Philadelphia","PA","/teams/events/Eventteam/?TeamId=QpVDsAPVZXRyp9BZoanpByRtXIu8Y%2byncmpnBxcqtbc%3d",53,"Pennsylvania",1395,"Division I","Ohio Valley","Pennsylvania DI",13,13,206,1.6784476456236
"31","Notre Dame (Womb)","College","Women","Notre Dame","IN","/teams/events/Eventteam/?TeamId=dj8X5p70qx5BrYkGqAEub0wJXZTCAi%2f12Z5M7XG%2fvQM%3d",34,"Notre Dame",1601,"Division I","Great Lakes","Eastern Great Lakes DI",19,8,188,1.66936112349646
"32","Lehigh (Gravity)","College","Women","Bethlehem","PA","/teams/events/Eventteam/?TeamId=39OgzgYWV2HLhwoB1k7GLzKpmuHRfwas2MuJ%2fIYSLjk%3d",79,"Lehigh",1181,"Division III","Ohio Valley","Pennsylvania DIII",24,8,135,1.61879107144197
"33","Florida (FUEL)","College","Women","Gainesville","FL","/teams/events/Eventteam/?TeamId=UG%2bn4qvd3%2fV%2bs0JjGmvMXGBuutxMKNO%2fVrKpeQ%2b6lmc%3d",24,"Florida",1726,"Division I","Southeast","Florida DI",23,17,91,1.60148215895661
"34","Kansas (Betty Ultimate)","College","Women","Lawrence","KS","/teams/events/Eventteam/?TeamId=DHbsrpRtzE5PsMHmRuH57coSGoPSHEdZyRqOP0IoV2w%3d",55,"Kansas",1386,"Division I","South Central","Ozarks DI",24,10,129,1.56935092461656
"35","California (Pie Queens)","College","Women","Berkeley","CA","/teams/events/Eventteam/?TeamId=32BICtdB%2flE4H%2boQgLCNJ0XN5FP8HSBWolmB818sQEw%3d",28,"California",1678,"Division I","Southwest","NorCal DI",21,19,43,1.54001267262326
"36","Washington University (Iron Horse)","College","Women","St. Louis","MO","/teams/events/Eventteam/?TeamId=YQ%2fcJ1L%2bRcxHRAKUc5Uo8dRReM%2fhW2Px98Vj9z3pYs4%3d",21,"Washington University",1730,"Division I","South Central","Ozarks DI",21,11,292,1.51848938948772
"37","Georgia (Athena)","College","Women","Athens","GA","/teams/events/Eventteam/?TeamId=x7goe183gu8U38cTplx4VN8I9wyrBGr6h2tgBqGo6eI%3d",41,"Georgia",1498,"Division I","Southeast","Southern Appalachian DI",22,15,99,1.48507820709292
"38","Georgia Tech (Wreck A)","College","Women","Atlanta","GA","/teams/events/Eventteam/?TeamId=6M4mo4%2b9tCKtKrWoeaILv6q9CyiEcMIi9G37BOg%2bjuw%3d",33,"Georgia Tech",1613,"Division I","Southeast","Southern Appalachian DI",18,9,104,1.48331972595773
"39","Amherst (Sparkle Motion)","College","Women","Amherst","MA","/teams/events/Eventteam/?TeamId=MN6bKWDsu%2bz%2blC1b1R9tM0Mf5mCLy%2f1FNVznQN9KwYo%3d",64,"Amherst",1277,"Division III","New England","South New England DIII",14,11,9,1.45820260013424
"40","Ottawa (GeeGees)","College","Women","Ottawa","Ontario","/teams/events/Eventteam/?TeamId=RBqvNMOsBzs%2b%2fGattG%2bhG6wF63AYELAxrhREKeLbov4%3d",56,"Ottawa",1385,"Division I","Metro East","Western NY DI",13,2,201,1.45288170952922
"41","Whitman (Whitman Sweets)","College","Women","Walla Walla","WA","/teams/events/Eventteam/?TeamId=EeHrPWnYQWTykJZZYKtTX7kUMBxSHJjlPsgr3Ea%2bTf8%3d",15,"Whitman",1928,"Division I","Northwest","Big Sky DI",12,16,302,1.3645794659993
"42","Washington (Element)","College","Women","Seattle","WA","/teams/events/Eventteam/?TeamId=cuHVvPyN4eEv4Sb67n8gCiemad6btQYiNcv%2fkedSlJA%3d",22,"Washington",1729,"Division I","Northwest","Cascadia DI",15,19,290,1.31947470086274
"43","Oberlin  (Preying Manti A)","College","Women","Oberlin","OH","/teams/events/Eventteam/?TeamId=%2fEgqrTGemV7CK0T6TDO60XSA7wcJVdOAmWDZOgGS2rg%3d",60,"Oberlin",1322,"Division III","Ohio Valley","Ohio DIII",21,5,191,1.24807190636142
"44","Columbia (PANDEMIC)","College","Women","New York","NY","/teams/events/Eventteam/?TeamId=E8IRyq6WS7nNIZt%2f6vIW%2fpkh4u0euKdv8XZoth%2bvjMw%3d",66,"Columbia",1267,"Division I","Metro East","Eastern Metro East DI",19,8,71,1.17355199035404
"45","Northwestern (GungHo)","College","Women","Evanston","IL","/teams/events/Eventteam/?TeamId=YK8v0z42ibjfV2OIkgtbBYx%2bXwIccLQRK6Cd8ZwmK5I%3d",32,"Northwestern",1636,"Division I","Great Lakes","Illinois DI",21,14,186,1.13955568391226
"46","Virginia (Hydra)","College","Women","Charlottesville","VA","/teams/events/Eventteam/?TeamId=AhCU5CfZbR8zGd89AfNiXQINA6DTiIFTPhTtpgrpS%2bM%3d",45,"Virginia",1472,"Division I","Atlantic Coast","Virginia DI",20,17,285,1.05548834524207
"47","Maryland (Helpful Corn)","College","Women","College Park","MD","/teams/events/Eventteam/?TeamId=%2f0p7rfDmgi%2fUV9mjE542h9FocAfVdyKXAcV8jEDeVuI%3d",80,"Maryland",1180,"Division I","Atlantic Coast","Colonial DI",21,11,147,1.03413076997809
"48","SUNY-Albany (Deception)","College","Women","Albany","NY","/teams/events/Eventteam/?TeamId=jqQklNEzvNE%2bHE5xbA4l2BCVJJJsDcr87Xw57nweoHs%3d",121,"SUNY-Albany",932,"Division I","Metro East","Eastern Metro East DI",15,8,243,0.996303992127206
"49","Cal Poly-SLO (SLO Motion)","College","Women","San Luis Obispo","CA","/teams/events/Eventteam/?TeamId=edkG0e7R8tRZbSBQ5L3auNTFlIE7UGk7ezF1GexNwS4%3d",27,"Cal Poly-SLO",1688,"Division I","Southwest","SoCal DI",20,15,33,0.98312301667663
"50","Princeton (Clockwork)","College","Women","Princeton","NJ","/teams/events/Eventteam/?TeamId=gXTItzd9Q2hAfA%2fZP6rEHk%2fQXugCwzRFv6tWfYssyqk%3d",114,"Princeton",972,"Division I","Metro East","Eastern Metro East DI",16,9,212,0.980327905809461
"51","Mount Holyoke (Daisy Chain)","College","Women","South Hadley","MA","/teams/events/Eventteam/?TeamId=FK9BrPYeuGj4Sk6YH2hl2g6jPw6pnIWk6TukUVmv%2bDQ%3d",72,"Mount Holyoke",1227,"Division III","New England","South New England DIII",17,6,166,0.979332824834151
"52","Penn State  (Crisis)","College","Women","University Park","PA","/teams/events/Eventteam/?TeamId=2eaXvEAWfqNMFluOGpzeL3DHqRZnytcj9FNqzh2%2fAV8%3d",51,"Penn State",1416,"Division I","Ohio Valley","Pennsylvania DI",16,12,204,0.972676464754726
"53","Williams (La WUFA)","College","Women","Williamstown","MA","/teams/events/Eventteam/?TeamId=XYbPro2M7wTQXZTLVf4pObI5q%2fEVZBQeMCNEmbtkg%2fU%3d",35,"Williams",1594,"Division III","New England","South New England DIII",17,9,305,0.972241125077697
"54","Iowa State (Woman Scorned)","College","Women","Ames","IA","/teams/events/Eventteam/?TeamId=g9I3uoxgogAQyOFQZ%2f4IZq8VD4V5uyIpE0sqm0VKnqo%3d",46,"Iowa State",1466,"Division I","North Central","Western North Central DI",13,19,121,0.951735702246317
"55","Northeastern (Valkyries A)","College","Women","Boston","MA","/teams/events/Eventteam/?TeamId=y%2bKHivyI6jMLK1JjvkdnPyE40TtiSffBR6u8vIsL9QY%3d",23,"Northeastern",1726,"Division I","New England","Metro Boston DI",10,12,181,0.920916052988324
"56","Dayton (Kraken)","College","Women","Dayton","OH","/teams/events/Eventteam/?TeamId=nbCH2yDTb4ZfO9xVi8xbaJ0naocVCFmZqaeF3oEQ1XY%3d",116,"Dayton",945,"Division I","Ohio Valley","Ohio DI",14,7,78,0.89860538869574
"57","Wisconsin (Bella Donna)","College","Women","Madison","WI","/teams/events/Eventteam/?TeamId=1nQ62myjHWZgiTRnZfkrYftKL5RUuAvnHRVHDq5DHEA%3d",36,"Wisconsin",1590,"Division I","North Central","Lake Superior DI",15,12,313,0.890190168683062
"58","Kennesaw State (Strix)","College","Women","Kennesaw","GA","/teams/events/Eventteam/?TeamId=lZGHmxHO32Y0i4Mr5I1966eBMdh8Ys%2bVeyD3HmVE%2bpQ%3d",37,"Kennesaw State",1590,"Division I","Southeast","Southern Appalachian DI",17,11,131,0.88982227264621
"59","Massachusetts (Lady Zoo)","College","Women","Amherst","MA","/teams/events/Eventteam/?TeamId=MASsJCCQrOiP6SPvylslUkxZjDmUY605W8D%2fsXc9Su8%3d",59,"Massachusetts",1332,"Division I","New England","Greater New England DI",19,7,148,0.889524784659369
"60","Duke (Swerve)","College","Women","Durham","NC","/teams/events/Eventteam/?TeamId=KoRsw%2f86dTE%2bXvxgXYSSCOpBS7pWmNSt2Be9he6l2Fg%3d",44,"Duke",1475,"Division I","Atlantic Coast","Carolina DI",18,12,84,0.847701424047256
"61","South Carolina (SCORCH)","College","Women","Columbia","SC","/teams/events/Eventteam/?TeamId=M0Ef4%2bRhEKyRAHMJR%2flKIQWDLVvTBwYLIsCuVru%2b6hY%3d",54,"South Carolina",1391,"Division I","Atlantic Coast","Carolina DI",17,9,234,0.811428011391731
"62","Towson (Hammertime)","College","Women","Towson","MD","/teams/events/Eventteam/?TeamId=jRqnUA%2bE2BAJl%2frlndrFLDiQMW7q0ygK1eQMB2ab1Is%3d",106,"Towson",1039,"Division I","Atlantic Coast","Colonial DI",18,12,264,0.796444783220775
"63","Colorado State (Hell's Belles)","College","Women","Fort Collins","CO","/teams/events/Eventteam/?TeamId=mKdvUuoj3UIcb0fPrqkCv1zA4o%2f%2fgjDZszOjYOplbbE%3d",48,"Colorado State",1453,"Division I","South Central","Rocky Mountain DI",14,15,69,0.792124477136517
"64","Florida State (Seminole Ladies)","College","Women","Tallahassee","FL","/teams/events/Eventteam/?TeamId=4egJ6Bel%2f7O2o9iUovvAHVAyUcP7C5gjaiMIRglYjgk%3d",58,"Florida State",1346,"Division I","Southeast","Florida DI",22,9,92,0.774965237821817
"65","Cornell (Wild Roses)","College","Women","Ithaca","NY","/teams/events/Eventteam/?TeamId=V10pPz0y4D8Zar%2fyvbVkEtGryvGxANuH4FDWXKLy8YU%3d",73,"Cornell",1226,"Division I","Metro East","Western NY DI",16,19,75,0.76536421135193
"66","Central Florida (Central Florida)","College","Women","Orlando","FL","/teams/events/Eventteam/?TeamId=a1iOCbQdn9p2Zdpvf36rT1ryCaTs2nslEga1CCeN42Y%3d",65,"Central Florida",1269,"Division I","Southeast","Florida DI",26,12,52,0.739380775457113
"67","Rutgers (Rutgers Nightshade)","College","Women","New Brunswick","NJ","/teams/events/Eventteam/?TeamId=V%2b6gSfwDMD1jwEbWFJOowZr5xKvXH7XdR6SxTMGVo0k%3d",138,"Rutgers",812,"Division I","Metro East","Eastern Metro East DI",14,12,222,0.735654807269528
"68","James Madison (Bitchmonkeys)","College","Women","Harrisonburg","VA","/teams/events/Eventteam/?TeamId=2QKJoaQ8y2V7fpZhwpshJ1P08%2frso9kXFX%2fjv4PfPPM%3d",67,"James Madison",1266,"Division I","Atlantic Coast","Virginia DI",20,12,123,0.72240828147868
"69","West Virginia (Mountain Mamas )","College","Women","Morgantown","WV","/teams/events/Eventteam/?TeamId=W11uj%2fnxMlF%2fR7ouArCNMGXSkDGu724sIAXqIn8NNd0%3d",134,"West Virginia",835,"Division I","Ohio Valley","Pennsylvania DI",14,4,298,0.712849032475025
"70","Harvard (Quasar)","College","Women","Cambridge","MA","/teams/events/Eventteam/?TeamId=QZpHLE8Ug6biwAlVPxXnj7wtbbZn7TKQNM5l533uIlE%3d",42,"Harvard",1484,"Division I","New England","Metro Boston DI",13,13,111,0.70341633194209
"71","Puget Sound (Clearcut)","College","Women","Tacoma","WA","/teams/events/Eventteam/?TeamId=6q7DkUJKuBr5GRrD1GrgUbHoNBKL7FJ%2fGFF2zTxCVXk%3d",52,"Puget Sound",1397,"Division III","Northwest","Northwest DIII",21,8,214,0.701462270894373
"72","Yale (Ramona)","College","Women","New Haven","CT","/teams/events/Eventteam/?TeamId=CTGLjPLk%2fAQvq1OnTaYesrUfSZardXLplbmR1ApLwd8%3d",154,"Yale",742,"Division I","Metro East","Eastern Metro East DI",10,13,318,0.693780816098689
"73","Georgetown (Huckin' Foyas)","College","Women","Washington","DC","/teams/events/Eventteam/?TeamId=8JbY8t8IVPj9fWzPBFqk67XxjtdeexO8Btf9PiahrHk%3d",88,"Georgetown",1124,"Division I","Atlantic Coast","Colonial DI",17,18,98,0.676901030897174
"74","Bowdoin (Chaos Theory)","College","Women","Brunswick","ME","/teams/events/Eventteam/?TeamId=7%2bBVdkqTMG02tu%2boosBvFjg71G6Sd1SDcT%2f6SbeiqEs%3d",86,"Bowdoin",1136,"Division III","New England","North New England DIII",7,10,26,0.65667111561692
"75","Brandeis (Banshee)","College","Women","Waltham","MA","/teams/events/Eventteam/?TeamId=NwCgQXWVum8OYwuvTanspHdChdvIDKfwRg6tXtLPNJA%3d",91,"Brandeis",1114,"Division III","New England","Metro Boston DIII",12,9,27,0.654438180740758
"76","Rensselaer Polytech (Strut)","College","Women","Troy","NY","/teams/events/Eventteam/?TeamId=haf%2b6CKLmFYc7LphiRk%2bdAKcaCVS%2fJbJD0Dm4yBNx%2bk%3d",70,"Rensselaer Polytech",1235,"Division III","Metro East","Eastern Metro East DIII",17,8,216,0.621277530944399
"77","Utah (Spiral Jetty Ultimate)","College","Women","Salt Lake City","UT","/teams/events/Eventteam/?TeamId=%2bPfNSohiDXWWVLAdJBqaxhsmJKmUJFFlwnUALuaxAYc%3d",47,"Utah",1460,"Division I","Northwest","Big Sky DI",15,13,274,0.614313685193334
"78","Emory (Luna)","College","Women","Atlanta","GA","/teams/events/Eventteam/?TeamId=OC7m%2fIx4yhG2jdFjs22u%2bq%2fZk%2f3QmUh4KPM98I0DfWw%3d",75,"Emory",1213,"Division I","Southeast","Southern Appalachian DI",18,11,89,0.609237321475683
"79","Middlebury (Middlebury Lady Pranksters)","College","Women","Middlebury","VT","/teams/events/Eventteam/?TeamId=c2YTZxc4qv44z68epmMBOb%2fd5iHEd11%2fYGQ2hGxGI74%3d",92,"Middlebury",1109,"Division III","New England","North New England DIII",11,6,155,0.583531484612895
"80","Rochester (EZ Women)","College","Women","Rochester","NY","/teams/events/Eventteam/?TeamId=GuknFuO1p3QslH31rDhxg0dkBH7vjNlQ%2bC%2fqEEhb3hs%3d",110,"Rochester",1014,"Division I","Metro East","Western NY DI",12,9,220,0.573865843227869
"81","Southern California (Hellions of Troy)","College","Women","Los Angeles","CA","/teams/events/Eventteam/?TeamId=%2bsA2Cx8GDG5IVrRjRZc2JukffJpCaiguEpdYifJjNNE%3d",40,"Southern California",1506,"Division I","Southwest","SoCal DI",18,19,236,0.570179406452811
"82","MIT (sMITe)","College","Women","Cambridge","MA","/teams/events/Eventteam/?TeamId=U7zLFTJG50ah2RQE2DCc62cWRuzkHUi8gevwIbrKcXk%3d",105,"MIT",1040,"Division I","New England","Metro Boston DI",7,17,163,0.568586018650314
"83","George Washington (G-dub Hippos A)","College","Women","Washington","DC","/teams/events/Eventteam/?TeamId=4PsCc7FNGZ01dxe7ldkdfZdDHHWgOkgVn03YffLWnXo%3d",129,"George Washington",869,"Division I","Atlantic Coast","Colonial DI",14,13,96,0.526640381215325
"84","Pacific Lutheran (Reign Women)","College","Women","Tacoma","WA","/teams/events/Eventteam/?TeamId=7JeSKAGkrbBVfNfRZ1v0zp6EliKfNRPaaZZ4tHzbALU%3d",78,"Pacific Lutheran",1186,"Division III","Northwest","Northwest DIII",14,13,203,0.521528727386509
"85","Carnegie Mellon (Money Mellons)","College","Women","Pittsburgh","PA","/teams/events/Eventteam/?TeamId=g71Kzm0tUbLjCDHCmUsSgTfx3kGKjgU1F%2bOQaZzLMWQ%3d",123,"Carnegie Mellon",893,"Division I","Ohio Valley","Pennsylvania DI",12,10,48,0.519439627177847
"86","Temple (T.U.F Broads)","College","Women","Philadelphia","PA","/teams/events/Eventteam/?TeamId=uM0J6972uMNMu%2bfVr1cgepQHgJOMInHqnGqqXsm1Msg%3d",171,"Temple",613,"Division I","Ohio Valley","Pennsylvania DI",15,11,253,0.513027232853505
"87","Denver (Hype)","College","Women","Denver","CO","/teams/events/Eventteam/?TeamId=vP%2bvz7tD0h7ZWaykba9ufQiiax%2bjVHiI77C7U6luS4U%3d",77,"Denver",1192,"Division I","South Central","Rocky Mountain DI",22,10,79,0.497355373632192
"88","American (Dirty Ladies)","College","Women","Washington","DC","/teams/events/Eventteam/?TeamId=rvzk3f%2fOWEFXGPisUTvqaIwc9hepdKjr%2f4sd3ZeqN%2fs%3d",148,"American",766,"Division I","Atlantic Coast","Colonial DI",16,10,7,0.486722162877927
"89","Boston College (Boston College)","College","Women","Chestnut Hill","MA","/teams/events/Eventteam/?TeamId=C7LzQY44WIlchcLLFkpaTImYgHSvaGPykogLTWDmlGs%3d",71,"Boston College",1228,"Division I","New England","Metro Boston DI",8,13,23,0.472161884141271
"90","Colby (Dazzlin' Asses)","College","Women","Waterville","ME","/teams/events/Eventteam/?TeamId=4fwJ3dgLXSk04DWuQO1fTUGbDifOcwlMMwV%2bxhydDUM%3d",149,"Colby",765,"Division III","New England","North New England DIII",10,5,62,0.439559029550661
"91","Cincinnati (Toxic)","College","Women","Cincinnati","OH","/teams/events/Eventteam/?TeamId=3X1HIIxsRZQUZDnq5%2bp8WzTEDm5l93YagfXYyDDpOCU%3d",159,"Cincinnati",710,"Division I","Ohio Valley","Ohio DI",9,9,58,0.433640321515844
"92","Georgia College (Lynx rufus)","College","Women","Milledgeville","GA","/teams/events/Eventteam/?TeamId=%2bjdACXxYCkfA%2fthY4%2b4QEdu499Mjimqg3NOMdwx%2facw%3d",94,"Georgia College",1100,"Division III","Southeast","Southeast DIII",13,7,100,0.432012378546759
"93","Swarthmore (Warmothers)","College","Women","Swarthmore","PA","/teams/events/Eventteam/?TeamId=RuEOA1wn3jUFDpupGqeEvOzov2D%2bs2T2mFCJBrtu4c4%3d",167,"Swarthmore",656,"Division III","Ohio Valley","Pennsylvania DIII",15,11,251,0.419773351535901
"94","NYU (NYU Violet Femmes)","College","Women","New York","NY","/teams/events/Eventteam/?TeamId=XWe7yeSMR48hKfyE%2fTg7CsmOz0t%2bWTFnMjT8tlw0LNQ%3d",135,"NYU",831,"Division I","Metro East","Eastern Metro East DI",8,12,189,0.417230002541964
"95","Ball State (Ball State Women's )","College","Women","Muncie","IN","/teams/events/Eventteam/?TeamId=KqjkcpuvfIuZQD0HvgZEaNTetf55WfggQ86d%2fhKsvHw%3d",100,"Ball State",1057,"Division I","Great Lakes","Eastern Great Lakes DI",17,4,16,0.4155810910543
"96","Wesleyan (Vicious Circles)","College","Women","MIDDLETOWN","CT","/teams/events/Eventteam/?TeamId=ARu%2fqUeLJ7d7Y7u0lIXfe3n%2b8M9DXuItB6RggCRFMZA%3d",68,"Wesleyan",1253,"Division III","Metro East","Eastern Metro East DIII",13,12,296,0.415383083504179
"97","Catholic (Nun Betta)","College","Women","Washington","DC","/teams/events/Eventteam/?TeamId=0kAkt%2f9yEvvRdEcGy0L2KwGNGHACe1gCf1DFmYFYGOo%3d",189,"Catholic",529,"Division III","Atlantic Coast","Atlantic Coast DIII",13,9,50,0.358313434927192
"98","Texas Christian (Wrath)","College","Women","Fort Worth","TX","/teams/events/Eventteam/?TeamId=BhulCbcyFS3pBpsuke58f7r7fBDJ10cnexWFQ7m4tFU%3d",62,"Texas Christian",1317,"Division I","South Central","Texas DI",14,9,261,0.356212384140521
