"","Team","Competition Level","Gender Division","Competition Division","College Region","College Conference","Links","Wins","Losses","Rating"
"36","Southern California","College","Men","Division I","Southwest","SoCal DI","/teams/events/Eventteam/?TeamId=CxR4R4GqVpPdk%2b%2bJ9Fd8LgQMMKPk5yIgX6QA4gjkaFc%3d",16,7,2.29768684412271
"37","Virginia Tech","College","Men","Division I","Atlantic Coast","Virginia DI","/teams/events/Eventteam/?TeamId=cka3O9x4lcgypSMx8dYlv3ZdTWfKMlJDK6rm9lGMSQE%3d",12,15,2.25208609805372
"38","Harvard","College","Men","Division I","New England","Metro Boston DI","/teams/events/Eventteam/?TeamId=GR%2f7FpUMAHYiCNUZ6dwVZjArqD2Qxokk36oXiSKGk9Y%3d",14,14,2.05204500185481
"39","Texas","College","Men","Division I","South Central","South Texas DI","/teams/events/Eventteam/?TeamId=IpqF2j5DGGSa4G05i%2fN9juaihnT8eQxDdoJmCkCdgfg%3d",10,14,1.97784699972706
"40","LSU","College","Men","Division I","Southeast","Gulf Coast DI","/teams/events/Eventteam/?TeamId=zpSOdcDSsYKTG2%2fMo2U%2bP5D9eTwxhNYAMM6XVAZhCLc%3d",27,12,1.95184747715332
"41","Tufts","College","Men","Division I","New England","Metro Boston DI","/teams/events/Eventteam/?TeamId=J4AliUeh5ZlPjYBlgF%2bpjmbHcK4HYGn5gkhf5yGrBBI%3d",7,11,1.84294097435026
"42","James Madison","College","Men","Division I","Atlantic Coast","Virginia DI","/teams/events/Eventteam/?TeamId=DdcUab8gUmqIIJaDfsz5MBnRuk23KhzHkFPRQ%2f7lWYs%3d",20,8,1.83073980682403
"43","William & Mary","College","Men","Division I","Atlantic Coast","Virginia DI","/teams/events/Eventteam/?TeamId=BT6dvz9i297AHGqETMr9lgFLtyCBruZKHSjJd%2bktZkk%3d",19,14,1.78225244462273
"44","Texas Tech","College","Men","Division I","South Central","North Texas DI","/teams/events/Eventteam/?TeamId=h4NQwK%2fuKG%2f3LccB%2fBTTnMENJYYD7mDdwMHpcL53CLA%3d",22,4,1.70556425938541
"45","Ohio State","College","Men","Division I","Ohio Valley","Ohio DI","/teams/events/Eventteam/?TeamId=YQyMLUencDbRAvnLTZ8eUVDvddbcRu1Rpp%2fvsi6%2b%2fes%3d",21,15,1.68165642840544
"46","Northeastern","College","Men","Division I","New England","Metro Boston DI","/teams/events/Eventteam/?TeamId=MhzZVzBDtrZbw%2fP8ZZEAL3yUx%2fdFP8JewePv6OHdHRY%3d",18,9,1.63713719100381
"47","Penn State","College","Men","Division I","Ohio Valley","West Penn DI","/teams/events/Eventteam/?TeamId=UtA3lYk3CKAms8pBRbK2pGtrYVaf4I482HqHjsUbAEI%3d",15,6,1.63339997605241
"48","Iowa State","College","Men","Division I","North Central","West Plains DI","/teams/events/Eventteam/?TeamId=sZVKoPDQhqIVwv2VnZyEGynxRoEmPoPxx1SgajX1j2I%3d",19,7,1.58267456288495
"49","Air Force","College","Men","Division III","South Central","Northern South Central DIII","/teams/events/Eventteam/?TeamId=fpIytPB8Dx8D%2bL%2fkzLPPlRYLVEip8jnSUOtmSvMfe9g%3d",22,4,1.47583222392917
"50","Villanova","College","Men","Division I","Ohio Valley","East Penn DI","/teams/events/Eventteam/?TeamId=9lBthNu%2fVQzijesSj9EhIFh6Neq8MCxBUn%2fhVEEcj3M%3d",19,9,1.38876524984373
"51","Emory","College","Men","Division I","Southeast","Southern Appalachian DI","/teams/events/Eventteam/?TeamId=eWCzyIv%2bSrZj08gDeJjqfsjGStcMk10ToMQ9iLcKGRA%3d",17,11,1.35994235241377
"52","Clemson","College","Men","Division I","Atlantic Coast","Carolina DI","/teams/events/Eventteam/?TeamId=tc9UyJTaX5LKMgJ535CxjSMVhuhozup31vjSyx3q4d4%3d",15,18,1.33863504898834
"53","Maryland","College","Men","Division I","Atlantic Coast","Colonial DI","/teams/events/Eventteam/?TeamId=vpO8IDzh0CE7pgnQnnC%2fSHS8GzgkuiKxuhA%2bX81C1EE%3d",25,9,1.28218195291359
"54","George Washington","College","Men","Division I","Atlantic Coast","Colonial DI","/teams/events/Eventteam/?TeamId=bYgFb61CtHM6%2bRdfAs3JRH6dvZQX7Qnfnsn1nqK8Yv0%3d",19,6,1.24814382851849
"55","Illinois","College","Men","Division I","Great Lakes","Illinois DI","/teams/events/Eventteam/?TeamId=Dt%2fGNzRwOX8%2bfQu6yc0cHFo89pJVTkxCCrMJRbpVnpY%3d",12,13,1.20233974645487
"56","Montana State","College","Men","Division I","Northwest","Big Sky DI","/teams/events/Eventteam/?TeamId=K4NGflpVOgSAJTJEbD5qCe5sxkF9ZsO5QqXmH6jVpac%3d",15,1,1.19323980862693
"57","California-San Diego","College","Men","Division I","Southwest","SoCal DI","/teams/events/Eventteam/?TeamId=g%2b5fP8ugcD%2bL221WEoSTUmqynJ0Y9IB8S%2fEbDOoChRI%3d",8,13,1.18888439461375
"58","Arkansas","College","Men","Division I","South Central","Ozarks DI","/teams/events/Eventteam/?TeamId=1E%2bmReGQ87HZpY3bfSryJwrMu5%2fwJB7g1XHH0e8AxCM%3d",12,10,1.1779058594898
"59","Richmond","College","Men","Division III","Atlantic Coast","Northern Atlantic Coast DIII","/teams/events/Eventteam/?TeamId=BOu52yIpK8UabwRgnYVxum02k8MsmgUjS3WHjqARGCg%3d",13,10,1.15644369287473
"60","Georgia Tech","College","Men","Division I","Southeast","Southern Appalachian DI","/teams/events/Eventteam/?TeamId=MT%2fVWJEI5XhmTVdRDaQhMbrckbFJu%2fObwFy0ytoRsMw%3d",13,20,1.15138970469462
"61","Colorado College","College","Men","Division III","South Central","Northern South Central DIII","/teams/events/Eventteam/?TeamId=3x6AvfTJCnboUJDh5njMg7rapfixLdypMISpRG3T2Ds%3d",19,4,1.1397115037453
"62","Tennessee","College","Men","Division I","Southeast","Southern Appalachian DI","/teams/events/Eventteam/?TeamId=KSrojy1smBAQRLAkb%2bco%2b7qDvP4gDX4Plbm19SHH9qY%3d",17,15,1.0792140472418
"63","John Brown","College","Men","Division III","South Central","Northern South Central DIII","/teams/events/Eventteam/?TeamId=CTVb1gnmHNTikOYyZqvozB83tJJUwUzfRvkyYdpSbQk%3d",20,6,1.04871903431033
"64","Tennessee-Chattanooga","College","Men","Division I","Southeast","Southern Appalachian DI","/teams/events/Eventteam/?TeamId=5CKBYVtGQ5El2abmE5WU4OKeX4C6plgAaZU1pVPQDRc%3d",19,15,0.950722942918348
"65","Carleton College-GoP","College","Men","Division III","North Central","Northwoods DIII","/teams/events/Eventteam/?TeamId=SFOuSxNgXNRdrhe50SdBj4XRfw62Yz1tuY9INL3X20Y%3d",11,3,0.94194609970736
"66","Georgia Southern","College","Men","Division I","Southeast","Southern Appalachian DI","/teams/events/Eventteam/?TeamId=oDJlTMVtKHZS%2blHUtJbh5Q2469DPsGadXgJ1wf0CtZM%3d",16,12,0.930634394548114
"67","Nevada-Reno","College","Men","Division I","Southwest","NorCal DI","/teams/events/Eventteam/?TeamId=LGmXODDnfZGIuZFbx05UItT9fnR8ilhrfbp7faftM%2bo%3d",16,12,0.890440408220322
"68","Vermont","College","Men","Division I","New England","North New England DI","/teams/events/Eventteam/?TeamId=ZZIVWFW12JtpVc8PsvdoPFShuAuZjdeDSvUYAeLmLa4%3d",9,6,0.8726215993068
"69","Oklahoma","College","Men","Division I","South Central","Ozarks DI","/teams/events/Eventteam/?TeamId=Uft%2bKolMOgu3pp17PPdaR89mpwV2zsAVal9pXM7ByMc%3d",16,10,0.855044544125964
"70","Arizona State","College","Men","Division I","Southwest","Desert DI","/teams/events/Eventteam/?TeamId=sWuOWiSgBQzQhhvR04iLpbctaOUr3I01A%2bSQV7YmFP8%3d",9,15,0.851903180306517
"71","Washington University","College","Men","Division I","South Central","Ozarks DI","/teams/events/Eventteam/?TeamId=5oOYlrU3ho%2fA15VgLDs%2fuzBSMRXoVPqPqlCjYEbwRI4%3d",16,11,0.849295143015857
"72","South Florida","College","Men","Division I","Southeast","Florida DI","/teams/events/Eventteam/?TeamId=RCYi30XxcyXHLKD2uuXwjEzJbJuPlvpSxh2VCUoaknw%3d",10,14,0.838851805073322
"73","Ohio","College","Men","Division I","Ohio Valley","Ohio DI","/teams/events/Eventteam/?TeamId=yvALNJM8UDVgQgNrIKg0kyVhfNPXOa%2bQZ1FZnwAMt%2bw%3d",18,6,0.830878637074362
"74","California","College","Men","Division I","Southwest","NorCal DI","/teams/events/Eventteam/?TeamId=Y45K6K3o4Iy93%2fE8fcfkFDEQngSTMt2Cj%2ft%2fJew62bc%3d",10,15,0.822206012570673
"75","Williams","College","Men","Division III","New England","South New England DIII","/teams/events/Eventteam/?TeamId=at%2fJNh1%2b5ZP1FKnbhyWHCiD5CiCP92k995NZ8ff6Xp8%3d",16,13,0.803168326246901
"76","California-Davis","College","Men","Division I","Southwest","NorCal DI","/teams/events/Eventteam/?TeamId=3G7ypWKmtCe2LN%2fpG9J0z8%2fFPmuJUgjt0yeB0HVwu4s%3d",10,13,0.794962949748067
"77","Victoria","College","Men","Division I","Northwest","Cascadia DI","/teams/events/Eventteam/?TeamId=Xxig%2fjkYP08V8xz6AmJEQ%2b6%2bU5akV0AGAlg%2bZFdkFY0%3d",5,12,0.789526771907792
"78","Iowa","College","Men","Division I","North Central","West Plains DI","/teams/events/Eventteam/?TeamId=HWJ8nhw8QNNAbnOJB%2fSgNhcyE9R22HzK70wiIvrc98U%3d",19,15,0.787159815666153
"79","Alabama-Huntsville","College","Men","Division III","Southeast","Western Southeast DIII","/teams/events/Eventteam/?TeamId=8tkzhyeR1zDtQLVxmZD1nGpqv8jCkD9YWlj67pNFy6U%3d",18,6,0.77539652304024
"80","Davidson","College","Men","Division III","Atlantic Coast","Carolina DIII","/teams/events/Eventteam/?TeamId=596u1JJRHGayzIV4dSXuuuigVXxCxPB8lI3uDE59wzI%3d",16,11,0.774055296449537
"81","Chicago","College","Men","Division I","Great Lakes","Illinois DI","/teams/events/Eventteam/?TeamId=7ss%2f3VpjcSNhJvrfJ8DzTVCsxl8%2bzi1oN0cCPNLBRwo%3d",14,11,0.766904287751291
"82","Lehigh","College","Men","Division I","Ohio Valley","East Penn DIII","/teams/events/Eventteam/?TeamId=vwbw5taKByIY3%2f4lmzXMxdQz6U%2foLsx5i3mN64D2pFQ%3d",17,11,0.763689465608187
"83","Boston College","College","Men","Division I","New England","Metro Boston DI","/teams/events/Eventteam/?TeamId=T4Sv9bJTXNc3iLXE2kz5dTdsJ3k21rrfugxLEhdjUyo%3d",11,6,0.726354322742901
"84","Virginia Commonwealth","College","Men","Division I","Atlantic Coast","Virginia DI","/teams/events/Eventteam/?TeamId=YucFcxZeh0tCc9S8h3JiiWygq2%2f11xXnLwTtHczf6Pc%3d",12,8,0.719363295882645
"85","Kennesaw State","College","Men","Division I","Southeast","Southern Appalachian DI","/teams/events/Eventteam/?TeamId=lM0x1cbvHb28vO4lOL6s33%2bqD1dE%2fyPRk3IuiJ5zRpo%3d",19,16,0.706471212926708
"86","Illinois State","College","Men","Division I","Great Lakes","Illinois DI","/teams/events/Eventteam/?TeamId=N7IzGHFsL0tclOOglbhp%2b1FQ7J5FqbBoTXZGBvg7MJY%3d",17,14,0.706271613865042
"87","California-Santa Cruz","College","Men","Division I","Southwest","NorCal DI","/teams/events/Eventteam/?TeamId=cfoctX7h6HnBTcJTB33HRsDBjJtFuPEwZ1Lx5PVtt80%3d",5,15,0.658590955904134
"88","South Carolina","College","Men","Division I","Atlantic Coast","Carolina DI","/teams/events/Eventteam/?TeamId=iLgJ2xyi8%2bHysjtDX61BpuAvs8Tckx56K2dlAvniBqA%3d",12,16,0.642287884109963
"89","North Carolina-Charlotte","College","Men","Division I","Atlantic Coast","Carolina DI","/teams/events/Eventteam/?TeamId=keqeHbr%2bVNtcjbOZdlZgzC4VJuqVqblNkrKKvVyziAc%3d",12,11,0.63397121313115
"90","Carnegie Mellon","College","Men","Division I","Ohio Valley","West Penn DI","/teams/events/Eventteam/?TeamId=w9j2GKeBI8jzBkwNxwATCevnsj4GfbBGz4p%2fFcczMVg%3d",16,9,0.62871383590001
"91","Dartmouth","College","Men","Division III","New England","North New England DIII","/teams/events/Eventteam/?TeamId=0Pih%2fWDbaICjvJUFUidKTu1U0PWmvxvrMcsMjA0mIFY%3d",11,15,0.622179367619126
"92","Utah","College","Men","Division I","Northwest","Big Sky DI","/teams/events/Eventteam/?TeamId=ACht8mbdzA85YKm7LLn3aa1IQFIEzIagbVS%2f5%2flwfgo%3d",8,8,0.611755260620781
"93","Indiana","College","Men","Division I","Great Lakes","East Plains DI","/teams/events/Eventteam/?TeamId=8pyo43VxwbfKt01fdXFBacG7DUcKcVnUcTol6Hhx5iY%3d",13,14,0.578187300497294
"94","Arizona","College","Men","Division I","Southwest","Desert DI","/teams/events/Eventteam/?TeamId=H93i66n4VjFjKgUI87xcd%2fQQ7QUTJx2CqHB9JmcMcec%3d",7,6,0.560736095663467
"95","Texas State","College","Men","Division I","South Central","South Texas DI","/teams/events/Eventteam/?TeamId=yPc3fDWldCajYIbrjA6NabVBVUtoHofP48FvbJFRb7M%3d",13,11,0.557135269998028
"96","North Carolina-Asheville","College","Men","Division III","Atlantic Coast","Carolina DIII","/teams/events/Eventteam/?TeamId=MdmZR6qvKSZNQi354yRApg4qQUaYNFI4%2bEr3%2f5NNjHE%3d",7,7,0.521288295176885
"97","Brandeis","College","Men","Division III","New England","Metro Boston DIII","/teams/events/Eventteam/?TeamId=3QA23uFobIKqzfw6jCyoVAq2qhUtheGJk6uT4a3rVJ4%3d",15,2,0.518841057066833
"98","Chico State","College","Men","Division I","Southwest","NorCal DI","/teams/events/Eventteam/?TeamId=CaCjKSXvAkJeonRDyI1WzpVx11VStzvHcwml0n2Z8vY%3d",17,8,0.512503200196492
"99","Kansas","College","Men","Division I","South Central","Ozarks DI","/teams/events/Eventteam/?TeamId=mG6r0IFBBINa1CWp6WYLqabhTfLymvFKW38SQ70yvbo%3d",16,19,0.51080559419206
"100","West Virginia","College","Men","Division I","Ohio Valley","West Penn DI","/teams/events/Eventteam/?TeamId=MlPYa4%2f58saFXhfQfV64D5P3QY28zg%2bErQM0VK6hJcs%3d",6,11,0.504093744931719
"101","Baylor","College","Men","Division I","South Central","North Texas DI","/teams/events/Eventteam/?TeamId=fURgImJfk1urNKcgGQwLFay%2fbjVnQxze36jAcdXNW2E%3d",13,11,0.490359853878332
"102","Santa Clara","College","Men","Division I","Southwest","NorCal DI","/teams/events/Eventteam/?TeamId=kuD8fwiwJWxO5%2fAWtxW6xhgvrxELWm3Kh0ZmLLF%2bMvM%3d",12,8,0.477810046915434
"103","Georgetown","College","Men","Division I","Atlantic Coast","Colonial DI","/teams/events/Eventteam/?TeamId=xji%2fAev%2fUFxJ%2bIiurk53yZqMsyHlKb7s91MfT%2boVty8%3d",13,16,0.476157877187246
"104","Shippensburg","College","Men","Division III","Ohio Valley","West Penn DIII","/teams/events/Eventteam/?TeamId=nsIr61T92ky5DFTp0s6YgrgAaFFGQOj1eJVLdg2NL4U%3d",20,13,0.472728565932697
"105","Mississippi","College","Men","Division I","Southeast","Gulf Coast DI","/teams/events/Eventteam/?TeamId=0lfD2%2fhUDkHMZ7CLgGwtvX55DgFxZY3nJ0NKcpKwbMg%3d",17,13,0.468474451849629
"106","St John's","College","Men","Division III","North Central","Northwoods DIII","/teams/events/Eventteam/?TeamId=d%2bhiWC16Ole23Yn9DIM9LqcsyicgDbjTpKMlWLSKTUk%3d",10,6,0.468016805812017
"107","San Diego State","College","Men","Division I","Southwest","SoCal DI","/teams/events/Eventteam/?TeamId=v27vxnLD06K9Zdl3dYivD9D1EqpkhmvgvA6iw9sreuQ%3d",12,17,0.457372769790888
"108","Cornell","College","Men","Division I","Metro East","Western NY DI","/teams/events/Eventteam/?TeamId=sDD7hdoa9yAG%2fWGRunEnD3BuYHNpjkMEWM%2btyANPaQM%3d",11,13,0.444490328070515
"109","Temple","College","Men","Division I","Ohio Valley","East Penn DI","/teams/events/Eventteam/?TeamId=bynADsBIHvxtxO2hdCNxYFi%2ft%2fnSqRHoEm9DGVT2nU8%3d",15,15,0.439977837824961
"110","High Point","College","Men","Division III","Atlantic Coast","Carolina DIII","/teams/events/Eventteam/?TeamId=V55BdEw6QV0qWkHBbMitCw%2bYekb4Sz%2fbdjf7QccvD7o%3d",11,12,0.43974726043766
"111","George Mason","College","Men","Division I","Atlantic Coast","Virginia DI","/teams/events/Eventteam/?TeamId=N8b2QXd9Pi0a%2bsWazxdlWJrhBbQwNcijqGpmNiUKncA%3d",13,15,0.436929737763484
"112","Wheaton (Illinois)","College","Men","Division III","Great Lakes","Illinois DIII","/teams/events/Eventteam/?TeamId=jNoABSpERdFbnwfyzTzhH3Ni9EfRe2DmE8OJcOxgt5c%3d",14,3,0.435557768154851
"113","UCLA","College","Men","Division I","Southwest","SoCal DI","/teams/events/Eventteam/?TeamId=xwOlIlpT7VP1mKf7dyoTZ%2fKzFIyqj6Mt%2feRLDVXm5Ac%3d",10,8,0.423922798799748
"114","Delaware","College","Men","Division I","Atlantic Coast","Colonial DI","/teams/events/Eventteam/?TeamId=8g0aol20xh6MfcEIDy6Jh93qot7gc0uDT9Vyi120jtw%3d",13,13,0.423479279874208
"115","Middlebury","College","Men","Division III","New England","North New England DIII","/teams/events/Eventteam/?TeamId=yz6e0bnGEiKsWKk8mx9utIqf0ouM2czoJXc7fs3gUbA%3d",13,2,0.4214351703858
"116","Minnesota-Duluth","College","Men","Division I","North Central","Northwoods DI","/teams/events/Eventteam/?TeamId=mknt3Jk4UeIV4nhJKavNAAufMXjSIy1PZgopkKNE0Gg%3d",13,3,0.408244461989857
"117","Kentucky","College","Men","Division I","Great Lakes","East Plains DI","/teams/events/Eventteam/?TeamId=ozv8TE5l7TS1Qr30NwlnQXOp8Ye37z%2fYXzgXofX8vJA%3d",12,13,0.407429519961417
"118","Luther","College","Men","Division I","North Central","West Plains DI","/teams/events/Eventteam/?TeamId=wDxsfTXVmWs38BKCaBQHdzGUSPXK6FHlTVYPJIRuTrw%3d",16,10,0.404596124661349
"119","Alabama","College","Men","Division I","Southeast","Gulf Coast DI","/teams/events/Eventteam/?TeamId=Fy7ndC0YiChGMO1BqxR7nhD2Wg3a3vBOqOPe0XaIAfs%3d",15,10,0.404272678321615
"120","North Texas","College","Men","Division I","South Central","North Texas DI","/teams/events/Eventteam/?TeamId=3TRnXf4DHTXmYmg5ubEVrWhWuSNL9fANTclqIYCkHZg%3d",14,18,0.402743772525571
"121","Union (Tennessee)","College","Men","Division III","Southeast","Western Southeast DIII","/teams/events/Eventteam/?TeamId=VeYvdYGtwNuUJouCdTqjKy4x1B4XsltaqEPlidlJXkY%3d",10,12,0.395435476894829
"122","Akron","College","Men","Division I","Ohio Valley","Ohio DI","/teams/events/Eventteam/?TeamId=rFoAL46KGXy%2fSm83z1X8L0L2oytNISIYsU1DBrfmgZM%3d",9,9,0.393755484442279
"123","Utah State","College","Men","Division I","Northwest","Big Sky DI","/teams/events/Eventteam/?TeamId=Nx5eI1C0406esrkKxq%2bst9V%2brnPyrb5qnlv9OV3LnL4%3d",8,11,0.391969248376426
"124","Amherst","College","Men","Division III","New England","South New England DIII","/teams/events/Eventteam/?TeamId=5XztlUO8fKUtXXqkLhCuAMq24DTRwURDdSrB7GI6h5k%3d",10,4,0.389235574333131
"125","Princeton","College","Men","Division I","Metro East","Metro NY DI","/teams/events/Eventteam/?TeamId=rQkIWkXQej3%2fsDUA0r9gzfBHjx0UVq0UtZvFPsdPkj0%3d",13,5,0.376795630154726
"126","Navy","College","Men","Division III","Atlantic Coast","Northern Atlantic Coast DIII","/teams/events/Eventteam/?TeamId=PKSkInPRdQb8AaTzvxXpZ%2fwpSpV2Rucp98JpzG8lFAU%3d",14,12,0.34960251433965
"127","Portland","College","Men","Division III","Northwest","Northwest DIII","/teams/events/Eventteam/?TeamId=1qMSY9s2z1fz9zrsBwRnIKblujosHLq20202RDEaVwo%3d",17,7,0.348985426821664
