"","Team","Wins","Losses","Competition Level","Gender Division","City","State","Links","Index","Rating"
"51","Carolina Friends School-B (Fighting Quakers)",3,3,"High School","Boys","Durham","NC","/teams/events/Eventteam/?TeamId=S8iMe9wWqgAHQphb9htfHMxfOMwRjNHQazAhtcw9j9U%3d",18,0.13056929329012
"52","Brookwood (Inferno)",1,4,"High School","Boys","Snellville","GA","/teams/events/Eventteam/?TeamId=Dud1eNB3lpaHvE0BVvYopjUwoxw1VpIO%2fUlTzdLfsu4%3d",13,0.127139932345281
"53","Alameda Community Learning Center (Dark Meat)",1,2,"High School","Boys","Alameda","CA","/teams/events/Eventteam/?TeamId=IUUGvAw9MzoXQ1aMncrmt7jlSaCMtPCblwAul6SBSSI%3d",2,0.123496871913072
"54","Lone Peak-B (Lone Peak)",3,3,"High School","Boys","Highland","UT","/teams/events/Eventteam/?TeamId=1h2ihcAoSd6ho4ee25egBHX7eyiXwfbQ18VMB4%2f%2fAxQ%3d",87,0.117051437522909
"55","Orem High School-B (Bestia Ultimate (B))",2,2,"High School","Boys","Orem","UT","/teams/events/Eventteam/?TeamId=b%2bxqVKeZcVOiR5jPwoqo7NW2MBkBNtE6Pocov2O0PSQ%3d",107,0.115157515897366
"56","Holy Family Catholic (Revolution)",5,1,"High School","Boys","Cincinnati","OH","/teams/events/Eventteam/?TeamId=%2bsXbcvlRe73v7FZRFhj7aqf4bUo%2bithqIRK344RaKVI%3d",64,0.0993194545535878
"57","Jordan High-B (Jordan B)",2,2,"High School","Boys","Sandy","UT","/teams/events/Eventteam/?TeamId=ktdf8nApuoHltr0v9CWIa1dHFG7jnxxAhSx%2ffiCnGnA%3d",73,0.0988437750540315
"58","Stoughton High School (Stoughton High School)",1,2,"High School","Boys","Stoughton","WI","/teams/events/Eventteam/?TeamId=4W%2fSgVGqRXPEJ4JdiIK9cdnb3c8GAxnZn%2baUfus9h8M%3d",120,0.0922431865828089
"59","Raleigh Charter High School (PUF)",4,7,"High School","Boys","Raleigh","NC","/teams/events/Eventteam/?TeamId=msObCqsK80QImMQsNn2CRAL7zrkPOO9N04QhCmbGoug%3d",112,0.0910763762019218
"60","Green Hope (Green Hope High School)",3,9,"High School","Boys","Cary","NC","/teams/events/Eventteam/?TeamId=gCxjMpIKVBDUyOsZZJyX8C%2bT20F46ZwWbLa36QnfzJI%3d",61,0.0728025460343099
"61","Bethesda-Chevy Chase (Barons)",3,4,"High School","Boys","Bethesda","MD","/teams/events/Eventteam/?TeamId=ByecBpslH4yu6RDabkT0NTcwQilIxewXYMykgrxnmGk%3d",9,0.0680163152292932
"62","Sun Prairie High School-B (Sun Prairie Ultimate B)",2,2,"High School","Boys","Sun Prairie","WI","/teams/events/Eventteam/?TeamId=II6WR5GGfKDWxEtaeiojTZ9N%2fGb1Zs8aKYXtu5XAHgo%3d",123,0.0643939393939396
"63","Carrboro High School-B (Carrboro Mussels)",2,5,"High School","Boys","Carrboro","NC","/teams/events/Eventteam/?TeamId=8FJFaGjLAcATCQtA4RcFLMHmt2suH00P5Tn%2b%2b9sw%2bDk%3d",20,0.0620114161169659
"64","Lakewood High School (Lakewood DEEP)",6,0,"High School","Boys","Lakewood","CO","/teams/events/Eventteam/?TeamId=RBbk5%2fRlNBkhSsM3Tmfg%2bZ6cW8HnPsemWqMTKPAUqOY%3d",78,0.0567756389282877
"65","Decatur High School (Dog Pound)",5,1,"High School","Boys","Decatur","GA","/teams/events/Eventteam/?TeamId=AGU7IyEViqUTNMsyL5NMOB6d2xkA9z4UuDHcFJXWrt8%3d",40,0.0492295095023816
"66","Riverton High School (Silverwolves)",2,8,"High School","Boys","Riverton","UT","/teams/events/Eventteam/?TeamId=yG3LQX9kzzBPaeSJb5e44z0%2fwbZeWgIhUh9uxMr9NJ8%3d",113,0.0482184144374871
"67","Mason High School (Mason Comets Ultimate)",2,4,"High School","Boys","Cincinnaiti","OH","/teams/events/Eventteam/?TeamId=8%2b4HvIDGRXo1AP0u7gXLC1mFVe%2bcT%2f2ClrT9JpdX2Nk%3d",91,0.0461173290562284
"68","Fishers High School (Fishers Ultimate)",8,5,"High School","Boys","Fishers","IN","/teams/events/Eventteam/?TeamId=nFJBE94x6YnjP9vWJZYAvJjZvdKAdE0ksdZR%2fX4hmak%3d",52,0.0432604633630718
"69","Sky View High School-B (Sky View Ultimate)",3,2,"High School","Boys","Smithfield","UT","/teams/events/Eventteam/?TeamId=XihKE3MPR0HE7OiZ0SPaYRkoCzgh6XRqUwT%2foNsvwMc%3d",117,0.0411317979024449
"70","Paideia School -JV (Paideia Boys JV)",5,4,"High School","Boys","Atlanta","GA","/teams/events/Eventteam/?TeamId=KkBXnuCHTp2QLTukRSVLArP7AHE66H%2fndaTMuaBt%2fvU%3d",109,0.0366184708193064
"71","Layton High School-B (Break Force )",3,2,"High School","Boys","Layton","UT","/teams/events/Eventteam/?TeamId=p3KGeqtgdb9R47l%2fVQsgKhToYoO%2bjdeSChadcp7Dt0Q%3d",83,0.0356473379029325
"72","Edina High School (Edina Ultimate Varsity)",3,1,"High School","Boys","Edina","MN","/teams/events/Eventteam/?TeamId=0WhaddkDoNx8Iug87LjIMksIfKlR9Es%2b%2bOiPRv7GogM%3d",48,0.0308757054538243
"73","Central KY Homeschool-D (Pi)",6,2,"High School","Boys","Lexington","KY","/teams/events/Eventteam/?TeamId=%2bKgynF9cgI7itKXKzbAB3eqNvJruc5qgZW1kR%2bBOaPI%3d",26,0.0267775786179388
"74","Iowa City West (Metallic Wings)",5,4,"High School","Boys","Iowa City","IA","/teams/events/Eventteam/?TeamId=ZgL%2bFzi%2bS2DLcknejGm%2fASp%2b%2b%2fGODuwFZW1%2f7KHZMYc%3d",67,0.0267061671504498
"75","Charlotte Country Day School (Buccaneers)",2,5,"High School","Boys","Charlotte","NC","/teams/events/Eventteam/?TeamId=MEa60InU0zhCOxIMhUKTUhfb74c4dI5KpOQjAKqU9z8%3d",29,0.0259898949706271
"76","Northview High School-JV (Northview Titans)",3,4,"High School","Boys","Johns Creek","GA","/teams/events/Eventteam/?TeamId=uWqBw0Q0aqq32RsZp0mK7A53iZjdZcEt1LXM4Pp74y0%3d",103,0.0259855819065994
"77","Skyline (Skyline Eagles)",1,3,"High School","Boys","Salt Lake City","UT","/teams/events/Eventteam/?TeamId=onU2CdlutOuzCOyTG17HrFdTQGLJEgZm%2ftfZAu%2fBKto%3d",118,0.0233493051594899
"78","North Allegheny  (NAUF )",2,3,"High School","Boys","Wexford","PA","/teams/events/Eventteam/?TeamId=r6wEdLDjE85ZW%2fGLTreKa3RYWFxYx2OWTH6sBggq1RI%3d",101,0.0229809379932919
"79","De Smet Jesuit High School  (DUC (De Smet Jesuit) Varsity)",2,3,"High School","Boys","St. Louis","MO","/teams/events/Eventteam/?TeamId=Fk1zMcgrzUoU3ZfglwkxJBgJu81n%2bWiAwgGjmC8%2b0Ik%3d",39,0.0220827630095142
"80","Grady High School-JV (Gauntlet JV)",4,4,"High School","Boys","Atlanta","GA","/teams/events/Eventteam/?TeamId=khzit3mAunrDu2PfJHVBx38LVZbH4qPaD5%2fmkH3v5a0%3d",60,0.0213755638175843
"81","Lakeside High School-JV (Lakeside HS Vikings JV)",4,6,"High School","Boys","Atlanta","GA","/teams/events/Eventteam/?TeamId=cLLI%2f70yP5ON5m%2bsuZ2SQ%2fTNlymm4eLd3Awdj3Y7LeE%3d",76,0.0192212274809261
"82","East High School (Denver East Open)",6,0,"High School","Boys","Denver","CO","/teams/events/Eventteam/?TeamId=DBiyBNsr29yo4Stpov63RB%2fznCXgsVWdE%2fsTDTJPB4E%3d",46,0.0166390890694572
