"Rank","Team","Wins","Losses","Rating","City","State"
158,"rubber duck ultimate.",10,6,0.0943167663526787,"Fayetteville","AR"
159,"Blowing Heat 2.0",7,7,0.0934785509729298,"New Castle","DE"
160,"Boomtown",10,8,0.0921925325647656,"Tulsa","OK"
161,"Petey's Pirates",18,14,0.0893812116017619,"Columbus","OH"
162,"Mimosas",7,17,0.0753688559564568,"Berkeley","CA"
163,"Rat City",5,16,0.0724114403337853,"Baltimore","MD"
164,"Possum",9,6,0.0715733418104247,"Greenville","SC"
165,"North Coast Disc Co.",13,16,0.0713285806750712,"Cleveland","OH"
166,"Springs Mixed Ulty Team (SMUT)",10,10,0.0698942895654066,"Colorado Springs","CO"
167,"Moonshine",10,19,0.0680183416201894,"Lexington","KY"
168,"Varsity",7,10,0.0674416024341917,"New York","NY"
169,"Memphis Hustle & Flow",9,7,0.0652197423542462,"Memphis","TN"
170,"ELevate",13,21,0.063950859395757,"Chicago","IL"
171,"Nautilus",6,7,0.0635018226309024,"Farmington","CT"
172,"Robot",6,6,0.0612294270841207,"Santa Barbara","CA"
173,"Wingdings",7,11,0.0599724770401718,"Des Moines","IA"
174,"All Jeeps, All Night",2,8,0.059684694149941,"Boulder","CO"
175,"Rocket LawnChair",13,12,0.0569560790088665,"Ann Arbor","MI"
176,"Midnight Whiskey",8,4,0.0559991397453162,"Eugene","OR"
177,"Jabba",15,19,0.0555518664270199,"Chicago","IL"
178,"¡Fiesta!",6,6,0.0552644928513798,"San Diego","CA"
179,"Raft Ultimate",2,4,0.0528503643916028,"Ottawa","Ontario"
180,"Liquid Hustle",10,20,0.0517742169045639,"Indianapolis","IN"
181,"Spirit Fowl",11,17,0.0514969958499624,"Saint Paul","MN"
182,"Mixed Results",9,16,0.0484473816450264,"Knoxville","TN"
183,"Snail",2,2,0.0476024831818967,"Geneseo","NY"
184,"Drunk in Space",2,9,0.046335422997765,"Boston","MA"
185,"Wildstyle",10,11,0.0456847790576661,"Austin","TX"
186,"Animals",2,5,0.0454763215362518,"Sherbrooke","Québec"
187,"Big",2,4,0.044301302748213,"Anchorage","AK"
188,"MxD",9,13,0.0440398497015545,"College Park","MD"
189,"Merry Band of Muffin Makers from the Land of Megastar",3,3,0.0432534241723027,"Denver","CO"
190,"The Strangers",8,14,0.0414441942801264,"Westminster","CO"
191,"Mastodon",8,12,0.0406762213433541,"Madison","WI"
192,"NEKUD",4,7,0.0400248599851454,"Burke","VT"
193,"Stormborn",7,19,0.0389762336648257,"Washington","DC"
194,"Spawn",2,3,0.038190827188307,"Fredericton","NB"
195,"Absolute Zero",8,12,0.0366388975340356,"Santa Clara","CA"
196,"Stackcats",9,20,0.0352677316873631,"Chicago","IL"
197,"Local 613",4,3,0.0342683557403328,"Kingston","ON"
198,"OMBU",4,5,0.0332111234721031,"Portland","OR"
199,"Baywatch",7,15,0.0318322532613108,"Pensacola","FL"
200,"Bitmap",5,17,0.0314817530119869,"Philadelphia","PA"
201,"Dumpster Fire",4,10,0.0286199857057321,"North Charleston","SC"
202,"Dream Team Frisbee",3,4,0.0285943770146959,"Columbia","SC"
203,"Swing",4,12,0.0276739642481316,"San Diego","CA"
204,"Boomtown Pandas",6,22,0.0271433468262308,"Madison","WI"
205,"Quest",2,6,0.0252572180228314,"Québec","Québec"
206,"Mississippi Blues",7,10,0.0239051577401358,"Jackson","MS"
207,"DR",3,15,0.0238694251271704,"Berkeley","CA"
208,"District Cocktails",6,14,0.0238641027384582,"Washington","DC"
209,"Heavy Flow",6,19,0.0238446546709213,"Columbia","MD"
210,"Doppler Effect",10,19,0.0235532761836052,"Detroit","MI"
211,"Igneous Ultimate",3,14,0.0234383955390902,"Bend","OR"
212,"BRUH",4,10,0.0229003628823607,"Clemson","SC"
213,"Feral Cows",5,13,0.0222737601027257,"Palo Alto","CA"
214,"Fifth Element",6,12,0.0220973301028644,"Louisville","KY"
215,"Bulleit Train",7,17,0.021379145334682,"Seattle","WA"
216,"OutKast",6,12,0.0207346971953887,"Atlanta","GA"
217,"Swipe >",4,3,0.0203163850874871,"Fossil Cove","OK"
218,"Breakers Mark",3,4,0.0196658680621575,"Portland","OR"
219,"Balloon",4,14,0.0183858247475377,"College Station","TX"
220,"Pink Pear",4,8,0.0176439448676334,"NYC","NY"
221,"$Griz Alum$-Upper",2,4,0.0172044797770513,"Missoula","MT"
222,"Serial Crusher Theory",5,3,0.0171280664182155,"Twin Cities","MN"
223,"Carolina Reign",4,16,0.0164936263128986,"Winston-Salem","NC"
224,"Mixed on the Rock",3,8,0.0162418090436717,"Little Rock","AR"
225,"Magic City Mayhem",4,7,0.0161503696817931,"Birmingham","AL"
226,"Flicks and Chill",3,3,0.0153150311004063,"Austin","TX"
227,"Glitter Bomb",6,14,0.0152155256279335,"San Francisco","CA"
228,"Mixed Pi",4,4,0.014747843388592,"Lexington","KY"
229,"Bold City",2,10,0.0133046431271691,"Jacksonville","FL"
230,"SOFA Spartans",1,4,0.012757648379662,"Oneonta","NY"
231,"Swag State",4,12,0.0126388623393917,"Orlando","FL"
232,"The Tossers",4,2,0.0123656804295812,"Austin","TX"
233,"Turmoil",2,8,0.0116710088141787,"Memphis","TN"
234,"Beezer Ultimate",1,4,0.0115458728029998,"Durham","NH"
235,"Oh My!",10,12,0.0114165515108189,"Portland","OR"
236,"EDM",1,11,0.01055269142079,"Denver","CO"
237,"Hairy Otter",2,5,0.0104617317460091,"Nashville","TN"
238,"Crop That Top (Davidson)",0,7,0.0104607294561506,"Davidson","NC"
239,"Turnstyle",3,16,0.00957053367059743,"New York","NY"
240,"Get A Baby",2,10,0.00940509115557588,"Plymouth","NH"
241,"FENOD & Friends",1,2,0.00917584478901373,"Cambridge","MA"
242,"Skyhawks",6,16,0.00916584417685422,"South Bend","IN"
243,"Carroll College (The Fighting Saints)",0,6,0.00812958899206284,"Helena","MT"
244,"Mousetrap",6,15,0.00804965577434891,"Madison","WI"
245,"Tlacuaches",4,9,0.00781665771433408,"McAllen","TX"
246,"I-79",6,17,0.00749645747903814,"Pittsburgh/Erie","PA"
247,"FIRE ULTIMATE CLUB",0,7,0.0074862609138956,"BOGOTA","CUNDINAMARCA"
248,"7 Express",2,4,0.00659802802896857,"New York","NY"
249,"Friend Zone",2,12,0.0064039703653722,"Gainesville","GA"
250,"ThunderCats",2,5,0.00639169503522674,"Charlotte","NC"
251,"Twonies",1,4,0.00634698319811203,"Ithaca","NY"
252,"#Beez",4,15,0.00555290896773984,"Long Island","NY"
253,"Los Penguinos",3,9,0.00543162891203164,"DC/Baltimore","DC"
254,"Flying Circus Disc Club",4,12,0.00514791908607539,"Portland","OR"
255,"Thunderpants the Magic Dragon",4,12,0.00513081481301579,"Dayton","OH"
256,"CUFAX",1,7,0.00410909945816109,"Cranford","NJ"
257,"Slam",3,5,0.00357764220837373,"Greenville","SC"
258,"Taco Truck PNC",1,5,0.00328030636870981,"Turlock","CA"
259,"Rogue",0,11,0.00294635911146475,"Tucson","AZ"
260,"Mud Turtles",1,13,0.00287888918556379,"Houston","TX"
261,"Family Julez",2,6,0.00238306155304271,"Newark","DE"
262,"Hot Stix",0,18,0.00207347881261486,"San Francisco","CA"
263,"Pocket City Approach",0,6,0.00194869052266468,"Evansville","IN"
264,"Pandatime",0,11,0.00155188921949963,"Towson","MD"
265,"The Greatest Team in America",2,11,0.00126637536920823,"Baltimore","MD"
266,"Identity Crisis",0,6,0.00116837233174591,"Boone","NC"
267,"HORUS ULTIMATE TEAM",1,5,0.0010993931301682,"MEXICO CITY","MEXICO CITY"
268,"CimaSalta-Upper",1,3,0.00108932776767027,"Jacksonville","FL"
269,"Norfolkin' Around",0,6,0.000988610245949282,"Norfolk","VA"
270,"ALTimate Brews",3,18,0.000895312068060786,"Madison","WI"
271,"Flat Earth Club",1,5,0.000834019580646913,"Washington","DC"
272,"Natural Twenties",0,5,0.000698777918429454,"Portland","OR"
273,"Taco Cat",1,12,0.00067548088926239,"Chicago","IL"
274,"defunct",0,5,0.000432493609720248,"Middlebury","CT"
275,"Mishigami",1,8,0.000157207486494616,"East Lansing","MI"
276,"Sun Bats",0,5,8.32873628025357e-05,"Austin","TX"
277,"Petey's Parrots",2,19,2.7201956176676e-05,"Columbus","OH"
278,"WOOcestershire Sauce",0,4,4.71029567747249e-07,"Wooster","OH"
279,"Bro Kittens",0,4,0,"Athens","OH"
279,"Choco Ghost House",0,4,0,"Portland","OR"
279,"Delta Breeze",0,7,0,"Sacramento","CA"
279,"Missoula Yoursoula",0,3,0,"Missoula","MT"
279,"MUTT",0,6,0,"Saint Paul","MN"
279,"N.A.B.P.S. (Not Awesome But Pretty Solid)",0,6,0,"Madison","WI"
