"","Team","Wins","Losses","Competition Level","Gender Division","City","State","Links","Index","Rating"
"151","Luther (Lufda)",23,14,"College","Men","Decorah","IA","/teams/events/Eventteam/?TeamId=wDxsfTXVmWs38BKCaBQHdzGUSPXK6FHlTVYPJIRuTrw%3d",378,0.700277831029197
"152","Minnesota-Duluth (Northern Lights)",22,9,"College","Men","Duluth","MN","/teams/events/Eventteam/?TeamId=mknt3Jk4UeIV4nhJKavNAAufMXjSIy1PZgopkKNE0Gg%3d",417,0.697646751776908
"153","Union (Tennessee) (Union Jaxx)",19,14,"College","Men","Jackson","TN","/teams/events/Eventteam/?TeamId=VeYvdYGtwNuUJouCdTqjKy4x1B4XsltaqEPlidlJXkY%3d",722,0.68726978042716
"154","Shippensburg (Scapegoats)",27,15,"College","Men","Shippensburg","PA","/teams/events/Eventteam/?TeamId=nsIr61T92ky5DFTp0s6YgrgAaFFGQOj1eJVLdg2NL4U%3d",597,0.681474065632055
"155","Texas State (Buckets)",17,15,"College","Men","San Marcos","TX","/teams/events/Eventteam/?TeamId=yPc3fDWldCajYIbrjA6NabVBVUtoHofP48FvbJFRb7M%3d",694,0.673632986410032
"156","Garden State Ultimate",12,8,"Club","Men","Princeton","NJ","/teams/events/Eventteam/?TeamId=ux3aX%2f02QOe8bJrKH8TS7LSKyTV%2fdDH8Cdoc5f8k1l4%3d",254,0.664508748057051
"157","Wheaton (Illinois) (Mastodon)",24,5,"College","Men","Wheaton","IL","/teams/events/Eventteam/?TeamId=jNoABSpERdFbnwfyzTzhH3Ni9EfRe2DmE8OJcOxgt5c%3d",766,0.65708093962751
"158","Smokestack",8,5,"Club","Men","Cleveland","OH","/teams/events/Eventteam/?TeamId=ahLMqHpnZleviz%2bLW6gjQba%2bSsbQheI5B9GZ9YXXb0I%3d",608,0.650495722458184
"159","UCLA (Smaug)",14,12,"College","Men","Los Angeles","CA","/teams/events/Eventteam/?TeamId=xwOlIlpT7VP1mKf7dyoTZ%2fKzFIyqj6Mt%2feRLDVXm5Ac%3d",720,0.644771841749455
"160","Brandeis (TRON)",24,5,"College","Men","Waltham","MA","/teams/events/Eventteam/?TeamId=3QA23uFobIKqzfw6jCyoVAq2qhUtheGJk6uT4a3rVJ4%3d",79,0.630825091222271
"161","Lost Boys",13,7,"Club","Men","South Carolina","SC","/teams/events/Eventteam/?TeamId=r%2fjg2Ka2mmCiY1PFFnTG1ptqmeYc7hu8mSoPZM4ChK0%3d",371,0.620570620101363
"162","Bayonet",10,5,"Beach","Men","San Francisco","CA","/teams/events/Eventteam/?TeamId=bU4fNYBGWpeapAHbc4nW21610F6%2fkxvSF7I6irjjLTA%3d",43,0.618863377778951
"163","Temple (Alert)",18,18,"College","Men","Philadelphia","PA","/teams/events/Eventteam/?TeamId=bynADsBIHvxtxO2hdCNxYFi%2ft%2fnSqRHoEm9DGVT2nU8%3d",678,0.594050069682112
"164","Texas A&M-B (Dozen Matter)",19,7,"College","Men","College Station","TX","/teams/events/Eventteam/?TeamId=%2b%2bXs0wZalmdzrfBu6wIp9s%2bhlPSepktRiZVUvYs5wI4%3d",689,0.582770661077876
"165","Ironmen",12,8,"Club","Men","Birmingham","AL","/teams/events/Eventteam/?TeamId=ixojQHEa2aDfdiIaXy6uWDZnC%2fMPbcCLbQSKN2heqlU%3d",332,0.576828401450401
"166","Middlebury (Pranksters)",22,7,"College","Men","Middlebury","VT","/teams/events/Eventteam/?TeamId=yz6e0bnGEiKsWKk8mx9utIqf0ouM2czoJXc7fs3gUbA%3d",410,0.573070618312229
"167","George Mason (Massacre)",16,19,"College","Men","Fairfax","VA","/teams/events/Eventteam/?TeamId=N8b2QXd9Pi0a%2bsWazxdlWJrhBbQwNcijqGpmNiUKncA%3d",258,0.571411579839297
"168","Cornell (Buds)",16,16,"College","Men","Ithaca","NY","/teams/events/Eventteam/?TeamId=sDD7hdoa9yAG%2fWGRunEnD3BuYHNpjkMEWM%2btyANPaQM%3d",180,0.557407766862582
"169","North Texas (UNT illeagles)",20,22,"College","Men","Denton","TX","/teams/events/Eventteam/?TeamId=3TRnXf4DHTXmYmg5ubEVrWhWuSNL9fANTclqIYCkHZg%3d",459,0.547093479289727
"170","Humboldt State (Humboldt State Buds)",15,21,"College","Men","Arcata","CA","/teams/events/Eventteam/?TeamId=ktcIqJHEUwa6ARFpvn5oGM5RIV1%2bR0ONqxVGOvaTJCk%3d",313,0.542824705335736
"171","Brickyard",4,2,"Club","Men","Indianapolis","IN","/teams/events/Eventteam/?TeamId=uhzpQ7vUas8mH2WTLwmjURH1I%2f0LO6w3be6e0AOCu%2fk%3d",83,0.540965624094025
