"Rank","Team","Wins","Losses","Rating","City","State"
150,"Blowing Heat 2.0",5,3,0.102394321136206,"New Castle","DE"
151,"Mutiny",12,5,0.101306337613703,"St. Petersburg","FL"
152,"Memphis Hustle & Flow",9,7,0.101118763013879,"Memphis","TN"
153,"Chef Curry with the Pot",5,3,0.100800297209685,"Arlington","VA"
154,"Possum",9,6,0.0953995579248234,"Greenville","SC"
155,"¡Fiesta!",6,6,0.0918219625814791,"San Diego","CA"
156,"Moonshine",9,14,0.0909261332644351,"Lexington","KY"
157,"Misfits",4,2,0.0897484044030219,"Spokane","WA"
158,"Los  Heros",14,16,0.0875055254202499,"Bloomington","IN"
159,"North Coast Disc Co.",13,16,0.0847675947014719,"Cleveland","OH"
160,"The Hucking Dead",10,11,0.0844574499582867,"Jacksonville","FL"
161,"Garbage",2,4,0.0841784383368889,"Seattle","WA"
162,"Petey's Pirates",15,10,0.0831308042863232,"Columbus","OH"
163,"Robot",6,6,0.0826398514406824,"Santa Barbara","CA"
164,"Nautilus",6,6,0.0763458400684839,"Farmington","CT"
165,"Rat City",5,16,0.0718717204451704,"Baltimore","MD"
166,"ELevate",13,15,0.0689803978932415,"Chicago","IL"
167,"Varsity",6,9,0.0678804122547118,"New York","NY"
168,"Wingdings",7,11,0.066451208238164,"Des Moines","IA"
169,"Animals",2,5,0.0654119829188602,"Sherbrooke","Québec"
170,"Mental Toss Flycoons",5,5,0.064995193694236,"Missoula","MT"
171,"Liquid Hustle",10,20,0.0622833262333698,"Indianapolis","IN"
172,"Raft Ultimate",2,4,0.0596157000522905,"Ottawa","Ontario"
173,"Snail",2,2,0.0548647911075997,"Geneseo","NY"
174,"Rocket LawnChair",10,8,0.0547824256391681,"Ann Arbor","MI"
175,"Jabba",14,14,0.0537080484227662,"Chicago","IL"
176,"Mississippi Blues",7,5,0.0519359303889953,"Jackson","MS"
177,"Drunk in Space",2,9,0.0510547737952482,"Boston","MA"
178,"OMBU",4,5,0.0494880501843149,"Portland","OR"
179,"Absolute Zero",8,12,0.0494232495470791,"Santa Clara","CA"
180,"NEKUD",4,7,0.0492473078531843,"Burke","VT"
181,"Mastodon",8,12,0.0482217886902617,"Madison","WI"
182,"MxD",9,13,0.0475228965027256,"College Park","MD"
183,"Mixed Results",8,13,0.0470899127011272,"Knoxville","TN"
184,"Stormborn",7,19,0.0469918351139616,"Washington","DC"
185,"Spirit Fowl",11,17,0.0461978746420526,"Saint Paul","MN"
186,"Swing",4,12,0.0442395790483853,"San Diego","CA"
187,"Baywatch",5,9,0.0429015699030323,"Pensacola","FL"
188,"Spawn",2,3,0.0414713830119433,"Fredericton","NB"
189,"Springs Mixed Ulty Team (SMUT)",10,10,0.0410434310980787,"Colorado Springs","CO"
190,"Stackcats",9,20,0.0406874204852868,"Chicago","IL"
191,"Midnight Whiskey",6,2,0.0399943970054389,"Eugene","OR"
192,"Dream Team Frisbee",3,4,0.0399759864643824,"Columbia","SC"
193,"Dixon Melons",2,1,0.038997127186157,"Missoula","MT"
194,"Wildstyle",10,11,0.0381251488385742,"Austin","TX"
195,"Bitmap",5,17,0.0378699149964416,"Philadelphia","PA"
196,"Local 613",4,3,0.0371443812396338,"Kingston","ON"
197,"Dumpster Fire",4,10,0.0369130978285869,"North Charleston","SC"
198,"Igneous Ultimate",3,14,0.0351669665698767,"Bend","OR"
199,"District Cocktails",6,14,0.0325190278446584,"Washington","DC"
200,"DR",3,15,0.0309723346682253,"Berkeley","CA"
201,"Feral Cows",5,13,0.0307915643068041,"Palo Alto","CA"
202,"Merry Band of Muffin Makers from the Land of Megastar",3,3,0.0291117381321486,"Denver","CO"
